TS;4/4;;
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[67, 74, 69, 69]
Bar;2;[0.0, 0.5, 1.0, 1.5, 2.0, 3.0];[69, 69, 67, 69, 72, 72]
TS;3/4;;
Bar;;[0.0];[72]
TS;4/4;;
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[55, 62, 57, 57]
Bar;2;[0.0, 0.5, 1.0, 1.5, 2.0, 3.0];[57, 57, 55, 57, 60, 60]
TS;3/4;;
Bar;;[0.0];[60]
TS;4/4;;
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[62, 62, 67, 64, 64, 64]
Bar;0  1;[0.0, 0.5, 1.0, 2.5, 3.0, 3.5];[62, 57, 59, 62, 67, 71]
TS;3/4;;
Bar;0  1  2;[0.0, 1.0, 1.5, 2.0, 2.5];[69, 67, 71, 74, 79]
Bar;0  1;[0.0, 0.5, 1.0, 2.0];[78, 76, 74, 74]
TS;4/4;;
Grp;0.0;;
Bar;0           1         1.5           2           3;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[64, 64, 67, 71, 69, 66, 66]
Bar;0           1         1.5           2           3;[0.0, 0.5, 1.0, 1.5, 2.0, 3.0];[66, 64, 67, 71, 69, 66]
TS;5/4;;
Bar;0  2  3;[0.0, 1.5, 2.0, 2.5, 3.0, 4.0];[64, 62, 64, 67, 62, 64]
TS;4/4;;
Bar;0;[0.0];[64]
TS;5/4;;
Bar;0         1.5           2         2.5           3;[0.0, 1.5, 2.0, 2.5, 3.0, 4.0];[64, 66, 67, 71, 74, 74]
TS;4/4;;
Bar;;[0.0];[74]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.5];[74, 72, 70, 72, 74]
Bar;0           2           3         3.5;[0.0, 2.0, 2.5, 3.0, 3.5];[70, 70, 70, 68, 67]
Bar;0  1;[0.0, 0.5, 1.0, 2.0, 2.5, 3.0, 3.5];[65, 67, 65, 65, 67, 68, 72]
Bar;0;[0.0, 0.75, 1.0, 3.0, 3.5];[65, 65, 65, 65, 65]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.5];[67, 67, 67, 74, 74]
Bar;0  3;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 69, 67, 69, 67, 69]
Bar;0  2;[0.0, 1.0, 2.5, 3.0, 3.75];[70, 70, 69, 69, 69]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[74, 69, 65, 62, 65, 69]
Bar;0  2;[0.0, 0.75, 1.0, 3.0, 3.75];[65, 64, 64, 71, 71]
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[76, 71, 67, 64, 67, 71]
Bar;0  1  2;[0.0, 1.0, 3.0];[67, 66, 73]
Grp;0.0;;
Bar;0;[0.0, 1.0, 1.75, 2.0, 3.5];[78, 73, 69, 73, 73]
Bar;0  2;[0.0, 1.0, 2.0, 2.5, 3.0, 3.5];[71, 69, 71, 74, 78, 81]
Bar;0  3;[0.0, 1.0, 3.0];[84, 84, 67]
TS;2/4;;
Grp;0.0;;
Bar;0  1;[0.0, 1.0, 1.75];[79, 78, 74]
TS;4/4;;
Bar;0  3;[0.0, 3.0];[76, 55]
TS;2/4;;
Grp;0.0;;
Bar;0  1;[0.0, 1.0, 1.75];[67, 66, 62]
TS;4/4;;
Bar;0;[0.0];[64]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[64, 64, 67]
Bar;;[0.0, 1.5, 2.0, 3.0];[66, 64, 67, 69]
Bar;0;[0.0];[71]
TS;3/4;;
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 2.5];[71, 71, 69, 69]
Bar;0;[0.0, 2.0];[71, 71]
TS;4/4;;
Bar;0  1  3;[0.0, 1.0, 2.0, 3.0, 3.5];[74, 69, 69, 69, 69]
Bar;0  1  3;[0.0, 1.0, 2.0, 2.5, 3.0, 3.5];[72, 67, 67, 67, 67, 67]
Bar;0;[0.0, 0.5, 1.0, 2.0, 3.0, 3.5];[71, 67, 67, 67, 67, 67]
Bar;;[0.0];[69]
Bar;2;[2.0];[67]
Grp;0.0;;
Bar;0;[0.0];[69]
Bar;2;[0.0, 2.0];[69, 75]
Bar;0;[0.0];[76]
Bar;0;[0.0];[76]
Bar;0;[0.0];[76]
