TS	4/4	
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 69, 69, 71]
Bar	[0.0, 1.0, 2.0]	[67, 66, 64]
Grp	3.0	
Bar	[3.0]	[71]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[73, 71, 69, 68, 66]
Bar	[0.0, 1.0, 2.0]	[68, 66, 64]
Grp	0.0	
Bar	[0.0]	[76]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 73, 71, 69]
Bar	[0.0, 0.5, 1.0, 2.0]	[69, 71, 73, 71]
Grp	3.0	
Bar	[3.0]	[73]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 73, 71, 70]
Bar	[0.0]	[71]
Grp	3.0	
Bar	[3.0]	[64]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 71, 73, 74]
Bar	[0.0, 1.0, 1.5, 2.0]	[76, 74, 73, 71]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 3.5]	[73, 71, 76, 74]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 3.0]	[73, 71, 69, 71, 73, 71]
Bar	[0.0]	[69]
