TS	12/8	
Grp	0.0	
Bar	[0.0, 1.0, Fraction(5, 3), 2.0, Fraction(8, 3), 3.0, Fraction(11, 3)]	[75, 77, 72, 75, 75, 73, 70]
Bar	[0.0, 1.5, 2.5, 3.0, 4.0, 4.5, 5.5]	[73, 73, 72, 70, 68, 67, 68]
Bar	[0.0]	[65]
Grp	1.0	
Bar	[1.5, 3.0, 4.5]	[63, 68, 70]
Bar	[0.0, 1.5, 2.5, 3.0, 4.5]	[73, 75, 75, 78, 78]
Bar	[0.0, 1.5, 2.5, 3.0, 4.5, 5.5]	[78, 76, 75, 73, 76, 75]
Bar	[0.0, 1.0, 1.5, 2.5, 3.0, 4.5]	[71, 71, 75, 73, 70, 65]
TS	6/8	
Bar	[0.0, 1.5]	[68, 68]
TS	12/8	
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.0, 4.5, 5.5]	[75, 75, 77, 72, 75, 68, 70]
Bar	[0.0, 1.5, 2.0, 2.5, 3.0, 4.0, 4.5, 5.5]	[73, 73, 73, 72, 70, 68, 67, 68]
Bar	[0.0]	[65]
Grp	1.0	
Bar	[1.5, 3.0, 4.5]	[63, 68, 70]
Bar	[0.0, 1.5, 2.5, 3.0, 4.5]	[73, 75, 75, 78, 78]
Bar	[0.0, 1.0, 1.5, 2.5, 3.0, 4.5, 5.5]	[78, 78, 76, 75, 73, 76, 75]
Bar	[0.0, 1.0, 1.5, 2.5, 3.0, 4.5, 5.5]	[71, 71, 75, 73, 70, 65, 65]
TS	6/8	
Bar	[0.0, 1.5]	[68, 68]
TS	12/8	
Grp	0.0	
Bar	[1.5, 2.0, 2.5, 3.0, 5.5]	[68, 68, 68, 68, 68]
Bar	[0.0, 1.0, 3.0, 4.0, 5.0, 5.25, 5.5, 5.75]	[69, 68, 68, 68, 68, 68, 71, 69]
TS	9/8	
Bar	[0.0]	[64]
Grp	2.0	
Bar	[3.0]	[63]
TS	12/8	
Bar	[0.0, 1.5, 3.0, 4.5, 5.5]	[68, 70, 75, 73, 73]
Bar	[0.0, 3.0, 4.5, 5.5]	[78, 78, 76, 75]
Bar	[0.0, 1.0, 1.5, 2.5, 3.0, 4.5, 5.0, 5.5]	[73, 73, 76, 75, 71, 75, 75, 73]
Bar	[0.0, 1.5, 3.0]	[70, 65, 68]
