TS	4/4	
Bar	[3.0, 3.5]	[67, 65]
Grp	0.0	
Bar	[0.0, 1.5, 1.75, 2.0, 2.5]	[63, 62, 60, 62, 65]
Bar	[0.0, 0.5, 1.0, 3.0, 3.5]	[63, 60, 57, 62, 58]
Bar	[0.0]	[55]
Bar	[0.0, 3.0, 3.5]	[55, 67, 65]
Grp	0.0	
Bar	[0.0, 1.5, 1.75, 2.0, 2.5]	[63, 62, 60, 62, 65]
Bar	[0.0, 0.5, 1.0, 3.0, 3.5]	[63, 60, 57, 62, 58]
Bar	[0.0]	[55]
Bar	[0.0, 3.0, 3.5]	[55, 60, 62]
Grp	0.0	
Bar	[0.0, 1.5, 1.75, 2.0, 3.5]	[63, 62, 60, 72, 70]
Bar	[0.0, 1.5, 2.0, 2.5, 3.5]	[65, 67, 63, 60, 62]
Bar	[0.0, 0.5, 1.0]	[62, 65, 70]
Bar	[0.0, 1.5, 2.0, 3.5, 3.75]	[70, 72, 68, 67, 65]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 63, 65, 62]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[63, 60, 55, 58, 59]
Bar	[0.0]	[60]
Bar	[0.0, 3.0, 3.5]	[60, 67, 65]
Bar	[0.0]	[60]
