TS	4/4	
Grp	0.0	
Bar	[0.0]	[67]
Bar	[0.0, 0.5, 2.0, 3.0]	[67, 76, 67, 72]
Bar	[0.0, 0.5, 1.0]	[76, 68, 68]
Bar	[0.0]	[68]
Grp	0.0	
Bar	[0.0]	[69]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 70, 71, 76, 67, 66, 65, 73]
Bar	[0.0, 0.5, 1.0]	[72, 64, 64]
Bar	[0.0]	[64]
Bar	[0.0]	[64]
Grp	0.0	
Bar	[0.0, 0.5, 1.0]	[69, 72, 72]
Bar	[0.0, 0.5, 2.0, 3.0]	[76, 65, 69, 72]
Bar	[0.0, 0.5, 1.0]	[76, 69, 69]
Bar	[0.0]	[69]
Grp	0.0	
Bar	[0.0, 0.5, 1.0]	[69, 72, 72]
Bar	[0.0, 0.5, 2.0, 3.0]	[76, 66, 69, 72]
Bar	[0.0, 0.5, 1.0]	[76, 69, 69]
Bar	[0.0, 2.0]	[69, 68]
Grp	0.0	
Bar	[0.0]	[67]
Bar	[0.0, 0.5, 2.0, 3.0]	[67, 76, 67, 72]
Bar	[0.0, 0.5, 1.0]	[76, 68, 68]
Bar	[0.0]	[68]
Grp	0.0	
Bar	[0.0]	[69]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 70, 71, 76, 67, 66, 65, 73]
Bar	[0.0, 0.5, 1.0]	[72, 64, 64]
Bar	[0.0]	[64]
Bar	[0.0, 0.5, 2.0, 3.0]	[72, 64, 65, 66]
Bar	[0.0, 0.5, 1.0, 1.5, 3.0]	[67, 69, 71, 72, 60]
