TS	2/2	
Grp	0.0	
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[76, 78, 79, 79, 79]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[79, 81, 79, 78, 78, 79, 77, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 77, 76, 74, 73, 74, 76, 77]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 74, 73, 74, 76, 78, 79, 81]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[79, 81, 79, 78, 78, 79, 77, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 77, 76, 74, 73, 74, 76, 77]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 69, 71, 73, 74, 76, 74]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[76, 79, 81, 81, 81]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 3.0]	[79, 81, 79, 78, 76, 79]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[78, 76, 78, 79, 81, 78, 79, 76]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0]	[74, 79, 81, 81, 79, 81]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[81, 83, 84, 83, 81]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 3.0]	[79, 81, 79, 78, 76, 79]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[78, 76, 78, 81, 79, 81, 77, 76]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 69, 71, 73, 74, 76, 74]
Bar	[0.0, 1.5, 2.0, 2.5, 3.0]	[76, 74, 73, 74, 71]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 69, 71, 71, 71]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 71, 76, 71]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 71, 73, 74, 71, 73, 69]
Bar	[0.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[71, 73, 74, 71, 73, 69]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 73, 74, 76, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[77, 76, 74, 73, 70, 69, 67]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0, 3.5]	[69, 67, 73, 69, 70, 67]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 62, 64, 66, 67, 69, 71]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[72, 71, 72, 72, 72]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[71, 69, 70, 69, 67]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 70, 73, 73]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[70, 69, 67, 66, 67, 66, 67]
Grp	0.0	
Bar	[1.0, 1.5, 2.0, 3.0]	[73, 74, 76, 76]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0]	[71, 71, 69, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[66, 67, 69, 70, 73, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[67, 66, 65, 64, 64, 62, 64]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[64, 66, 67, 67, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 69, 67, 66, 66, 67, 65, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 65, 64, 62, 61, 62, 64, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 62, 61, 62, 64, 66, 67, 69]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[67, 66, 67, 67, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 69, 67, 66, 66, 67, 65, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 65, 64, 62, 61, 62, 64, 65]
Bar	[0.0, 1.0, 2.0]	[64, 59, 64]
