TS	2/4	
Grp	0.0	
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[72, 70, 69, 67, 69]
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[70, 69, 67, 66, 63]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[66, 67, 69, 70, 69, 67, 66, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 69, 70, 71]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 71, 74, 72, 70, 69, 67, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[70, 69, 72, 70, 69, 67, 66, 63]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[66, 67, 69, 70, 69, 67, 66, 63]
Bar	[0.0, 0.5, 1.0, 1.5, 1.75]	[62, 57, 62, 66, 67]
Grp	0.0	
Bar	[0.0, 1.0]	[69, 66]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 67, 66, 63]
Bar	[0.0, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 66, 67, 69, 66, 67, 63]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[62, 72, 72, 72]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[70, 72, 70, 69, 67, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[66, 67, 69, 70]
Bar	[0.0, 0.5, 1.0]	[69, 70, 69]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[70, 69, 67, 69, 67, 66]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[66, 67, 66, 63, 62, 57]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[62, 69, 70, 71]
Bar	[0.0, 0.5, 1.0, 1.5]	[72, 70, 69, 69]
Bar	[0.0, 0.5, 1.0, 1.5]	[67, 66, 63, 62]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[60, 60, 63, 62, 60, 59]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[60, 60, 62, 63]
Bar	[0.0, 1.0]	[66, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[69, 70, 69, 67, 66, 67]
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[69, 62, 63, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 69, 70, 71]
Bar	[0.0, 0.5, 1.0, 1.5]	[72, 70, 69, 69]
Bar	[0.0, 0.5, 1.0, 1.5]	[67, 66, 63, 62]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[60, 60, 63, 62, 60, 59]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[60, 60, 62, 63]
Bar	[0.0, 0.5, 1.0, 1.5]	[66, 67, 69, 70]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 67, 66, 63]
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[62, 63, 62, 63, 66]
Bar	[0.0, 0.5, 1.0]	[62, 57, 62]
Grp	0.0	
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[72, 70, 69, 67, 69]
Bar	[0.0, 1.0, 1.25, 1.5, 1.75]	[70, 69, 67, 66, 63]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[66, 67, 69, 70, 69, 67, 66, 63]
Bar	[0.0, 0.5, 1.0, 1.5, 1.75]	[62, 57, 62, 66, 67]
