TS	9/4	
Grp	0.0	
Bar	[0.0, 0.25, Fraction(1, 3), 0.5, Fraction(2, 3), 1.0, Fraction(7, 6), Fraction(4, 3), 1.5, Fraction(19, 12), Fraction(5, 3), Fraction(11, 6), 2.0, Fraction(13, 6), Fraction(7, 3), 2.5, Fraction(31, 12), Fraction(8, 3), Fraction(17, 6), Fraction(35, 12)]	[74, 74, 69, 74, 77, 77, 74, 76, 76, 77, 76, 74, 76, 77, 80, 81, 83, 80, 77, 76]
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.5, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25, 7.5, 7.75, 8.0, 8.25, 8.5, 8.75]	[74, 74, 69, 74, 77, 77, 74, 76, 76, 77, 76, 88, 86, 88, 84, 86, 83, 84, 81, 83, 80, 80, 77, 76]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 7.75, 8.0, 8.5, 8.75]	[74, 74, 69, 74, 77, 77, 74, 76, 76, 77, 76, 74, 76, 77, 80, 81, 83, 80, 77, 76]
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.5, 6.0, 6.75, 7.0, 7.5, 8.0]	[74, 74, 69, 74, 77, 77, 74, 76, 76, 77, 76, 71, 76, 71, 76, 71, 76]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.5, 6.75, 7.0, 7.5, 8.0, 8.5, 8.75]	[76, 80, 77, 76, 74, 76, 77, 81, 80, 77, 81, 80, 77, 76, 74, 76, 76, 77, 80, 81, 80, 77, 80]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.75, 7.0, 7.5, 8.0]	[76, 80, 77, 76, 74, 76, 77, 81, 80, 77, 81, 80, 77, 76, 74, 76, 71, 76, 71, 76]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0, 4.0, 4.25, 4.5, 4.75, 5.0, 5.5, 6.0, 6.75, 7.0, 7.5, 8.0]	[81, 80, 81, 81, 81, 81, 83, 81, 80, 77, 81, 80, 76, 80, 76, 80]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 2.75, 3.0, 3.5, 4.0, 4.25, 4.5, 4.75, 5.0, 5.5, 6.0, 6.75, 7.0, 7.5, 8.0]	[81, 83, 81, 80, 77, 81, 80, 80, 81, 80, 76, 77, 80, 77, 76, 74, 77, 76, 71, 76, 71, 76]
