TS	2/4	
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[62, 62, 64, 64]
Bar	[0.0, 0.5, 1.0]	[65, 65, 67]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[68, 67, 65, 68, 67, 65]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[68, 67, 65, 64, 62, 69]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[62, 62, 64, 64]
Bar	[0.0, 0.5, 1.0]	[65, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[68, 67, 67, 65, 65, 64, 64, 62]
Bar	[0.0, 0.5, 1.0]	[62, 57, 62]
Grp	0.0	
Bar	[0.0]	[74]
Bar	[0.0]	[74]
Bar	[0.0, 0.5, 1.0]	[74, 74, 69]
Bar	[0.0, 0.5, 1.0]	[74, 74, 69]
Bar	[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 0.75, 1.0]	[72, 70, 69, 70, 72, 69]
Bar	[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 0.75, 1.0]	[72, 70, 69, 70, 72, 69]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[69, 69, 69, 70, 67]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[67, 67, 67, 69, 65]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[65, 65, 65, 67, 64]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 67, 65, 64, 62, 68, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[69, 67, 65, 64, 62, 62]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[64, 65, 67, 68, 67, 68]
Bar	[0.0, 1.5]	[67, 68]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[71, 72, 71, 68, 71, 68, 67, 65]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[67, 67, 67, 67, 67]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[71, 72, 74, 75, 74, 72, 71, 68]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[71, 68, 67, 65, 67, 65, 64, 62]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 65, 67, 68, 67, 65, 64, 65]
Bar	[0.0, 0.5, 1.0]	[62, 57, 62]
