TS	4/4	
Bar	[3.0]	[55]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[59, 60, 62, 64, 65, 62, 64, 60]
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[59, 69, 67, 65, 64, 62, 60, 59]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[57, 59, 57, 55, 54, 55, 57, 59]
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[60, 59, 60, 62, 64, 65, 66, 67]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[59, 60, 62, 64, 65, 62, 64, 60]
Bar	[0.0, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[59, 69, 67, 65, 64, 62, 60, 59]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[57, 59, 57, 55, 54, 55, 57, 59]
Bar	[0.0, 1.0, 1.3333333333333357, 1.6666666666666643, 2.0, 2.5, 3.0]	[60, 64, 65, 66, 67, 64, 60]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0]	[60, 60, 62, 60, 59, 60]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[59, 60, 62, 64, 65, 64, 67, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 63, 64, 65, 69, 67, 65, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[62, 61, 62, 64, 65, 66, 67, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[60, 72, 70, 69, 67, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 66, 67, 69, 70, 67, 69, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 63, 64, 65, 69, 67, 65, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[62, 61, 62, 64, 65, 66, 67, 64]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0]	[60, 60, 62, 60, 59, 60]
