TS	4/4	
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.25, 2.5, 2.75, 3.0]	[74, 74, 72, 72, 71, 69, 71, 72, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0]	[68, 69, 73, 70, 69, 68, 65, 64, 62, 64, 65, 68, 69]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.25, 2.5, 2.75, 3.0]	[74, 74, 72, 72, 71, 69, 71, 72, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.5, 3.0]	[64, 65, 68, 69, 65, 68, 64, 65, 62, 57, 62]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[62, 62, 64, 64, 65, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.5, 3.0]	[65, 64, 62, 65, 64, 62, 61, 64, 62, 57, 62]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[69, 69, 71, 71, 72, 72, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.5, 3.0]	[72, 71, 69, 72, 71, 69, 68, 71, 69, 64, 69]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[71, 72, 74, 72, 71, 69, 68, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[68, 69, 70, 69, 68, 65, 64, 62]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[62, 62, 64, 64, 65, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.5, 3.0]	[65, 64, 62, 65, 64, 62, 61, 64, 62, 57, 62]
