TS	5/8	
Grp	0.0	
Bar	[0.0, Fraction(1, 3), Fraction(2, 3), 1.0, 1.5, 2.0, 3.0, 4.0]	[77, 76, 74, 73, 74, 76, 76, 76]
Bar	[0.0, 0.16666666666666652, 0.3333333333333335, 0.5, 0.75, 1.0, 1.5, 2.0]	[77, 76, 74, 73, 74, 76, 76, 76]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25]	[73, 74, 76, 78, 79, 77, 76, 74, 72, 71]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0]	[69, 67, 66, 65, 64, 64, 64]
Grp	0.0	
Bar	[0.0, 0.16666666666666607, 0.3333333333333339, 0.5, 0.75, 1.0, 1.5, 2.0]	[77, 76, 74, 73, 74, 76, 76, 76]
Bar	[0.0, 0.16666666666666607, 0.3333333333333339, 0.5, 0.75, 1.0, 1.5, 2.0]	[77, 76, 74, 73, 74, 76, 76, 76]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25]	[73, 74, 76, 78, 79, 76, 77, 74, 72, 71]
Bar	[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 0.75, 1.0, 1.5, 2.0]	[69, 67, 66, 65, 64, 64, 64, 64]
TS	9/8	
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.5, 3.5]	[73, 74, 76, 76, 79, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 3.75, 4.0]	[74, 73, 74, 73, 76, 71, 71, 72, 71, 69, 71]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.5, 3.5]	[73, 74, 76, 76, 79, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 3.75, 4.0]	[74, 73, 74, 73, 76, 71, 71, 72, 71, 69, 71]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 4.0]	[69, 71, 71, 71, 69, 69, 69, 71, 67, 66]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 3.75, 4.0]	[67, 66, 67, 65, 64, 69, 69, 71, 69, 67, 69]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 4.0]	[69, 71, 71, 71, 69, 69, 69, 71, 67, 66]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 3.75, 4.0]	[67, 66, 67, 65, 64, 64, 64, 65, 64, 62, 64]
