TS	2/4	
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.5, 1.75]	[72, 72, 72, 74, 72, 74]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[72, 71, 74, 72, 71]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5, 1.75]	[72, 72, 71, 70, 68, 70]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[68, 67, 70, 68, 67]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[65, 67, 65, 67, 65, 67, 65]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[63, 65, 63, 65, 63, 65, 63]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 63, 62, 63, 62, 63, 62]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[63, 62, 65, 64, 63, 62]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.5, 1.75]	[72, 72, 72, 74, 72, 74]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[72, 71, 74, 72, 71]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5, 1.75]	[72, 72, 71, 70, 68, 70]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[68, 67, 70, 68, 67]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[65, 67, 65, 67, 65, 67, 65]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[63, 65, 63, 65, 63, 65, 63]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 63, 62, 63, 62, 60, 59]
Bar	[0.0]	[60]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 72, 71, 71, 69, 69, 71]
Bar	[0.0, 0.75, 1.0, 1.75]	[71, 72, 72, 71]
Bar	[0.0, 0.75, 1.0, 1.75]	[71, 69, 68, 69]
Bar	[0.0, 0.5]	[72, 71]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 62, 64, 64, 65, 65, 67]
Bar	[0.0, 0.75, 1.0, 1.75]	[68, 67, 67, 66]
Bar	[0.0, 0.75, 1.0, 1.75]	[66, 67, 67, 65]
Bar	[0.0, 0.5]	[65, 64]
Grp	0.0	
Bar	[0.25, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 71, 71, 69, 69, 71]
Bar	[0.0, 0.75, 1.0, 1.75]	[71, 72, 72, 70]
Bar	[0.0, 0.75, 1.0, 1.75]	[70, 69, 69, 72]
Bar	[0.0, 1.0]	[70, 69]
Grp	0.0	
Bar	[0.25, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 64, 65, 67, 69, 71]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[74, 72, 72, 72, 74, 72]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[74, 72, 72, 71, 71, 69]
Bar	[0.0, 0.75, 1.0]	[69, 67, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5, 1.75]	[62, 64, 65, 64, 62, 62]
Bar	[0.0]	[60]
