TS	2/2	
Bar	[1.0, 1.5]	[70, 69]
Grp	0.0	
Bar	[0.0, 2.0, 3.0]	[67, 69, 70]
Bar	[0.0, 1.0, 3.0]	[72, 74, 76]
Bar	[0.0, 2.0, 3.0]	[77, 77, 76]
Bar	[0.0, 1.0, 3.0]	[74, 69, 74]
Bar	[0.0, 2.0, 3.0]	[74, 74, 72]
Bar	[0.0, 2.0, 3.0]	[70, 67, 65]
Bar	[0.0]	[67]
Bar	[0.0, 2.0, 3.0]	[67, 70, 69]
Grp	0.0	
Bar	[0.0, 2.0, 3.0]	[67, 69, 70]
Bar	[0.0, 2.0, 3.0]	[72, 74, 76]
Bar	[0.0, 2.0, 3.0]	[77, 77, 76]
Bar	[0.0, 1.0, 3.0, 3.5]	[74, 69, 74, 74]
Bar	[0.0, 2.0, 3.0]	[74, 74, 72]
Bar	[0.0, 1.0, 3.0]	[70, 69, 67]
Bar	[0.0]	[65]
Bar	[0.0, 2.0, 3.0]	[65, 70, 69]
Bar	[0.0, 2.0, 3.0]	[65, 77, 76]
Grp	0.0	
Bar	[0.0, 1.0]	[74, 69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 67, 65, 67]
Bar	[0.0]	[69]
Bar	[0.0, 2.0, 3.0]	[69, 77, 76]
Bar	[0.0, 1.0]	[74, 69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 67, 65, 65]
Bar	[0.0]	[65]
Bar	[0.0]	[65]
