tonality	0.0	[64, 66, 67, 69, 71, 72, 74]
grouping	0.0	[72, 76, 79]
reduction	0.0	[71, 76, 64, 67]
surface	2.0	[76, 64, 67]
surface	2.0	[76, 64, 67]
surface	2.5	[74, 64, 67]
surface	3.0	[71, 64, 67]
surface	3.5	[74, 64, 67]
surface	4.0	[76, 64, 67]
reduction	4.0	[71, 74, 62, 66]
surface	4.5	[74, 64, 67]
surface	5.0	[74, 62, 66]
surface	5.5	[71, 62, 66]
surface	6.0	[71, 62, 66]
grouping	8.0	[72]
surface	8.0	[76]
reduction	8.0	[76, 60, 64, 67]
surface	10.0	[76, 60, 64, 67]
surface	10.5	[74, 60, 64, 67]
surface	11.0	[71, 60, 64, 67]
surface	11.5	[74, 60, 64, 67]
surface	12.0	[76, 60, 64, 67]
reduction	12.0	[69, 74, 60, 62, 66, 69]
surface	12.5	[74, 60, 64, 67]
surface	13.0	[71, 60, 62, 66]
surface	13.5	[69, 60, 62, 66]
surface	14.0	[69, 60, 62, 66]
grouping	16.0	[72, 76]
surface	16.0	[71]
reduction	16.0	[71, 59, 62, 66]
surface	18.0	[71, 59, 62, 66]
surface	18.5	[69, 59, 62, 66]
surface	19.0	[71, 59, 62, 66]
surface	19.5	[76, 59, 62, 66]
surface	20.0	[74, 59, 62, 66]
reduction	20.0	[64, 67, 57, 60]
surface	20.5	[71, 59, 62, 66]
surface	21.0	[67, 57, 60]
surface	21.5	[64, 57, 60]
surface	22.0	[64, 57, 60]
grouping	24.0	[72]
surface	24.0	[71]
reduction	24.0	[71, 55, 62]
surface	26.0	[71, 55, 62]
surface	26.5	[69, 55, 62]
surface	27.0	[71, 55, 62]
surface	27.5	[74, 55, 62]
surface	28.0	[71, 54, 59, 62]
reduction	28.0	[69, 54, 59, 62]
surface	28.5	[69, 54, 59, 62]
surface	29.0	[67, 52, 55, 59, 62]
reduction	29.0	[64, 52, 55, 59, 62]
surface	30.0	[64, 52, 55, 59, 62]
surface	31.0	[64, 52, 55, 59, 62]
reduction	31.0	[64, 52, 55, 59, 62]
grouping	34.0	[72, 76, 79]
surface	34.0	[74]
reduction	34.0	[76, 52, 55, 59]
surface	34.5	[76]
surface	35.0	[76, 52, 55, 59]
surface	35.5	[76, 52, 55, 59]
surface	36.0	[74]
reduction	36.0	[74, 50, 55, 59]
surface	36.5	[76]
surface	37.0	[83, 50, 55, 59]
surface	37.5	[81, 50, 55, 59]
surface	38.0	[79]
reduction	38.0	[76, 52, 55, 59]
surface	38.5	[74]
surface	39.0	[74, 52, 55, 59]
surface	40.0	[76]
reduction	40.0	[76, 50, 55, 59]
surface	41.0	[76, 50, 55, 59]
surface	42.0	[74]
reduction	42.0	[76, 52, 55, 59]
surface	42.5	[76]
surface	43.0	[76, 52, 55, 59]
surface	43.5	[76, 52, 55, 59]
surface	44.0	[74]
reduction	44.0	[74, 50, 55, 59]
surface	44.5	[76]
surface	45.0	[83, 50, 55, 59]
surface	45.5	[81, 50, 55, 59]
surface	46.0	[79]
reduction	46.0	[76, 52, 55, 59]
surface	46.5	[74]
surface	47.0	[74, 52, 55, 59]
surface	48.0	[76]
reduction	48.0	[76, 50, 55, 59]
surface	49.0	[76, 50, 55, 59]
grouping	50.0	[72]
surface	50.0	[79]
reduction	50.0	[79, 55, 59, 62]
surface	50.5	[81]
surface	51.0	[81, 55, 59, 62]
surface	51.5	[81, 55, 59, 62]
surface	52.0	[79]
reduction	52.0	[81, 55, 57, 60, 64]
surface	52.5	[81]
surface	53.0	[88, 55, 57, 60, 64]
surface	53.5	[86, 55, 57, 60, 64]
surface	54.0	[83]
reduction	54.0	[79, 55, 59, 62]
surface	54.5	[79]
surface	55.0	[79, 55, 59, 62]
surface	56.0	[81]
reduction	56.0	[81, 55, 57, 60, 64]
surface	57.0	[81, 55, 57, 60, 64]
surface	57.5	[83, 55, 57, 60, 64]
surface	58.0	[79]
reduction	58.0	[74, 55, 59, 62]
surface	58.5	[74]
surface	59.0	[74, 55, 59, 62]
surface	60.0	[76]
reduction	60.0	[76, 50, 52, 55, 59]
surface	61.0	[76, 50, 52, 55, 59]
surface	61.5	[81, 50, 52, 55, 59]
surface	62.0	[79]
reduction	62.0	[74, 52, 55, 59, 62]
surface	62.5	[74]
surface	63.0	[74, 52, 55, 59, 62]
surface	64.0	[76]
reduction	64.0	[76, 50, 52, 55, 59]
surface	65.0	[76, 50, 52, 55, 59]
surface	65.5	[81, 50, 52, 55, 59]
surface	66.0	[79]
reduction	66.0	[74, 52, 55, 59, 62]
surface	66.5	[74]
surface	67.0	[74, 52, 55, 59, 62]
surface	68.0	[76]
reduction	68.0	[76, 49, 52, 56]
surface	69.0	[76, 49, 52, 56]
surface	70.0	[76]
reduction	70.0	[76, 49, 52, 56]
surface	71.0	[76, 49, 52, 56]
surface	73.0	[76, 49, 52, 56]
grouping	78.0	[72, 76, 79]
surface	78.0	[76]
reduction	78.0	[76, 48, 52, 55]
surface	79.0	[76, 48, 52, 55]
surface	79.5	[74, 48, 52, 55]
surface	80.0	[71, 48, 52, 55]
surface	80.5	[74, 48, 52, 55]
surface	81.0	[76, 48, 52, 55]
reduction	81.0	[71, 74]
surface	81.5	[74, 48, 52, 55]
surface	82.0	[74, 48, 52, 55]
surface	82.5	[71, 48, 52, 55]
surface	83.0	[71, 48, 52, 55]
surface	84.0	[76]
reduction	84.0	[76, 48, 52, 55]
surface	85.0	[76, 48, 52, 55]
surface	85.5	[74, 48, 52, 55]
surface	86.0	[71, 48, 52, 55]
surface	86.5	[74, 48, 52, 55]
surface	87.0	[76, 48, 52, 55]
reduction	87.0	[71, 74]
surface	87.5	[74, 48, 52, 55]
surface	88.0	[71, 48, 52, 55]
surface	88.5	[69, 48, 52, 55]
surface	89.0	[69, 48, 51, 55]
reduction	89.0	[69, 48, 51, 55]
grouping	90.0	[72]
surface	90.0	[71]
reduction	90.0	[71, 43, 50]
surface	91.0	[71, 43, 50]
surface	91.5	[69, 43, 50]
surface	92.0	[71, 43, 50]
surface	92.5	[76, 43, 50]
surface	93.0	[74, 43, 50]
reduction	93.0	[71, 43, 48, 52]
surface	93.5	[71, 43, 50]
surface	94.0	[67, 43, 48, 52]
reduction	94.0	[64, 43, 48, 52]
surface	94.5	[64, 43, 48, 52]
surface	95.0	[64, 43, 48, 52]
surface	96.0	[71]
reduction	96.0	[71, 54, 59, 62]
surface	97.0	[71, 54, 59, 62]
surface	97.5	[69, 54, 59, 62]
surface	98.0	[71, 54, 59, 62]
surface	98.5	[74, 54, 59, 62]
surface	99.0	[71, 54, 59, 62]
reduction	99.0	[71, 52, 55, 59, 62]
surface	99.5	[69, 54, 59, 62]
surface	100.0	[67, 52, 55, 59, 62]
reduction	100.0	[64, 52, 55, 59, 62]
surface	101.0	[64, 52, 55, 59, 62]
surface	102.0	[64, 52, 55, 59, 62]
reduction	102.0	[64, 52, 55, 59, 62]
grouping	105.0	[72, 76, 79]
surface	105.0	[74, 52, 55, 59]
reduction	105.0	[76, 52, 55, 59]
surface	105.5	[76, 52, 55, 59]
surface	106.0	[76, 50, 55, 59]
reduction	106.0	[79, 50, 55, 59]
surface	106.5	[76, 50, 55, 59]
surface	106.75	[79, 50, 55, 59]
surface	107.0	[74, 52, 55, 59]
reduction	107.0	[83, 52, 55, 59]
surface	107.25	[76, 52, 55, 59]
surface	107.5	[83, 52, 55, 59]
surface	108.0	[83, 50, 55, 59]
reduction	108.0	[83, 50, 55, 59]
surface	108.5	[81, 50, 55, 59]
surface	109.0	[79, 52, 55, 59]
reduction	109.0	[79, 52, 55, 59]
surface	109.166666667	[81, 52, 55, 59]
surface	109.333333333	[79, 52, 55, 59]
surface	109.5	[74, 52, 55, 59]
surface	110.0	[74, 50, 55, 59]
reduction	110.0	[74, 50, 55, 59]
surface	111.0	[76, 52, 55, 59]
reduction	111.0	[76, 52, 55, 59]
surface	112.0	[76, 50, 55, 59]
reduction	112.0	[76, 50, 55, 59]
surface	113.0	[74, 52, 55, 59]
reduction	113.0	[76, 52, 55, 59]
