tonality	2.0	[69, 71, 72, 74, 76, 77, 79]
grouping	2.0	[64, 67, 71]
surface	2.0	[72, 45]
reduction	2.0	[74, 64, 45, 60]
surface	2.0	[71, 45]
surface	2.25	[72, 45]
surface	2.5	[74, 45]
surface	3.0	[74, 57, 60, 64]
reduction	3.0	[72, 64, 45, 60]
surface	3.5	[72, 57, 60, 64]
surface	4.0	[74, 38]
reduction	4.0	[76, 62, 38, 57, 60]
surface	4.25	[76, 38]
surface	4.5	[76, 38]
surface	5.0	[76, 57, 60, 62]
reduction	5.0	[78, 62, 38, 57, 60]
surface	5.5	[78, 57, 60, 62]
surface	6.0	[78, 43]
reduction	6.0	[79, 62, 43, 60]
surface	6.25	[79, 43]
surface	6.5	[79, 43]
surface	7.0	[79, 60, 62]
reduction	7.0	[77, 62, 59, 43]
surface	7.5	[77, 59, 62]
surface	7.75	[76, 59, 62]
surface	8.0	[76, 59, 60]
reduction	8.0	[76, 60, 45, 52, 59]
surface	8.25	[74, 59, 60]
surface	8.5	[72, 59, 60]
surface	9.0	[72, 45, 52, 57]
reduction	9.0	[72, 60, 57, 45, 52]
grouping	10.0	[64]
surface	10.0	[71, 40]
reduction	10.0	[74, 59, 40, 55]
surface	10.25	[72, 40]
surface	10.5	[74, 40]
surface	11.0	[74, 52, 55, 59]
surface	11.5	[74, 52, 55, 59]
surface	11.75	[71, 52, 55, 59]
surface	11.875	[74, 52, 55, 59]
surface	12.0	[72, 52, 57, 60]
reduction	12.0	[60, 72, 40, 57]
surface	12.875	[69, 52, 57, 60]
surface	13.0	[71, 59, 62, 52]
reduction	13.0	[62, 67, 59, 40]
surface	13.5	[67, 59, 62, 52]
surface	14.0	[69, 57, 61, 64]
reduction	14.0	[69, 64, 45, 61]
surface	15.0	[69, 45]
surface	16.0	[57, 61, 64]
reduction	16.0	[69, 64, 45, 61]
surface	17.0	[57, 33]
surface	17.75	[72, 33]
grouping	18.0	[64, 67, 71]
surface	18.0	[71, 57, 62, 66]
reduction	18.0	[74, 66, 45, 62]
surface	18.25	[72, 57, 62, 66]
surface	18.5	[74, 57, 62, 66]
surface	19.0	[74, 45]
reduction	19.0	[72, 66, 45, 62]
surface	19.5	[72, 45]
surface	20.0	[74, 57, 60, 64]
reduction	20.0	[76, 64, 50, 60]
surface	20.25	[76, 57, 60, 64]
surface	20.5	[76, 57, 60, 64]
surface	21.0	[76, 50, 57, 62]
reduction	21.0	[78, 64, 50, 60]
surface	21.5	[78, 50, 57, 62]
surface	22.0	[78, 60, 62]
reduction	22.0	[79, 62, 43, 60]
surface	22.25	[79, 60, 62]
surface	22.5	[79, 60, 62]
surface	23.0	[79, 43, 50, 59]
reduction	23.0	[77, 62, 59, 43]
surface	23.5	[77, 43, 50, 59]
surface	23.75	[76, 43, 50, 59]
surface	24.0	[76, 55, 64, 57]
reduction	24.0	[76, 64, 48, 55, 60]
surface	24.25	[74, 59, 55, 64]
surface	24.5	[72, 60, 55, 64]
surface	25.0	[72, 36]
reduction	25.0	[72, 64, 48]
surface	25.5	[38]
grouping	26.0	[64]
surface	26.0	[71, 40]
reduction	26.0	[74, 59, 40, 55]
surface	26.25	[72, 40]
surface	26.5	[74, 40]
surface	27.0	[74, 52, 55, 59]
surface	27.5	[71, 52, 55, 59]
surface	28.0	[74, 72, 52, 57, 60]
reduction	28.0	[72, 60, 40, 57]
surface	28.5	[69, 52, 57, 60]
surface	29.0	[72, 71, 59, 62, 52]
reduction	29.0	[67, 62, 59, 40]
surface	29.5	[67, 59, 62, 52]
surface	30.0	[69, 57, 61, 64]
reduction	30.0	[69, 64, 45, 61]
surface	31.0	[69, 45]
surface	32.0	[57, 61, 64]
reduction	32.0	[69, 64, 45, 61]
surface	33.0	[57, 33]
surface	33.75	[67, 33]
grouping	34.0	[64, 67]
surface	34.0	[69]
reduction	34.0	[69]
surface	35.0	[69, 57, 62, 66]
reduction	35.0	[66, 69, 57, 62]
surface	35.5	[72, 57, 62, 66]
surface	35.6666666667	[71, 57, 62, 66]
surface	35.8333333333	[72, 57, 62, 66]
surface	36.0	[74, 55, 60, 64]
reduction	36.0	[74, 64, 55, 60]
surface	36.75	[69, 55, 60, 64]
surface	37.0	[74, 54, 59, 62]
reduction	37.0	[74, 62, 54, 59]
surface	37.5	[71, 54, 59, 62]
surface	38.0	[72, 52, 59, 60]
reduction	38.0	[72, 60, 45, 52, 59]
surface	39.0	[72, 33]
surface	39.5	[71, 33]
surface	40.0	[72, 52, 57, 60]
reduction	40.0	[72, 60, 45, 52, 57]
surface	40.75	[76, 52, 57, 60]
surface	41.0	[81, 45, 55]
reduction	41.0	[72, 60, 55, 45, 52]
surface	41.5	[83, 45, 55]
surface	42.0	[84, 53, 57, 62]
reduction	42.0	[72, 62, 38, 57]
surface	42.75	[83, 53, 57, 62]
surface	43.0	[81, 38]
surface	43.5	[79, 38]
surface	44.0	[77, 55, 59, 62]
reduction	44.0	[77, 62, 40, 55, 59]
surface	44.75	[76, 55, 59, 62]
surface	45.0	[74, 40]
reduction	45.0	[74, 62, 40, 55, 59]
surface	45.5	[71, 40]
surface	46.0	[74, 52, 59, 60]
reduction	46.0	[72, 60, 45, 59]
surface	46.25	[72, 52, 59, 60]
surface	46.5	[72, 52, 59, 60]
surface	47.0	[72, 45]
reduction	47.0	[71, 60, 45, 59]
surface	47.5	[71, 45]
surface	48.0	[72, 52, 57, 60]
reduction	48.0	[72, 60, 43, 57]
surface	48.75	[71, 52, 57, 60]
surface	49.0	[72, 43]
reduction	49.0	[67, 60, 43, 57]
surface	49.5	[67, 43]
grouping	50.0	[64, 67]
surface	50.0	[69, 41]
reduction	50.0	[69, 63, 41, 57]
surface	51.0	[69, 57, 63]
reduction	51.0	[72, 63, 41, 57]
surface	51.5	[72, 57, 63]
surface	51.6666666667	[71, 57, 63]
surface	51.8333333333	[72, 57, 63]
surface	52.0	[74, 57, 62]
reduction	52.0	[74, 62, 41, 57]
surface	52.75	[69, 57, 62]
surface	53.0	[74, 52, 57, 64]
reduction	53.0	[74, 64, 40, 57]
surface	53.5	[71, 52, 57, 64]
surface	54.0	[74, 38]
reduction	54.0	[72, 66, 38, 57, 60]
surface	54.25	[72, 38]
surface	54.5	[72, 38]
surface	55.0	[72, 57, 60, 66]
reduction	55.0	[74, 66, 38, 57, 60]
surface	55.5	[74, 57, 60, 66]
surface	55.6666666667	[72, 57, 60, 66]
surface	55.8333333333	[74, 57, 60, 66]
surface	56.0	[76, 57, 60, 65]
reduction	56.0	[76, 66, 38, 57, 60]
surface	56.75	[72, 57, 60, 65]
surface	57.0	[67, 57, 60, 65]
reduction	57.0	[67, 66, 38, 57, 60]
grouping	58.0	[64]
surface	58.0	[69]
reduction	58.0	[69, 60, 38, 54]
surface	58.5	[76]
surface	59.0	[69, 50, 54, 60]
surface	59.5	[76, 50, 54, 60]
surface	60.0	[69, 57, 60, 66]
reduction	60.0	[69, 66, 38, 57, 60]
surface	60.5	[76, 57, 60, 66]
surface	61.0	[69, 52, 56, 62]
reduction	61.0	[62, 69, 40, 56]
surface	61.5	[76, 52, 56, 62]
surface	62.0	[69, 52, 57, 60]
reduction	62.0	[69, 60, 45, 52, 57]
surface	63.0	[69, 45]
surface	64.0	[56, 57, 61, 64]
reduction	64.0	[69, 64, 45, 61]
surface	65.0	[56, 57, 33]
surface	65.75	[67, 33]
grouping	66.0	[64, 67]
surface	66.0	[69, 53, 60, 64]
reduction	66.0	[69, 64, 41, 60]
surface	67.0	[69, 41]
surface	67.5	[72, 41]
reduction	67.5	[72, 64, 41, 60]
surface	67.6666666667	[71, 41]
surface	67.8333333333	[72, 41]
surface	68.0	[74]
reduction	68.0	[74]
surface	68.75	[69]
surface	69.0	[74, 67, 52, 59]
reduction	69.0	[74, 40, 59]
surface	69.5	[71, 67, 52, 59]
surface	70.0	[74, 65, 50, 57]
reduction	70.0	[72, 38, 57]
surface	70.25	[72, 65, 50, 57]
surface	70.5	[72, 65, 50, 57]
surface	71.0	[72, 65, 38]
reduction	71.0	[71, 38, 57]
surface	71.5	[71, 65, 38]
surface	72.0	[72]
reduction	72.0	[72, 38]
surface	72.75	[76]
surface	73.0	[81, 48, 50, 53]
reduction	73.0	[72, 48, 50, 53]
surface	73.5	[83, 48, 50, 53]
surface	74.0	[84, 47, 52, 55]
reduction	74.0	[72, 55, 47, 52]
surface	74.75	[83, 47, 52, 55]
surface	75.0	[81, 59, 60, 64]
reduction	75.0	[64, 72, 60, 47]
surface	75.5	[79, 59, 60, 64]
surface	76.0	[77, 57, 60, 62, 65]
reduction	76.0	[77, 65, 45, 60, 62]
surface	76.75	[76, 57, 60, 62, 65]
surface	77.0	[74, 56, 60, 62, 65]
reduction	77.0	[74, 65, 44, 60, 62]
surface	77.5	[71, 56, 60, 62, 65]
surface	78.0	[74, 55, 60, 65]
reduction	78.0	[72, 65, 43, 60]
surface	78.25	[72, 55, 60, 65]
surface	78.5	[72, 55, 60, 65]
surface	79.0	[72, 43]
reduction	79.0	[71, 65, 43, 60]
surface	79.5	[71, 43]
surface	80.0	[74, 72, 55, 60, 64]
reduction	80.0	[72, 64, 43, 60]
surface	80.75	[71, 55, 60, 64]
surface	81.0	[72, 42]
reduction	81.0	[67, 64, 42, 60]
surface	81.5	[67, 42]
grouping	82.0	[64, 67]
surface	82.0	[69, 41]
reduction	82.0	[69, 63, 41, 57]
surface	83.0	[69, 57, 63]
reduction	83.0	[72, 63, 41, 57]
surface	83.5	[72, 57, 63]
surface	83.6666666667	[71, 57, 63]
surface	83.8333333333	[72, 57, 63]
