tonality	0.0	[62, 64, 66, 68, 69, 71, 73]
surface	0.0	[74, 38, 45]
reduction	0.0	[38, 45, 50, 57, 62]
surface	1.0	[74, 50]
surface	1.5	[74, 57, 62]
surface	2.0	[74, 50]
reduction	2.0	[50, 57, 62]
surface	2.5	[74, 57, 62]
surface	3.0	[74, 50]
surface	3.5	[74, 57, 62]
surface	4.0	[74, 50]
reduction	4.0	[50, 57, 62]
surface	4.5	[74, 57, 62]
surface	5.0	[74, 50]
surface	5.5	[74, 57, 62]
surface	6.0	[74, 50]
reduction	6.0	[50, 57, 62]
surface	6.5	[74, 57, 62]
surface	7.0	[74, 50]
surface	7.5	[74, 57, 62]
grouping	8.0	[73, 76, 79]
surface	8.0	[74, 50]
reduction	8.0	[74, 50, 57, 62]
surface	8.5	[78, 57, 62]
surface	9.0	[81, 50]
surface	9.5	[78, 57, 62]
surface	10.0	[74, 50]
surface	10.5	[78, 57, 62]
surface	11.0	[74, 50]
reduction	11.0	[74, 50, 57, 62]
surface	11.5	[78, 57, 62]
surface	12.0	[81, 50]
surface	12.5	[78, 57, 62]
surface	13.0	[74, 50]
surface	13.5	[78, 57, 62]
surface	14.0	[76, 50]
reduction	14.0	[76, 50, 56, 59]
surface	14.5	[76, 56, 59]
surface	14.75	[74, 56, 59]
surface	15.0	[73, 56, 64]
reduction	15.0	[71, 56, 59, 64]
surface	15.1666666667	[74, 56, 64]
surface	15.3333333333	[73, 56, 64]
surface	15.5	[71, 56, 64]
grouping	16.0	[73]
surface	16.0	[74, 50]
reduction	16.0	[74, 50, 57, 62]
surface	16.5	[78, 57, 62]
surface	17.0	[81, 50]
reduction	17.0	[74, 50, 57, 59]
surface	17.5	[78, 57, 59]
surface	18.0	[74, 50]
reduction	18.0	[74, 50, 57, 61]
surface	18.5	[78, 57, 61]
surface	19.0	[74, 50]
reduction	19.0	[74, 50, 57, 62]
surface	19.5	[78, 57, 62]
surface	20.0	[81, 50]
reduction	20.0	[74, 50, 57, 61]
surface	20.5	[78, 57, 61]
surface	21.0	[74, 50]
reduction	21.0	[74, 50, 57, 62]
surface	21.5	[78, 57, 62]
surface	22.0	[76, 50]
reduction	22.0	[76, 50, 56, 59]
surface	22.5	[76, 56, 59]
surface	22.75	[74, 56, 59]
surface	23.0	[73, 56, 64]
reduction	23.0	[71, 56, 59, 64]
surface	23.1666666667	[74, 56, 64]
surface	23.3333333333	[73, 56, 64]
surface	23.5	[71, 56, 64]
grouping	24.0	[73, 76]
surface	24.0	[67, 43]
reduction	24.0	[67, 43, 50, 59]
surface	24.5	[71, 50, 59]
surface	25.0	[74, 43]
surface	25.5	[71, 50, 59]
surface	26.0	[67, 43]
surface	26.5	[71, 50, 59]
surface	27.0	[67, 43]
reduction	27.0	[67, 43, 52, 59]
surface	27.5	[71, 52, 59]
surface	28.0	[74, 43]
reduction	28.0	[67, 43, 51, 59]
surface	28.5	[71, 51, 59]
surface	29.0	[67, 43]
reduction	29.0	[67, 43, 52, 59]
surface	29.5	[71, 52, 59]
surface	30.0	[69, 45]
reduction	30.0	[69, 45, 52, 61]
surface	30.5	[73, 52]
surface	30.75	[74, 52]
surface	31.0	[76, 61]
reduction	31.0	[76, 45, 52, 61]
grouping	32.0	[73]
surface	32.0	[67, 43]
reduction	32.0	[67, 43, 50, 59]
surface	32.5	[71, 50, 59]
surface	33.0	[74, 43]
reduction	33.0	[67, 43, 49, 59]
surface	33.5	[71, 49, 59]
surface	34.0	[67, 43]
reduction	34.0	[67, 43, 50, 59]
surface	34.5	[71, 50, 59]
surface	35.0	[67, 40]
reduction	35.0	[67, 40, 55]
surface	35.5	[71, 55]
surface	36.0	[74, 39]
reduction	36.0	[67, 39, 54]
surface	36.5	[71, 54]
surface	37.0	[67, 40]
reduction	37.0	[67, 40, 55]
surface	37.5	[71, 55]
