tonality	0.0	[59, 62, 64, 66, 69]
grouping	1.0	[76]
reduction	1.0	[71]
reduction	1.5	[76]
reduction	2.0	[74]
reduction	3.0	[71]
reduction	4.5	[76]
reduction	5.0	[74]
reduction	6.0	[71, 66]
reduction	6.5	[71, 69]
grouping	7.5	[64, 67, 71]
surface	7.5	[71, 71]
reduction	7.5	[74, 71, 71]
surface	1.5	[76, 71]
surface	2.0	[74, 71]
surface	3.0	[71, 71]
surface	3.5	[71, 71]
surface	4.5	[76, 71]
surface	5.0	[74, 71]
surface	5.25	[71, 71]
surface	6.0	[71, 66, 71]
surface	6.5	[71, 69, 71]
surface	7.5	[74, 71, 71]
surface	8.5	[71, 74, 71]
surface	8.75	[69, 74, 71]
surface	9.0	[78, 71, 71]
reduction	9.0	[78, 71, 71]
surface	9.5	[76, 71, 71]
reduction	9.5	[74, 69, 71]
surface	9.75	[74, 69, 71]
surface	10.5	[71, 71]
reduction	10.5	[71, 71]
surface	11.5	[71, 71]
surface	11.75	[69, 71, 71]
surface	12.0	[74, 71, 71]
reduction	12.0	[74, 71, 71]
surface	12.5	[71, 69, 71]
reduction	12.5	[71, 69, 71]
surface	13.5	[76, 71, 71]
reduction	13.5	[76, 71, 71]
surface	14.0	[76, 71, 71]
reduction	14.0	[74, 69, 71]
surface	14.25	[74, 69, 71]
surface	14.5	[71, 69, 71]
reduction	14.5	[71, 69, 71]
surface	15.0	[74, 71, 71]
reduction	15.0	[74, 71, 71]
surface	15.25	[69, 74, 71]
surface	15.5	[71, 66, 71]
reduction	15.5	[71, 66, 71]
surface	16.5	[76, 71, 71]
reduction	16.5	[76, 71, 71]
surface	17.0	[76, 71, 71]
reduction	17.0	[76, 69, 71]
surface	17.25	[69, 76, 71]
surface	18.0	[76, 71, 71]
reduction	18.0	[76, 71, 71]
surface	18.25	[74, 71, 71]
surface	18.5	[71, 71]
reduction	18.5	[71, 69, 71]
surface	18.75	[69, 71, 71]
surface	19.5	[76, 71, 71]
reduction	19.5	[76, 71, 71]
grouping	20.5	[64]
surface	20.5	[74, 69, 71]
reduction	20.5	[74, 69, 71]
surface	21.0	[78, 71, 71]
reduction	21.0	[78, 71, 71]
surface	21.5	[76, 71, 71]
reduction	21.5	[74, 69, 71]
surface	21.75	[74, 69, 71]
surface	22.5	[71, 71]
reduction	22.5	[71, 71]
surface	23.5	[74, 71, 71]
reduction	23.5	[74, 71, 71]
surface	24.0	[74, 71, 71]
reduction	24.0	[74, 71, 71]
surface	24.5	[69, 74, 71]
reduction	24.5	[69, 74, 71]
surface	25.0	[74, 71]
reduction	25.0	[74, 71]
grouping	26.5	[76]
surface	26.5	[74]
reduction	26.5	[74]
surface	27.0	[74]
reduction	27.0	[74]
surface	28.0	[74]
reduction	28.0	[74]
surface	28.5	[78]
reduction	28.5	[78]
surface	29.0	[76]
reduction	29.0	[74]
surface	29.25	[74]
surface	30.0	[71, 66]
reduction	30.0	[71, 66]
surface	30.5	[69, 71]
reduction	30.5	[69, 71]
grouping	31.5	[64, 67]
surface	31.5	[78, 71, 71]
reduction	31.5	[78, 71, 71]
surface	32.0	[78, 71, 71]
reduction	32.0	[76, 69, 71]
surface	32.125	[69, 78, 71]
surface	32.25	[76, 69, 71]
surface	32.5	[76, 71, 71]
reduction	32.5	[76, 71, 71]
surface	33.5	[74, 69, 71]
reduction	33.5	[74, 69, 71]
surface	34.0	[76, 71, 71]
reduction	34.0	[76, 71, 71]
surface	34.5	[74, 71, 71]
reduction	34.5	[74, 69, 71]
surface	34.625	[69, 74, 71]
surface	35.0	[71, 71]
reduction	35.0	[71, 71]
surface	36.0	[69, 71, 71]
reduction	36.0	[69, 71, 71]
surface	36.5	[74, 71, 71]
reduction	36.5	[74, 71, 71]
surface	37.0	[78, 71, 71]
reduction	37.0	[78, 69, 71]
surface	37.125	[69, 78, 71]
surface	37.5	[76, 71, 71]
reduction	37.5	[76, 71, 71]
surface	38.5	[74, 69, 71]
reduction	38.5	[74, 69, 71]
surface	39.0	[76, 71, 71]
reduction	39.0	[76, 71, 71]
surface	39.5	[74, 71, 71]
reduction	39.5	[74, 69, 71]
surface	39.625	[69, 74, 71]
surface	40.0	[71, 71]
reduction	40.0	[71, 71]
surface	40.5	[71, 71]
reduction	40.5	[71]
grouping	41.0	[64]
surface	41.0	[74]
reduction	41.0	[74]
surface	41.5	[76, 71, 71]
reduction	41.5	[76, 71, 71]
surface	42.0	[76, 71, 71]
reduction	42.0	[76, 69, 71]
surface	42.125	[69, 76, 71]
surface	42.5	[76, 71, 71]
reduction	42.5	[76, 71, 71]
surface	43.5	[74, 69, 71]
reduction	43.5	[74, 69, 71]
surface	44.0	[76, 71, 71]
reduction	44.0	[76, 71, 71]
surface	44.5	[74, 71, 71]
reduction	44.5	[74, 69, 71]
surface	44.625	[69, 74, 71]
surface	45.0	[71, 71]
reduction	45.0	[71, 71]
surface	46.0	[71, 71]
reduction	46.0	[71, 71]
surface	46.5	[71, 71]
reduction	46.5	[71, 71]
surface	47.25	[69, 71, 71]
surface	47.5	[71, 69, 71]
reduction	47.5	[71, 69, 71]
