tonality	0.0	[66, 68, 69, 71, 73, 76]
grouping	1.0	[76]
reduction	1.0	[76]
reduction	1.5	[80]
reduction	2.5	[76]
reduction	3.0	[80]
reduction	4.5	[78]
reduction	6.0	[78]
reduction	7.0	[73]
reduction	7.5	[80, 73]
reduction	8.0	[78, 73]
grouping	9.0	[64, 67]
surface	9.0	[76, 66]
reduction	9.0	[81, 73, 66]
surface	1.5	[80, 66]
surface	2.5	[76, 66]
surface	3.0	[80, 66]
surface	3.5	[80, 66]
surface	4.25	[78, 66]
surface	4.5	[78, 66]
surface	5.0	[78, 66]
surface	6.0	[78, 66]
surface	6.5	[78, 66]
surface	7.0	[73, 66]
surface	7.5	[80, 73, 66]
surface	8.0	[78, 73, 66]
surface	9.0	[81, 73, 66]
surface	9.5	[85, 76, 66]
reduction	9.5	[85, 76, 66]
surface	10.5	[83, 78, 66]
reduction	10.5	[83, 78, 66]
surface	10.75	[81, 78, 66]
surface	11.0	[78, 66]
reduction	11.0	[78, 66]
surface	11.75	[76, 78, 66]
surface	12.0	[81, 73, 66]
reduction	12.0	[81, 73, 66]
surface	12.5	[85, 76, 66]
reduction	12.5	[85, 76, 66]
surface	13.5	[83, 78, 66]
reduction	13.5	[83, 78, 66]
grouping	14.5	[64]
surface	14.5	[81, 78, 66]
reduction	14.5	[81, 78, 66]
surface	15.0	[78, 66]
reduction	15.0	[78, 66]
surface	16.0	[76, 78, 66]
reduction	16.0	[76, 78, 66]
surface	16.5	[78, 66]
reduction	16.5	[78, 66]
surface	17.0	[76, 78, 66]
reduction	17.0	[76, 78, 66]
surface	18.0	[78, 66]
reduction	18.0	[78, 66]
surface	19.0	[76, 78, 66]
reduction	19.0	[76, 78, 66]
surface	19.5	[78, 66]
reduction	19.5	[78, 66]
surface	20.0	[76, 78, 66]
reduction	20.0	[76, 78, 66]
surface	21.0	[78, 66]
reduction	21.0	[78, 66]
surface	22.5	[81, 76]
reduction	22.5	[81, 76]
surface	23.5	[73, 81]
surface	23.75	[81]
grouping	24.0	[64]
surface	24.0	[85, 78, 66]
reduction	24.0	[85, 78, 66]
surface	24.5	[85, 78, 66]
surface	25.25	[76, 85, 66]
surface	25.5	[83, 78, 66]
reduction	25.5	[83, 78, 66]
surface	25.75	[81, 78, 66]
surface	26.0	[78, 66]
reduction	26.0	[78, 66]
surface	26.75	[76, 78, 66]
surface	27.0	[81, 78, 66]
reduction	27.0	[81, 78, 66]
surface	27.5	[85, 78, 66]
reduction	27.5	[85, 78, 66]
surface	28.25	[76, 85, 66]
surface	28.5	[83, 78, 66]
reduction	28.5	[83, 78, 66]
grouping	29.5	[64]
surface	29.5	[81, 78, 66]
reduction	29.5	[81, 78, 66]
surface	30.0	[78, 66]
reduction	30.0	[78, 66]
surface	31.0	[76, 78, 66]
reduction	31.0	[76, 78, 66]
surface	31.5	[78, 66]
reduction	31.5	[78, 66]
surface	32.5	[76, 78, 66]
reduction	32.5	[76, 78, 66]
surface	33.0	[78, 66]
reduction	33.0	[78, 66]
surface	33.25	[76, 78, 66]
surface	33.5	[81, 78, 66]
reduction	33.5	[81, 78, 66]
surface	33.75	[76, 78, 66]
surface	34.0	[78, 66]
reduction	34.0	[78, 66]
surface	34.5	[78, 66]
reduction	34.5	[78, 66]
surface	36.0	[78, 76, 66]
reduction	36.0	[78, 76, 66]
