time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;;[0 0 3 7];;
2;[0 0 3];;;
2.5;[0 0 3 10];;;
3;[0 0 3 7];;;
3.5;[0 0 3 10];;;
4;[0 0 3];[7 0 3 7];;
4.5;[0 0 3 10];;;
5;[10 0 4];;;
5.5;[7 0 3 7];;;
6;[7 0 3 7];;;
grouping;8;-------;-------;-------
8;[0 0];[8 0 4 7];;
10;[8 0 4 7];;;
10.5;[8 0 4 7 14];;;
11;[8 0 4 7 11];;;
11.5;[8 0 4 7 14];;;
12;[8 0 4 7];[10 0 4 7 10];;
12.5;[8 0 4 7 14];;;
13;[7 0 3 7 13];;;
13.5;[10 0 4 7 10];;;
14;[10 0 4 7 10];;;
grouping;16;-------;-------;-------
16;[7 0];[7 0 3 7];;
18;[7 0 3 7];;;
18.5;[7 0 3 7 10];;;
19;[7 0 3 7];;;
19.5;[7 0 3 7 17];;;
20;[7 0 3 7];[5 0 3 7 10];;
20.5;[7 0 3 7];;;
21;[5 0 3 10];;;
21.5;[5 0 3 7];;;
22;[5 0 3 7];;;
grouping;24;-------;-------;-------
24;[7 0];[3 0 4 7];;
26;[3 0 4 7];;;
26.5;[5 0 5 10];;;
27;[3 0 4 7];;;
27.5;[3 0 7];;;
28;[7 0 3 7];[7 0 3 7 10];;
28.5;[7 0 3 7 10];;;
29;[0 0 3 7 10];[0 0 3 7 10];;
30;[0 0 3 7 10];;;
31;[0 0 3 7 10];[0 0 3 7 10];;
grouping;34;-------;-------;-------
34;[10 0];[0 0 3 7];;
34.5;[0 0];;;
35;[0 0 3 7];;;
35.5;[0 0 3 7];;;
36;[10 0];[3 0 4 7];;
36.5;[0 0];;;
37;[3 0 4 7];;;
37.5;[3 0 4 7 14];;;
38;[3 0];[0 0 3 7];;
38.5;[10 0];;;
39;[0 0 3 7 10];;;
40;[0 0];[0 0 3 7 10];;
41;[0 0 3 7 10];;;
42;[10 0];[0 0 3 7];;
42.5;[0 0];;;
43;[0 0 3 7];;;
43.5;[0 0 3 7];;;
44;[10 0];[3 0 4 7];;
44.5;[0 0];;;
