time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;;[8 0 4 11];;
2;[8 0 4 11];[8 0 4 7 11];;
0.5;[2 0 5 10 18];;;
1;[8 0 4 7 11];;;
2;[8 0 4 7 11];;;
3;[8 0 4 7 11];;;
3.5;[8 0 4 7 11];;;
4;[2 0 5 10 18];[2 0 5 10 18];;
4.5;[8 0 4 7 11];;;
5;[5 0 3 7 14];;;
5.5;[8 0 4 7 11];;;
6;[5 0 3 7 9];[5 0 3 7 9];;
7;[5 0 3 7];[5 0 3 7];;
8;[7 0 4 7];[7 0 4 7];;
9;[0 0];[0 0];;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;10;-------;-------;-------
10;[0 0];;;
10.5;[2 0];;;
11;[4 0];;;
12;[0 0 4 7 8];[0 0 4 7 8];;
13;[0 0 4 7 8];;;
13.5;[0 0 4 7 8];;;
14;[2 0 5 10 18];[2 0 5 10 18];;
14.5;[0 0 4 7 8];;;
15;[5 0 3 7 14];;;
15.5;[0 0 4 7 8];;;
16;[5 0 3 7 9];[5 0 3 7 9];;
17;[5 0 3 7];[5 0 3 7];;
18;[7 0 4 7];[7 0 4 7];;
19;[0 0];[0 0];;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;20;-------;-------;-------
20;[3 0];;;
20.5;[5 0];;;
21;[7 0];;;
22;[7 0 5 10 18];[7 0 5 10 18];;
23;[7 0 5 10 18];;;
23.5;[7 0 5 10 18];;;
24;[5 0 7 13];[10 0 3 7];;
24.5;[10 0 3 7 9];;;
25;[10 0 3 7];;;
26;[3 0 7 13];[3 0 7 13];;
27;[3 0 7 13];;;
27.5;[3 0 7 13];;;
28;[10 0 4 5 13];[8 0 3 7];;
28.5;[8 0 3 7];;;
29;[8 0 3 7 9];;;
29.5;[8 0 3 7];;;
30;[2 0 5 10 18];[2 0 5 10 18];;
31;[8 0 4 11];[8 0 4 11];;
32;[8 0 4 11];[8 0 4 11];;
34;[7 0 4 7];[7 0 4 7];;
35;[0 0];[0 0];;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;38;-------;-------;-------
38;[9 0];;;
38.5;[11 0];;;
39;[0 0];;;
40;[5 0 4 7 11];[5 0 4 7 11];;
41;[5 0 4 7 11];;;
41.5;[5 0 4 7 11];;;
42;[11 0 5 10 18];[11 0 5 10 18];;
42.5;[5 0 4 7 11];;;
43;[2 0 3 7 14];;;
43.5;[5 0 4 7 11];;;
44;[2 0 3 7 9];[2 0 3 7 9];;
45;[2 0 3 7];[2 0 3 7];;
46;[7 0 4 7 10];[7 0 4 7 10];;
47;[5 0 4 7];[5 0 4 7];;
grouping;48;-------;-------;-------
48;[0 0];[9 0 3 10];;
48.5;[2 0];;;
49;[4 0];;;
50;[9 0 3 7 10];[9 0 3 7 10];;
51;[9 0 3 7 10];;;
51.5;[9 0 3 7 10];;;
52;[9 0 5 10 15];[9 0 5 10 15];;
52.5;[9 0 3 7 10];;;
53;[5 0 4 7 14];;;
53.5;[9 0 3 7 10];;;
54;[2 0 3 7 10];[2 0 3 7 10];;
55;[5 0 4 7];[5 0 4 7];;
56;[5 0 3 7 9 18];[5 0 3 7 9 18];;
57;[2 0 3 7 10];[2 0 3 7 10];;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;58;-------;-------;-------
58;[3 0];;;
58.5;[5 0];;;
59;[7 0];;;
60;[7 0 5 10 18];[7 0 5 10 18];;
61;[7 0 5 10 18];;;
61.5;[7 0 5 10 18];;;
62;[5 0 7 13];[10 0 3 7];;
62.5;[10 0 3 7 9];;;
63;[10 0 3 7];;;
64;[5 0 5 10 18];[5 0 5 10 18];;
65;[5 0 5 10 18];;;
65.5;[5 0 5 10 18];;;
66;[10 0 4 7 13];[2 0 3 6 9];;
66.5;[8 0 3 7 9];;;
67;[5 0 3 6];;;
67.5;[8 0 3 7 9];;;
68;[2 0 5 10 18];[2 0 5 10 18];;
70;[8 0 4 11];[8 0 4 11];;
72;[8 0 4 11];[8 0 4 11];;
76;[7 0 4 7];[7 0 4 7];;
78;[0 0];[0 0];;
