time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
1;[7 0 3 7];[7 0 3 7];;
2;[3 0 4 7];[3 0 4 7];;
2.5;[5 0 3 7];[5 0 3 7];;
3;[7 0 3 7];[7 0 3 7];;
3.5;[10 0 4 7];[10 0 4 7];;
4;[0 0 3 7];[0 0 3 7];;
5;[0 0 3 7];[0 0 3 7];;
grouping;6;-------;-------;-------
6;[0 0 3 7 10];[0 0 3 7 10];;
7;[7 0 3 7 10];[7 0 3 7 10];;
8;[3 0 4 7 11 14];[3 0 4 7 11 14];;
8.5;[5 0 3 7 10];[5 0 3 7 10];;
9;[7 0 3 7 10];[7 0 3 7 10];;
9.5;[10 0 4 7 10 14];[10 0 4 7 10 14];;
10;[0 0 3 7 10];[0 0 3 7 10];;
11;[0 0 3 7 10];[0 0 3 7 10];;
grouping;12;-------;-------;-------
12;[5 0 3 7 10];[5 0 3 7 10];;
13;[7 0 3 7];[7 0 3 7];;
14;[5 0 4 7 10];[5 0 4 7 10];;
14.5;[5 0 4 7];;;
15;[5 0 3 7 9];[10 0 4 7 10];;
15.5;[10 0 4 7 10];;;
16;[8 0 4 7 11];[8 0 4 7 11];;
17;[8 0 4 7 11];[8 0 4 7 11];;
grouping;18;-------;-------;-------
18;[5 0 3 7 10];[5 0 3 7 10];;
19;[7 0 3 7];[7 0 3 7];;
20;[3 0 4 7 11];[0 0 3 7 10 14];;
20.5;[0 0 3 7 10];;;
21;[0 0 3 7 10 17];[5 0 4 7 10];;
21.5;[5 0 4 7 10];;;
22;[7 0 3 5 11];[0 0 4 7 10];;
22.5;[0 0 4 7 10];;;
23;[0 0 3 7 10];[0 0 3 7 10];;
grouping;24;-------;-------;-------
24;[5 0 3 7 10];[5 0 3 7 10];;
25;[7 0 3 7];[7 0 3 7];;
26;[5 0 4 7 10];[5 0 4 7 10];;
26.5;[5 0 4 7];;;
27;[5 0 3 7 9];[10 0 4 7 10];;
27.5;[10 0 4 7 10];;;
28;[8 0 4 7 11];[8 0 4 7 11];;
29;[8 0 4 7 11];[8 0 4 7 11];;
grouping;30;-------;-------;-------
30;[5 0 3 7 10];[5 0 3 7 10];;
31;[7 0 3 7];[7 0 3 7];;
32;[3 0 4 7 11];[0 0 3 7 10 14];;
32.5;[0 0 3 7 10];;;
33;[0 0 3 7 10 17];[5 0 4 7 10];;
33.5;[5 0 4 7 10];;;
34;[7 0 3 5 11];[0 0 4 7 10];;
34.5;[0 0 4 7 10];;;
35;[0 0 3 7 10];[0 0 3 7 10];;
