time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 4 6 7 9 11];-------;-------
4;;[9 0 3 7 9];;
6;[2 0 4 7 10];[9 0 3 7 9];;
2;[2 0 4 7 10];;;
2.5;[6 0 3 6];;;
3;[6 0 3 6 17];;;
3.5;[6 0 3 6];;;
4;[2 0 4 7 10];;;
4.5;[9 0 3 7 9];;;
5;[9 0 3 7 9];;;
5.5;[9 0 3 7 9];;;
7;[9 0 3 7 9];[9 0 3 7 9];;
8;;[2 0 4 7 10];;
8.5;[2 0 4 7 10];;;
9;[9 0];;;
9.5;[9 0];;;
10;[11 0];;;
10.5;[9 0];;;
11;[2 0];[11 0 3 7];;
11.5;[11 0];;;
12;[11 0 3 7 10];[11 0 3 7 10];;
13;[7 0 4 7 11];[0 0 4 7 11];;
13.25;[4 0 3 7 10];;;
14;[4 0 3 7 10];;;
14.25;[0 0 4 7 11];;;
15;[9 0 3 7 10 14];[9 0 3 7 10 14];;
15.5;[9 0];;;
16;[11 0];;;
16.5;[9 0];;;
17;[2 0];[5 0 7 11];;
17.5;[11 0];;;
18;[5 0 4 7 18];[5 0 4 7 18];;
grouping;19;-------;-------;-------
19;[5 0 4 7 14];[1 0 3 7 10];;
19.5;[5 0 4 7 11];;;
20;[5 0 4 7 11];;;
20.5;[1 0 3 7 10];;;
21;[1 0 3 7 10];[1 0 3 7 10];;
21.5;[8 0 3 5];;;
22;[1 0 3 7 10];[1 0 3 7 10];;
23;[8 0 3 6 17];[8 0 3 6 17];;
24;[7 0 4 6 13];[7 0 4 6 13];;
25;[9 0 4 11 14];[1 0 4 8 10 19];;
26;[1 0 4 7 10 13];[1 0 4 7 10 13];;
26.5;[1 0 3 7 10 16];;;
27;[1 0 3 7 10 16];[1 0 4 7 10 13];;
27.5;[1 0 3 7 10 16];;;
28;[1 0 3 7 10 16];[1 0 3 4];;
29;[1 0 3 7 10 16];[5 0 3 7 11 18];;
30;[5 0 4 7 11];[5 0 4 7 11];;
31;;[9 0 3 7 14];;
31.5;[11 0 3 5];;;
32;[11 0 3 5];[11 0 3 5];;
34;[4 0 3 7];[4 0 3 7];;
