time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 4 6 7 9 11];-------;-------
0;[0 0 7];[0 0 7];;
1;[0 0];;;
1.5;[0 0 7];;;
2;[0 0];[0 0 7];;
2.5;[0 0 7];;;
3;[0 0];;;
3.5;[0 0 7];;;
4;[0 0];[0 0 7];;
4.5;[0 0 7];;;
5;[0 0];;;
5.5;[0 0 7];;;
6;[0 0];[0 0 7];;
6.5;[0 0 7];;;
7;[0 0];;;
7.5;[0 0 7];;;
grouping;8;-------;-------;-------
8;[0 0];[0 0 7];;
8.5;[0 0 4 7];;;
9;[0 0 7];;;
9.5;[0 0 4 7];;;
10;[0 0];;;
10.5;[0 0 4 7];;;
11;[0 0];[0 0 7];;
11.5;[0 0 4 7];;;
12;[0 0 7];;;
12.5;[0 0 4 7];;;
13;[0 0];;;
13.5;[0 0 4 7];;;
14;[2 0 10];[2 0 4 7 10];;
14.5;[2 0 4 7];;;
14.75;[6 0 3 6];;;
15;[11 0 3 7];[2 0 4 7];;
15.1667;[2 0 4 10];;;
15.3333;[11 0 3 7];;;
15.5;[2 0 4 7];;;
grouping;16;-------;-------;-------
16;[0 0];[0 0 7];;
16.5;[0 0 4 7];;;
17;[0 0 7];[9 0 3 10];;
17.5;[4 0 3 5];;;
18;[0 0];[7 0 4 5];;
18.5;[4 0 3 7];;;
19;[0 0];[0 0 7];;
19.5;[0 0 4 7];;;
20;[0 0 7];[7 0 4 5];;
20.5;[4 0 3 7];;;
21;[0 0];[0 0 7];;
21.5;[0 0 4 7];;;
22;[2 0 10];[2 0 4 7 10];;
22.5;[2 0 4 7];;;
22.75;[6 0 3 6];;;
23;[11 0 3 7];[2 0 4 7];;
23.1667;[2 0 4 10];;;
23.3333;[11 0 3 7];;;
23.5;[2 0 4 7];;;
grouping;24;-------;-------;-------
24;[5 0];[5 0 4 7];;
24.5;[9 0 3];;;
25;[5 0 7];;;
25.5;[9 0 3];;;
26;[5 0];;;
26.5;[9 0 3];;;
27;[5 0];[2 0 3 7];;
27.5;[2 0 7];;;
28;[5 0 7];[1 0 4 8];;
28.5;[9 0 4];;;
29;[5 0];[2 0 3 7];;
29.5;[2 0 7];;;
30;[7 0];[7 0 4 7];;
30.5;[11 0 3];;;
30.75;[2 0 10];;;
31;[11 0 3];[7 0 4 7];;
grouping;32;-------;-------;-------
32;[5 0];[5 0 4 7];;
32.5;[9 0 3];;;
33;[5 0 7];[5 0 4 6];;
33.5;[11 0 10];;;
34;[5 0];[5 0 4 7];;
34.5;[9 0 3];;;
35;[2 0 3];[2 0 3];;
35.5;[5 0 4];;;
36;[1 0 11];[1 0 3 4];;
36.5;[9 0 7];;;
37;[2 0 3];[2 0 3];;
37.5;[5 0 4];;;
38;[7 0];[7 0 4 7];;
38.5;[7 0 7];;;
38.75;[2 0 3];;;
39;[7 0 4];;;
grouping;41;-------;-------;-------
41;[0 0];[0 0 4 7];;
41.5;[0 0 4 7];;;
42;[7 0];;;
42.5;[0 0 4 7];;;
43;[6 0 3 6];[6 0 3 6];;
43.5;[9 0 3 7 9];;;
44;[0 0];[0 0 4 7];;
44.5;[0 0 4 7];;;
45;[7 0];;;
45.5;[0 0 4 7];;;
46;[6 0 3 6];[6 0 3 6];;
46.5;[9 0 3 7 9];;;
47;[2 0];[2 0 4];;
47.5;[2 0 4];;;
47.75;[2 0 4 10];;;
48;[11 0 5 10];[9 0 7];;
48.1667;[9 0 3 7];;;
48.3333;[11 0 5 10];;;
48.5;[9 0 7];;;
grouping;49;-------;-------;-------
49;[0 0];[0 0 4 7];;
49.5;[0 0 4 7];;;
50;[7 0];;;
50.5;[0 0 4 7];;;
51;[0 0];[6 0 3 6];;
51.5;[9 0 3 7 9];;;
52;[0 0];[0 0 4 7];;
52.5;[0 0 4 7];;;
53;[7 0];;;
53.5;[0 0 4 7];;;
54;[0 0];[6 0 3 6];;
54.5;[9 0 3 7 9];;;
55;[2 0];[2 0 4 7];;
55.5;[2 0 4 7];;;
55.75;[2 0 4 7 10];;;
56;[11 0 5 10 15];[9 0 3 7];;
56.1667;[9 0 3 7 17];;;
56.3333;[11 0 5 10 15];;;
56.5;[9 0 3 7];;;
grouping;57;-------;-------;-------
57;[5 0];[5 0 11];;
57.5;[9 0 7];;;
58;[0 0 3];[4 0 1 11];;
58.5;[9 0 7];;;
59;[5 0 11];[5 0 11];;
59.5;[9 0 7];;;
60;[2 0 3];[2 0 3];;
60.5;[2 0 7];;;
61;[1 0 11];[2 0 3 11];;
61.5;[2 0 7];;;
62;[2 0 3];[2 0 3];;
62.5;[2 0 7];;;
63;[7 0];[7 0 4 7];;
63.5;[11 0 3];;;
63.75;[2 0 10];;;
64;[11 0 3];[7 0 4 7];;
grouping;65;-------;-------;-------
65;[5 0];[5 0 4 7 11];;
65.5;[9 0 3 7];;;
66;[0 0];;;
66.5;[9 0 3 7];;;
67;[5 0];;;
67.5;[9 0 3 7];;;
68;[5 0];[0 0 4 7 17];;
68.5;[9 0 3 7 10];;;
69;[0 0];;;
69.5;[9 0 3 7 10];;;
70;[5 0];[2 0 3 10];;
70.5;[2 0 3 7 10];;;
71;[7 0];[7 0 4 7];;
71.5;[2 0 5 10];;;
71.75;[2 0 5 10 15];;;
72;[7 0 4 7];;;
