time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;6;[0 2 4 6 8 10];-------;-------
grouping;0;-------;-------;-------
0;[2 0 4 14];[2 0 4 14];;
0.5;[6 0 4 8 10 18];[6 0 4 8 10 18];;
1;[1 0 3 7 9];[1 0 3 7 9];;
1.5;[6 0 4 7 18];[6 0 4 6];;
1.625;[6 0 4 5 6 14];;;
1.75;[6 0 4 6];;;
1.875;[8 0 4 8 10 14];;;
2;[2 0 4 14];[2 0 4 14];;
2.5;[2 0 4 6 14];[2 0 4 6 14];;
2.875;[2 0 4 6 14];;;
3;[6 0 4 6 10];[6 0 4 6 10];;
3.5;[8 0 4 8 18];[8 0 4 8 18];;
grouping;4;-------;-------;-------
4;[2 0 4 14];[2 0 4 14];;
4.5;[6 0 4 8 10 18];[6 0 4 8 10 18];;
5;[1 0 3 7 9];[1 0 3 7 9];;
5.5;[6 0 4 7 18];[6 0 4 6];;
5.625;[6 0 4 5 6 14];;;
5.75;[6 0 4 6];;;
5.875;[8 0 4 8 10 14];;;
6;[2 0 4 14];[2 0 4 14];;
6.5;[2 0 4 6 14];[2 0 4 6 14];;
7;[6 0 4 8 18];[6 0 4 6 10];;
7.25;[6 0 4 6 10];;;
7.5;;[10 0 4];;
7.75;[10 0 4];;;
8;[6 0 4 6];[6 0 4 6];;
8.25;[6 0 4 8 18];;;
8.3333;[6 0 4 6 10];;;
8.4167;[6 0 4 6];;;
8.5;[6 0 4 6 14];;;
8.5833;[6 0 4 6];;;
8.6667;[6 0 4 6];;;
8.7333;[6 0 4 8 18];;;
8.8;[6 0 4 6 10];;;
8.8667;[6 0 4 6];;;
8.9333;[6 0 4 6 14];;;
9;[6 0 4 6];;;
9.25;[6 0 4 8 18];;;
9.3333;[6 0 4 6 10];;;
9.4167;[6 0 4 6];;;
9.5;[6 0 4 6 14];;;
9.5833;[6 0 4 6];;;
9.6667;[6 0 4 6];;;
9.7333;[6 0 4 8 18];;;
9.8;[6 0 4 6 10];;;
9.8667;[6 0 4 6];;;
9.875;[8 0 4 10 15];;;
9.9167;[8 0 4 10 15];;;
9.9333;[8 0 4 15];;;
9.9583;[6 0 4 6 14];;;
10;[6 0 4 6];[6 0 4 6];;
10.25;[6 0 4 8 18];;;
10.3333;[6 0 4 6 10];;;
10.4167;[6 0 4 6];;;
10.5;[6 0 4 6 14];;;
10.5833;[6 0 4 6];;;
10.6667;[6 0 4 6];;;
10.7333;[6 0 4 8 18];;;
10.8;[6 0 4 6 10];;;
10.8667;[6 0 4 6];;;
10.9333;[6 0 4 6 14];;;
11;[6 0 4];;;
12;[6 0 4];[6 0 4];;
