time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 4 6 8 10];-------;-------
grouping;0;-------;-------;-------
0;;[8 0 4 8 10 18];;
0.33333;[0 0 4 6 14];;;
0.66667;[4 0 10];;;
1;[0 0 4 6 14];;;
1.3333;[2 0];;;
1.6667;[2 0 4 10];;;
2;[10 0 4];[10 0 4 8 10 14];;
2.3333;[10 0 4 8 14];;;
2.6667;[2 0 10];;;
3;[2 0 4 10];;;
3.3333;[2 0];;;
3.6667;[2 0 4 10];;;
4;[2 0];[2 0 4 10];;
4.3333;[2 0 4];;;
4.6667;[2 0 4];;;
5;[2 0 4];;;
5.3333;[2 0 4];;;
5.6667;[2 0 4];;;
6;[2 0 4];;;
6.3333;[2 0 4];;;
6.6667;[2 0 4];;;
7;[2 0 4];;;
7.3333;[2 0 4];;;
7.6667;[2 0 4];;;
8;[6 0 4];[10 0 4 8 14];;
8.3333;[10 0 4 8];;;
grouping;8.5;-------;-------;-------
8.6667;[6 0 4];;;
9;[10 0 4 8];;;
9.3333;[6 0 4];;;
9.6667;[10 0 4 8];;;
10;[6 0];;;
10.3333;[2 0 4];;;
10.6667;[6 0];;;
11;[2 0 4];;;
11.3333;[6 0];;;
11.6667;[2 0 4];;;
tonality;5;[0 2 4 6 8 10];-------;-------
12;[6 0];[2 0 4 10];;
12.5;[2 0 4];;;
13;[6 0];;;
13.5;[8 0 10];;;
14;[2 0];[8 0 4 6];;
14.5;[8 0 6];;;
15;[2 0];;;
15.5;[2 0 4];;;
16;[8 0];[8 0 4 8];;
16.5;[4 0 4];;;
17;[8 0];;;
17.5;[8 0 4];;;
18;[4 0];[8 0 4 8];;
18.5;[0 0 4];;;
19;[6 0 10];;;
19.5;[1 0 7];;;
