time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;5;[0 2 4 6 8 10];-------;-------
grouping;0;-------;-------;-------
0;[6 0 4 6 10];[6 0 4 6 10];;
0.16667;[0 0 4 10];;;
0.33333;[9 0];;;
0.5;[4 0 4 6 14];[10 0 4 8 10 18];;
0.66667;[10 0 4 8 18];;;
0.83333;[8 0];;;
tonality;8;[0 2 4 6 9 10];-------;-------
1;[0 0 4 6 10];[9 0 3 7 9 13];;
1.1667;[0 0 4 10];;;
1.3333;[9 0];;;
1.5;[6 0 4 10 14];[6 0 4 8 10 14];;
1.6667;[6 0 4 8 10];;;
1.8333;[8 0];;;
tonality;5;[0 2 4 6 8 10];-------;-------
2;[2 0 4 10];[0 0 4 3 6 14];;
2.1667;[0 0 4 6 14];;;
2.3333;[3 0];;;
2.5;[8 0 4 6 10];[10 0 4 7 10 14 20];;
2.6667;[8 0 4 10 14];;;
2.8333;[5 0];;;
3;[2 0 4 10];[10 0 4 8 2 13];;
3.1667;[10 0 4 8 14];;;
3.3333;[11 0];;;
3.5;[8 0 4 10];[8 0 4 7 10 18];;
3.6667;[8 0 4 7 10];;;
3.8333;[2 0];;;
