time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 3 5 7 10];-------;-------
grouping;0;-------;-------;-------
0;;[3 0];;
1;;[5 0];;
2;;[0 0];;
3;;[0 0];;
grouping;4;-------;-------;-------
4;[0 0 3];[0 0 3 7 10];;
0.5;[0 0 3];;;
1;[0 0 3 5];;;
1.25;[0 0 3];;;
1.5;[0 0 3];;;
2;[0 0 3];;;
2.5;[0 0 3];;;
3;[0 0 3 10];;;
3.25;[0 0 3 10];;;
3.5;[0 0 3 7];;;
4;[0 0 3 7];;;
4.5;[0 0 3 7 10];;;
5;[0 0 3 10];[0 0 3 10];;
5.5;[0 0 3 7];;;
5.75;[0 0 3 7 10];;;
6;[0 0 3 7 17];[0 0 3 7 10 17];;
6.25;[0 0 3 7];;;
6.5;[0 0 3 10];;;
7;[0 0 3];[0 0 3];;
7.5;[0 0 3 10];;;
grouping;8;-------;-------;-------
8;[0 0 3 7];[0 0 3 7 10];;
8.5;[0 0 3 7 10];;;
9;[0 0 3 7];[0 0 3 7];;
9.25;[0 0 3 10];;;
9.5;[0 0 3 7];;;
9.75;[0 0 3 7 10];;;
10;[0 0 3 7 17];[0 0 3 7 10 17];;
10.25;[0 0 3 7];;;
10.5;[0 0 3 10];;;
11;[0 0 3];[0 0 3];;
11.25;[0 0 3 10];;;
11.5;[0 0 3 7];;;
grouping;12;-------;-------;-------
12;[0 0 3 7];[0 0 3 7 10];;
12.5;[0 0 3 7 10];;;
13;[0 0 3 7];[0 0 3 7];;
13.25;[0 0 3 10];;;
13.5;[0 0 3 7];;;
13.75;[0 0 3 7 10];;;
14;[0 0 3 5];[0 0 3 5];;
14.25;[0 0 3 10];;;
14.5;[0 0 3];;;
14.75;[0 0 3 10];;;
15;[0 0 3];[0 0 3];;
15.25;[0 0 3 10];;;
15.5;[0 0 3 7];;;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7 10];;
16.75;[0 0 3 10];;;
17;[0 0 3 7];[0 0 3 7 10];;
17.5;[0 0 3 10];;;
18;[0 0 3 7];[0 0 3 7];;
18.75;[0 0 3 7 10];;;
19;[0 0 3 10];[0 0 3 10];;
20;[0 0 3 7];[0 0 3 7 10];;
20.75;[0 0 3 10];;;
21;[0 0 3 7 17];[0 0 3 7 10 17];;
21.25;[0 0 3 7];;;
21.5;[0 0 3 10];;;
22;[0 0];[0 0];;
22.75;[0 0 10];;;
23;[0 0 7];[0 0 7];;
