tonality	0.0	[69, 71, 73, 74, 76, 78, 80]
grouping	0.0	[64, 67]
melody	0.0	[76]
surface	0.0	[76, 69, 61, 45]
reduction	0.0	[76, 69, 61, 45]
melody	1.0	[76]
surface	1.0	[76, 69, 61, 57]
reduction	1.0	[76, 69, 61, 57]
surface	1.5	[76, 69, 59, 61]
melody	2.0	[76]
surface	2.0	[76, 69, 61]
surface	2.5	[76, 69, 57, 61]
melody	3.0	[78]
surface	3.0	[78, 69, 62, 50]
reduction	3.0	[78, 69, 62, 50]
surface	3.5	[78, 69, 52, 62]
melody	4.0	[78]
surface	4.0	[78, 69, 62, 54]
surface	4.5	[78, 69, 50, 62]
melody	5.0	[76]
surface	5.0	[76, 69, 61, 57]
reduction	5.0	[76, 69, 61, 57]
grouping	8.0	[64]
melody	8.0	[73]
surface	8.0	[73, 69, 66, 57]
reduction	8.0	[73, 69, 66, 57]
melody	9.0	[74]
surface	9.0	[74, 71, 64, 56]
reduction	9.0	[74, 71, 64, 56]
melody	10.0	[73]
surface	10.0	[73, 69, 64, 57]
reduction	10.0	[73, 69, 64, 57]
melody	11.0	[71]
surface	11.0	[71, 68, 64, 52]
reduction	11.0	[71, 68, 64, 52]
surface	11.5	[71, 68, 50, 64]
reduction	11.5	[71, 68, 50, 64]
melody	12.0	[73]
surface	12.0	[73, 69, 64, 49]
reduction	12.0	[73, 69, 64, 49]
surface	12.5	[73, 69, 45, 64]
melody	12.75	[74]
surface	12.75	[74, 69, 45, 64]
melody	13.0	[71]
surface	13.0	[71, 69, 64, 52]
reduction	13.0	[71, 68, 64, 52]
surface	13.5	[66, 71, 62, 52]
surface	13.75	[66, 71, 61, 52]
surface	14.0	[68, 71, 62, 52]
reduction	14.0	[71, 68, 62, 52]
melody	15.0	[69]
surface	15.0	[69, 64, 61, 45]
reduction	15.0	[69, 64, 61, 45]
grouping	16.0	[64, 67]
melody	16.0	[71]
surface	16.0	[71, 68, 59, 52]
reduction	16.0	[71, 68, 59, 52]
surface	16.5	[66, 71, 57, 52]
melody	17.0	[71]
surface	17.0	[71, 64, 56, 52]
reduction	17.0	[71, 64, 56, 52]
surface	17.5	[71, 64, 57, 54]
melody	18.0	[71]
surface	18.0	[71, 64, 59, 56]
surface	18.5	[71, 64, 52, 59]
melody	19.0	[73]
surface	19.0	[73, 64, 59, 45]
reduction	19.0	[73, 64, 57, 45]
surface	19.5	[73, 64, 57, 47]
surface	19.75	[73, 64, 56, 47]
melody	20.0	[73]
surface	20.0	[73, 64, 57, 49]
surface	20.5	[73, 64, 45, 57]
melody	21.0	[71]
surface	21.0	[71, 64, 56, 40]
reduction	21.0	[71, 64, 56, 40]
tonality	24.0	[64, 66, 68, 69, 71, 73, 75]
grouping	24.0	[64]
melody	24.0	[71]
surface	24.0	[71, 68, 64, 52]
reduction	24.0	[71, 68, 64, 52]
melody	25.0	[73]
surface	25.0	[73, 69, 64, 57]
reduction	25.0	[73, 69, 64, 57]
melody	25.5	[75]
surface	25.5	[75, 69, 59, 64]
melody	26.0	[76]
surface	26.0	[76, 68, 64, 61]
reduction	26.0	[76, 68, 64, 61]
surface	26.5	[76, 68, 56, 64]
melody	27.0	[76]
surface	27.0	[76, 66, 61, 57]
reduction	27.0	[76, 66, 61, 57]
surface	27.5	[76, 66, 54, 61]
melody	28.0	[75]
surface	28.0	[75, 66, 59]
reduction	28.0	[75, 66, 59]
surface	28.5	[75, 66, 47, 59]
melody	29.0	[76]
surface	29.0	[76, 68, 59, 52]
reduction	29.0	[76, 68, 59, 52]
tonality	32.0	[69, 71, 73, 74, 76, 78, 80]
grouping	32.0	[64, 67]
melody	32.0	[76]
surface	32.0	[76, 69, 61, 45]
reduction	32.0	[76, 69, 61, 45]
melody	33.0	[78]
surface	33.0	[78, 69, 62, 50]
reduction	33.0	[78, 69, 62, 50]
surface	33.5	[71, 78, 49, 62]
melody	34.0	[76]
surface	34.0	[76, 73, 61, 47]
reduction	34.0	[76, 73, 61, 46]
surface	34.5	[76, 73, 46, 61]
melody	35.0	[74]
surface	35.0	[74, 73, 66, 47]
reduction	35.0	[74, 71, 66, 47]
surface	35.5	[71, 74, 50, 66]
melody	36.0	[73]
surface	36.0	[73, 71, 67, 52]
reduction	36.0	[73, 70, 66, 54]
surface	36.5	[70, 73, 66, 54]
melody	37.0	[74]
surface	37.0	[74, 71, 66, 47]
reduction	37.0	[74, 71, 66, 47]
grouping	40.0	[64]
melody	40.0	[73]
surface	40.0	[73, 69, 64, 49]
reduction	40.0	[73, 69, 64, 49]
surface	40.5	[73, 69, 50, 64]
melody	41.0	[71]
surface	41.0	[71, 68, 64, 52]
reduction	41.0	[71, 68, 64, 52]
melody	42.0	[73]
surface	42.0	[73, 69, 64, 57]
reduction	42.0	[73, 69, 64, 57]
surface	42.5	[73, 69, 66, 54]
reduction	42.5	[74, 69, 66, 54]
melody	42.75	[74]
surface	42.75	[74, 69, 66, 54]
melody	43.0	[71]
surface	43.0	[71, 69, 66, 50]
reduction	43.0	[71, 69, 66, 50]
surface	43.5	[71, 69, 62, 47]
melody	44.0	[71]
surface	44.0	[71, 68, 59, 52]
reduction	44.0	[71, 68, 64, 40]
melody	44.5	[69]
surface	44.5	[69, 68, 40, 59]
surface	44.75	[69, 68, 64, 40]
melody	45.0	[69]
surface	45.0	[69, 64, 61, 45]
reduction	45.0	[69, 64, 61, 45]
