tonality	0.0	[58, 60, 62, 63, 65, 67, 69]
grouping	0.0	[64, 67]
melody	0.0	[70]
surface	0.0	[70, 65, 62, 58]
reduction	0.0	[70, 65, 62, 58]
melody	1.0	[70]
surface	1.0	[70, 67, 63, 51]
reduction	1.0	[70, 67, 63, 51]
melody	1.5	[72]
surface	1.5	[72, 69, 63, 51]
melody	2.0	[74]
surface	2.0	[74, 70, 65, 46]
reduction	2.0	[74, 70, 65, 46]
melody	3.0	[72]
surface	3.0	[72, 69, 65, 53]
reduction	3.0	[72, 69, 65, 53]
surface	3.5	[72, 69, 63, 53]
reduction	3.5	[72, 69, 63, 53]
melody	4.0	[70]
surface	4.0	[70, 67, 62, 55]
reduction	4.0	[70, 67, 62, 55]
melody	5.0	[69]
surface	5.0	[69, 67, 63, 48]
reduction	5.0	[69, 67, 63, 48]
surface	6.0	[66, 69, 62, 50]
reduction	6.0	[66, 69, 62, 50]
surface	6.5	[66, 69, 60, 50]
reduction	6.5	[66, 69, 60, 50]
melody	7.0	[67]
surface	7.0	[67, 58, 51]
reduction	7.0	[67, 58, 51]
grouping	8.0	[64]
melody	8.0	[74]
surface	8.0	[74, 67, 58, 55]
reduction	8.0	[74, 67, 58, 55]
melody	9.0	[75]
surface	9.0	[75, 67, 58, 48]
reduction	9.0	[75, 67, 58, 48]
melody	10.0	[72]
surface	10.0	[72, 65, 57, 53]
reduction	10.0	[72, 65, 57, 53]
surface	10.5	[72, 65, 51, 57]
reduction	10.5	[72, 65, 51, 57]
melody	11.0	[74]
surface	11.0	[74, 65, 58, 50]
reduction	11.0	[74, 65, 58, 50]
surface	11.5	[74, 65, 51, 58]
melody	12.0	[72]
surface	12.0	[72, 65, 58, 53]
reduction	12.0	[72, 65, 57, 53]
surface	12.5	[72, 65, 57, 53]
melody	13.0	[70]
surface	13.0	[70, 65, 62, 46]
reduction	13.0	[70, 65, 62, 46]
grouping	16.0	[64, 67]
melody	16.0	[70]
surface	16.0	[70, 65, 62, 46]
reduction	16.0	[70, 65, 62, 46]
melody	16.5	[72]
surface	16.5	[72, 65, 63, 46]
melody	17.0	[74]
surface	17.0	[74, 70, 65, 58]
reduction	17.0	[74, 70, 65, 58]
surface	17.5	[74, 70, 57, 65]
melody	18.0	[74]
surface	18.0	[74, 70, 67, 55]
reduction	18.0	[74, 70, 67, 55]
surface	18.5	[69, 74, 53, 67]
melody	19.0	[75]
surface	19.0	[75, 67, 67, 51]
reduction	19.0	[75, 67, 67, 51]
surface	19.5	[75, 67, 65, 50]
melody	20.0	[75]
surface	20.0	[75, 67, 63, 48]
reduction	20.0	[75, 67, 63, 48]
surface	20.5	[75, 67, 62, 46]
melody	21.0	[77]
surface	21.0	[77, 65, 60, 45]
reduction	21.0	[77, 65, 60, 45]
melody	22.0	[75]
surface	22.0	[75, 65, 58, 46]
reduction	22.0	[74, 65, 58, 46]
melody	22.5	[74]
surface	22.5	[74, 65, 58, 46]
melody	23.0	[72]
surface	23.0	[72, 65, 57, 41]
reduction	23.0	[72, 65, 57, 41]
grouping	24.0	[64]
melody	24.0	[77]
surface	24.0	[77, 65, 60, 45]
reduction	24.0	[77, 65, 60, 45]
melody	25.0	[74]
surface	25.0	[74, 65, 58, 46]
reduction	25.0	[74, 65, 58, 46]
surface	25.5	[74, 65, 48, 58]
melody	26.0	[74]
surface	26.0	[74, 65, 58, 50]
reduction	26.0	[74, 65, 58, 50]
surface	26.5	[74, 65, 51, 58]
melody	27.0	[72]
surface	27.0	[72, 65, 57, 53]
reduction	27.0	[72, 65, 57, 53]
surface	27.5	[63, 72, 54, 57]
reduction	27.5	[63, 72, 54, 57]
melody	28.0	[70]
surface	28.0	[70, 62, 57, 55]
reduction	28.0	[70, 62, 55]
surface	28.5	[70, 62, 55, 46]
melody	29.0	[69]
surface	29.0	[69, 63, 55, 48]
reduction	29.0	[69, 63, 55, 48]
surface	29.5	[60, 69, 45, 55]
surface	30.0	[62, 69, 54, 50]
reduction	30.0	[62, 69, 54, 50]
melody	31.0	[67]
surface	31.0	[67, 62, 58, 43]
reduction	31.0	[67, 62, 58, 43]
grouping	32.0	[64]
melody	32.0	[74]
surface	32.0	[74, 67, 59, 55]
reduction	32.0	[74, 67, 59, 55]
melody	33.0	[75]
surface	33.0	[75, 67, 60]
reduction	33.0	[75, 67, 60]
surface	33.5	[75, 67, 62, 58]
melody	34.0	[72]
surface	34.0	[72, 65, 63, 57]
reduction	34.0	[72, 65, 63, 57]
surface	34.5	[72, 65, 57, 53]
melody	35.0	[74]
surface	35.0	[74, 65, 58]
reduction	35.0	[74, 65, 58]
surface	35.5	[67, 74, 51, 58]
melody	36.0	[72]
surface	36.0	[72, 69, 65, 53]
reduction	36.0	[72, 69, 65, 53]
surface	36.5	[72, 69, 63, 41]
reduction	36.5	[72, 69, 63, 41]
melody	37.0	[70]
surface	37.0	[70, 65, 62, 46]
reduction	37.0	[70, 65, 62, 46]
