tonality	2.0	[58, 60, 62, 63, 65, 67, 69]
grouping	2.0	[72, 75]
surface	2.0	[65, 50, 53, 57, 60]
reduction	2.0	[65, 50, 53, 57, 60]
surface	1.5	[65, 50, 53, 57, 60]
surface	2.0	[65, 50, 53, 57, 60]
surface	3.0	[65, 50, 53, 57, 60]
surface	3.5	[65, 50, 53, 57, 60]
surface	4.5	[65, 50, 53, 57, 60]
surface	5.5	[65, 50, 53, 57, 60]
surface	6.0	[65, 49, 53, 56, 59]
reduction	6.0	[65, 49, 53, 56, 59]
surface	6.5	[65, 49, 53, 56, 59]
surface	8.5	[65, 49, 53, 56, 59]
surface	9.5	[65, 49, 53, 56, 59]
surface	10.0	[65, 48, 51, 55, 58]
reduction	10.0	[65, 48, 51, 55, 58]
surface	11.0	[65, 48, 51, 55, 58]
surface	11.5	[65, 48, 51, 55, 58]
surface	12.5	[65, 48, 51, 55, 58]
surface	13.5	[65, 48, 51, 55, 58]
surface	14.0	[65, 47, 50, 53, 57]
reduction	14.0	[65, 47, 50, 53, 57]
surface	16.5	[65, 47, 50, 53, 57]
surface	17.5	[65, 47, 50, 53, 57]
grouping	18.0	[72]
surface	18.0	[65, 50, 53, 57, 60]
reduction	18.0	[65, 50, 53, 57, 60]
surface	19.0	[65, 50, 53, 57, 60]
surface	19.5	[65, 50, 53, 57, 60]
surface	20.5	[65, 50, 53, 57, 60]
surface	21.5	[65, 50, 53, 57, 60]
surface	22.0	[65, 49, 53, 56, 59]
reduction	22.0	[65, 49, 53, 56, 59]
surface	22.5	[65, 49, 53, 56, 59]
surface	24.5	[65, 49, 53, 56, 59]
surface	25.5	[65, 49, 53, 56, 59]
surface	26.0	[65, 48, 51, 55, 58]
reduction	26.0	[65, 48, 51, 55, 58]
surface	27.0	[65, 48, 51, 55, 58]
surface	27.5	[65, 48, 51, 55, 58]
surface	28.5	[65, 48, 51, 55, 58]
surface	29.5	[65, 48, 51, 55, 58]
surface	30.0	[65, 47, 50, 53, 57]
reduction	30.0	[65, 47, 50, 53, 57]
surface	32.5	[70, 47, 50, 53, 57]
surface	33.5	[70, 47, 50, 53, 57]
tonality	34.0	[63, 65, 67, 68, 70, 72, 74]
grouping	34.0	[70, 73]
surface	34.0	[70, 41, 44, 48, 51]
reduction	34.0	[70, 41, 44, 48, 51]
surface	35.0	[70, 41, 44, 48, 51]
surface	35.5	[70, 41, 44, 48, 51]
surface	36.5	[70, 41, 44, 48, 51]
surface	37.5	[70, 41, 44, 48, 51]
surface	38.0	[70, 46, 50, 53, 56]
reduction	38.0	[70, 46, 50, 53, 56]
surface	38.5	[70, 46, 50, 53, 56]
surface	40.5	[70, 46, 50, 53, 56]
surface	41.5	[70, 46, 50, 53, 56]
surface	42.0	[70, 39, 43, 46, 50]
reduction	42.0	[70, 39, 43, 46, 50]
surface	43.0	[70, 39, 43, 46, 50]
surface	43.5	[70, 39, 43, 46, 50]
surface	44.5	[70, 39, 43, 46, 50]
surface	45.5	[70, 39, 43, 46, 50]
surface	46.0	[70, 44, 48, 51, 54]
reduction	46.0	[70, 44, 48, 51, 54]
reduction	48.0	[65, 44, 48, 51, 54]
surface	48.5	[65, 44, 48, 51, 54]
surface	49.5	[65, 44, 48, 51, 54]
grouping	50.0	[72]
surface	50.0	[65, 50, 53, 57, 60]
reduction	50.0	[65, 50, 53, 57, 60]
