tonality	0.0	[65, 67, 69, 70, 72, 74, 76]
grouping	0.0	[58, 62]
surface	0.0	[67, 41, 45, 48, 52]
reduction	0.0	[67, 41, 45, 48, 52]
surface	1.5	[64, 41, 45, 48, 52]
surface	2.0	[64, 41, 45, 48, 52]
surface	2.5	[62, 41, 45, 48, 52]
surface	3.5	[67, 41, 45, 48, 52]
surface	4.0	[67, 41, 45, 48, 52]
reduction	4.0	[64, 41, 45, 48, 52]
surface	5.0	[64, 41, 45, 48, 52]
surface	5.5	[64, 41, 45, 48, 52]
surface	6.0	[64, 41, 45, 48, 52]
surface	6.5	[64, 41, 45, 48, 52]
surface	7.0	[62, 41, 45, 48, 52]
surface	7.5	[67, 41, 45, 48, 52]
surface	8.0	[67, 43, 47, 50, 53]
reduction	8.0	[67, 43, 47, 50, 53]
surface	9.0	[64, 43, 47, 50, 53]
surface	10.0	[64, 43, 47, 50, 53]
surface	11.0	[62, 43, 47, 50, 53]
surface	11.5	[67, 43, 47, 50, 53]
surface	12.0	[67, 43, 47, 50, 53]
reduction	12.0	[62, 43, 47, 50, 53]
surface	12.5	[67, 43, 47, 50, 53]
surface	13.0	[64, 43, 47, 50, 53]
surface	13.5	[64, 43, 47, 50, 53]
surface	14.0	[64, 43, 47, 50, 53]
surface	14.5	[64, 43, 47, 50, 53]
surface	15.0	[62, 43, 47, 50, 53]
surface	15.5	[65, 43, 47, 50, 53]
grouping	16.0	[58]
surface	16.0	[65, 43, 46, 50, 53]
reduction	16.0	[65, 43, 46, 50, 53]
surface	16.5	[62, 43, 46, 50, 53]
surface	17.5	[62, 43, 46, 50, 53]
surface	18.0	[62, 43, 46, 50, 53]
reduction	18.0	[62, 43, 46, 50, 53]
surface	18.5	[62, 43, 46, 50, 53]
surface	19.0	[60, 43, 46, 50, 53]
surface	19.5	[64, 43, 46, 50, 53]
surface	20.0	[64, 42, 46, 49, 52]
reduction	20.0	[58, 42, 46, 49, 52]
surface	20.5	[60, 42, 46, 49, 52]
surface	21.5	[60, 42, 46, 49, 52]
surface	22.5	[60, 42, 46, 49, 52]
surface	23.0	[58, 42, 46, 49, 52]
surface	24.0	[41, 45, 48, 52]
reduction	24.0	[60, 41, 45, 48, 52]
surface	25.0	[60, 41, 45, 48, 52]
surface	28.0	[60, 42, 46, 49, 52]
reduction	28.0	[60, 42, 46, 49, 52]
surface	32.0	[41, 45, 48, 52]
reduction	32.0	[60, 41, 45, 48, 52]
surface	33.0	[60, 41, 45, 48, 52]
surface	36.0	[60, 41, 45, 48, 52]
reduction	36.0	[60, 41, 45, 48, 52]
grouping	40.0	[58, 62, 65]
surface	40.0	[65, 42, 46, 49, 53]
reduction	40.0	[65, 42, 46, 49, 53]
surface	44.0	[65, 42, 46, 49, 53]
reduction	44.0	[65, 42, 46, 49, 53]
surface	44.6666666667	[66, 42, 46, 49, 53]
surface	45.3333333333	[65, 42, 46, 49, 53]
surface	46.0	[63, 42, 46, 49, 53]
surface	46.6666666667	[65, 42, 46, 49, 53]
surface	47.3333333333	[63, 42, 46, 49, 53]
surface	48.0	[61, 47, 51, 54, 57]
reduction	48.0	[63, 47, 51, 54, 57]
surface	49.5	[63, 47, 51, 54, 57]
surface	50.0	[63, 47, 51, 54, 57]
