tonality	0.0	[60, 62, 64, 65, 67, 69, 71]
grouping	0.0	[64, 67]
surface	0.0	[72, 48, 52, 55, 59]
reduction	0.0	[72, 48, 52, 55, 59]
surface	1.0	[67, 48, 52, 55, 59]
surface	1.5	[64, 48, 52, 55, 59]
surface	2.0	[64, 48, 52, 55, 59]
reduction	2.0	[64, 48, 52, 55, 59]
surface	4.0	[64, 48, 52, 55, 59]
reduction	4.0	[64, 48, 52, 55, 59]
surface	6.0	[72, 48, 52, 55, 59]
reduction	6.0	[72, 48, 52, 55, 59]
surface	6.66666666667	[74, 48, 52, 55, 59]
surface	7.33333333333	[72, 48, 52, 55, 59]
surface	8.0	[71, 52, 56, 59, 62]
reduction	8.0	[71, 52, 56, 59, 62]
surface	9.0	[68, 52, 56, 59, 62]
surface	9.5	[64, 52, 56, 59, 62]
surface	10.0	[64, 52, 56, 59, 62]
reduction	10.0	[64, 52, 56, 59, 62]
surface	12.0	[64, 52, 56, 59, 62]
reduction	12.0	[64, 52, 56, 59, 62]
grouping	16.0	[64]
surface	16.0	[69, 45, 49, 52, 55]
reduction	16.0	[69, 45, 49, 52, 55]
surface	17.5	[67, 45, 49, 52, 55]
surface	18.0	[64, 45, 49, 52, 55]
reduction	18.0	[64, 45, 49, 52, 55]
surface	20.0	[64, 45, 49, 52, 55]
reduction	20.0	[64, 45, 49, 52, 55]
surface	21.0	[63, 45, 49, 52, 55]
surface	22.0	[64, 45, 49, 52, 55]
surface	22.6666666667	[70, 45, 49, 52, 55]
surface	23.3333333333	[69, 45, 49, 52, 55]
surface	24.0	[67, 50, 53, 57]
reduction	24.0	[65, 50, 53, 57]
surface	26.0	[65, 50, 53, 57]
surface	28.0	[65, 50, 53, 57]
reduction	28.0	[65, 50, 53, 57]
grouping	32.0	[64, 67]
surface	32.0	[64, 52, 56, 59, 62]
reduction	32.0	[64, 52, 56, 59, 62]
surface	33.5	[63, 52, 56, 59, 62]
surface	34.0	[62, 52, 56, 59, 62]
reduction	34.0	[62, 52, 56, 59, 62]
surface	36.0	[62, 52, 56, 59, 62]
reduction	36.0	[62, 52, 56, 59, 62]
surface	38.0	[64, 52, 56, 59, 62]
reduction	38.0	[64, 52, 56, 59, 62]
surface	38.6666666667	[68, 52, 56, 59, 62]
surface	39.3333333333	[71, 52, 56, 59, 62]
surface	40.0	[74, 45, 48, 52]
reduction	40.0	[72, 45, 48, 52]
surface	42.0	[72, 45, 48, 52]
surface	44.0	[72, 45, 48, 52]
reduction	44.0	[72, 45, 48, 52]
grouping	48.0	[64]
surface	48.0	[71, 50, 54, 57, 60]
reduction	48.0	[69, 50, 54, 57, 60]
surface	49.5	[70, 50, 54, 57, 60]
surface	50.0	[69, 50, 54, 57, 60]
surface	52.0	[69, 50, 54, 57, 60]
reduction	52.0	[69, 50, 54, 57, 60]
surface	54.0	[69, 50, 54, 57, 60]
surface	54.6666666667	[74, 50, 54, 57, 60]
surface	55.3333333333	[71, 50, 54, 57, 60]
surface	56.0	[69, 50, 53, 57, 60]
reduction	56.0	[69, 50, 53, 57, 60]
surface	60.0	[71, 43, 47, 50, 53]
reduction	60.0	[71, 43, 47, 50, 53]
grouping	64.0	[64, 67]
surface	64.0	[72, 48, 52, 55, 59]
reduction	64.0	[72, 48, 52, 55, 59]
surface	65.0	[67, 48, 52, 55, 59]
surface	65.5	[64, 48, 52, 55, 59]
surface	66.0	[64, 48, 52, 55, 59]
reduction	66.0	[64, 48, 52, 55, 59]
surface	68.0	[64, 48, 52, 55, 59]
reduction	68.0	[64, 48, 52, 55, 59]
surface	70.0	[72, 48, 52, 55, 59]
reduction	70.0	[72, 48, 52, 55, 59]
surface	70.6666666667	[74, 48, 52, 55, 59]
surface	71.3333333333	[72, 48, 52, 55, 59]
surface	72.0	[71, 52, 56, 59, 62]
reduction	72.0	[71, 52, 56, 59, 62]
surface	73.0	[68, 52, 56, 59, 62]
surface	73.5	[64, 52, 56, 59, 62]
surface	74.0	[64, 52, 56, 59, 62]
reduction	74.0	[64, 52, 56, 59, 62]
surface	76.0	[64, 52, 56, 59, 62]
reduction	76.0	[64, 52, 56, 59, 62]
grouping	80.0	[64]
surface	80.0	[69, 45, 49, 52, 55]
reduction	80.0	[69, 45, 49, 52, 55]
surface	81.5	[67, 45, 49, 52, 55]
surface	82.0	[64, 45, 49, 52, 55]
reduction	82.0	[64, 45, 49, 52, 55]
surface	84.0	[64, 45, 49, 52, 55]
reduction	84.0	[64, 45, 49, 52, 55]
surface	85.0	[63, 45, 49, 52, 55]
surface	86.0	[64, 45, 49, 52, 55]
surface	86.6666666667	[70, 45, 49, 52, 55]
surface	87.3333333333	[69, 45, 49, 52, 55]
surface	88.0	[67, 50, 53, 57]
reduction	88.0	[65, 50, 53, 57]
surface	90.0	[65, 50, 53, 57]
surface	92.0	[65, 50, 53, 57]
reduction	92.0	[65, 50, 53, 57]
grouping	96.0	[64, 67]
surface	96.0	[74, 53, 57, 60]
reduction	96.0	[74, 53, 57, 60]
surface	98.0	[72, 53, 57, 60]
reduction	98.0	[72, 53, 57, 60]
surface	99.0	[71, 53, 57, 60]
surface	100.0	[74, 53, 56, 60]
reduction	100.0	[74, 53, 56, 60]
surface	103.0	[72, 53, 56, 60]
surface	104.0	[71, 48, 52, 55, 59]
reduction	104.0	[71, 48, 52, 55, 59]
