tonality	0.0	[68, 70, 72, 73, 75, 77, 79]
grouping	0.0	[66, 70]
surface	0.0	[68, 53, 56, 60, 63]
reduction	0.0	[68, 53, 56, 60, 63]
surface	4.0	[73, 46, 49, 53, 56]
reduction	4.0	[68, 73, 46, 49, 53, 56]
surface	7.0	[68, 46, 49, 53, 56]
surface	8.0	[67, 51, 55, 58, 61]
reduction	8.0	[67, 51, 55, 58, 61]
surface	9.0	[67, 51, 55, 58, 61]
surface	10.0	[67, 51, 55, 58, 61]
surface	11.0	[67, 51, 55, 58, 61]
surface	12.0	[67, 44, 48, 51, 55]
reduction	12.0	[67, 72, 44, 48, 51, 55]
surface	13.0	[72, 44, 48, 51, 55]
surface	15.0	[67, 44, 48, 51, 55]
tonality	16.0	[60, 62, 64, 65, 67, 69, 71]
surface	16.0	[65, 49, 53, 56, 60]
reduction	16.0	[65, 49, 53, 56, 60]
surface	17.0	[65, 49, 53, 56, 60]
surface	18.0	[65, 49, 53, 56, 60]
surface	19.0	[65, 49, 53, 56, 60]
surface	20.0	[65, 43, 47, 50, 53]
reduction	20.0	[65, 71, 43, 47, 50, 53]
surface	21.0	[71, 43, 47, 50, 53]
surface	23.0	[65, 43, 47, 50, 53]
surface	24.0	[64, 48, 52, 55, 59]
reduction	24.0	[64, 48, 52, 55, 59]
surface	28.0	[64, 48, 52, 55, 59]
reduction	28.0	[64, 48, 52, 55, 59]
tonality	32.0	[63, 65, 67, 68, 70, 72, 74]
grouping	32.0	[66, 70]
surface	32.0	[63, 48, 51, 55, 58]
reduction	32.0	[63, 48, 51, 55, 58]
surface	36.0	[68, 53, 56, 60, 63]
reduction	36.0	[63, 68, 53, 56, 60, 63]
surface	39.0	[63, 53, 56, 60, 63]
surface	40.0	[62, 46, 50, 53, 56]
reduction	40.0	[62, 46, 50, 53, 56]
surface	41.0	[62, 46, 50, 53, 56]
surface	42.0	[62, 46, 50, 53, 56]
surface	43.0	[62, 46, 50, 53, 56]
surface	44.0	[62, 51, 55, 58, 62]
reduction	44.0	[62, 67, 51, 55, 58, 62]
surface	45.0	[67, 51, 55, 58, 62]
surface	47.0	[62, 51, 55, 58, 62]
tonality	48.0	[67, 69, 71, 72, 74, 76, 78]
surface	48.0	[60, 44, 48, 51, 55]
reduction	48.0	[60, 44, 48, 51, 55]
