tonality	2.0	[60, 62, 63, 65, 67, 68, 70]
grouping	2.0	[56, 60, 63]
surface	2.0	[67, 48, 51, 55, 58]
reduction	2.0	[79, 48, 51, 55, 58]
surface	2.0	[79, 48, 51, 55, 58]
surface	3.5	[77, 48, 51, 55, 58]
surface	4.0	[75, 48, 51, 55, 58]
reduction	4.0	[75, 48, 51, 55, 58]
surface	4.5	[74, 48, 51, 55, 58]
surface	5.5	[72, 48, 51, 55, 58]
surface	6.0	[72, 48, 51, 55, 58]
reduction	6.0	[72, 48, 51, 55, 58]
surface	9.0	[70, 48, 51, 55, 58]
surface	10.0	[68, 41, 44, 48, 51]
reduction	10.0	[68, 41, 44, 48, 51]
surface	12.0	[79, 41, 44, 48, 51]
reduction	12.0	[77, 41, 44, 48, 51]
surface	13.5	[77, 41, 44, 48, 51]
surface	14.0	[77, 41, 44, 48, 51]
reduction	14.0	[77, 41, 44, 48, 51]
grouping	18.0	[54]
surface	18.0	[77, 50, 53, 56, 60]
reduction	18.0	[77, 50, 53, 56, 60]
surface	19.5	[75, 50, 53, 56, 60]
surface	20.0	[74, 50, 53, 56, 60]
reduction	20.0	[74, 50, 53, 56, 60]
surface	20.5	[72, 50, 53, 56, 60]
surface	21.5	[70, 50, 53, 56, 60]
surface	22.0	[70, 43, 47, 50, 53]
reduction	22.0	[70, 43, 47, 50, 53]
surface	25.0	[68, 43, 47, 50, 53]
surface	26.0	[67, 48, 51, 55, 58]
reduction	26.0	[67, 48, 51, 55, 58]
surface	28.0	[77, 48, 51, 55, 58]
reduction	28.0	[75, 48, 51, 55, 58]
surface	29.5	[75, 48, 51, 55, 58]
surface	30.0	[75, 48, 51, 55, 58]
reduction	30.0	[75, 48, 51, 55, 58]
grouping	34.0	[54, 58]
surface	34.0	[75, 51, 54, 58, 61]
reduction	34.0	[75, 51, 54, 58, 61]
surface	35.5	[73, 51, 54, 58, 61]
surface	36.0	[72, 51, 54, 58, 61]
reduction	36.0	[72, 51, 54, 58, 61]
surface	36.5	[70, 51, 54, 58, 61]
surface	37.5	[68, 51, 54, 58, 61]
surface	38.0	[68, 44, 48, 51, 54]
reduction	38.0	[68, 44, 48, 51, 54]
surface	41.0	[66, 44, 48, 51, 54]
surface	42.0	[66, 49, 53, 56, 60]
reduction	42.0	[65, 49, 53, 56, 60]
surface	43.0	[65, 49, 53, 56, 60]
surface	43.5	[70, 49, 53, 56, 60]
reduction	44.0	[68, 49, 53, 56, 60]
surface	44.5	[65, 49, 53, 56, 60]
surface	45.0	[68, 49, 53, 56, 60]
surface	46.0	[68, 49, 53, 56, 60]
reduction	46.0	[68, 49, 53, 56, 60]
grouping	50.0	[54]
surface	50.0	[68, 50, 53, 56, 60]
reduction	50.0	[68, 50, 53, 56, 60]
surface	51.0	[67, 50, 53, 56, 60]
surface	51.5	[70, 50, 53, 56, 60]
surface	52.0	[70, 50, 53, 56, 60]
reduction	52.0	[70, 50, 53, 56, 60]
surface	54.0	[68, 43, 47, 50, 53]
reduction	54.0	[68, 43, 47, 50, 53]
surface	55.0	[67, 43, 47, 50, 53]
surface	55.5	[70, 43, 47, 50, 53]
surface	56.0	[70, 43, 47, 50, 53]
reduction	56.0	[70, 43, 47, 50, 53]
surface	57.5	[68, 43, 47, 50, 53]
surface	58.0	[67, 48, 51, 55, 58]
reduction	58.0	[67, 48, 51, 55, 58]
surface	62.0	[67, 50, 53, 56, 60]
reduction	62.0	[67, 50, 53, 56, 60]
surface	64.0	[67, 43, 47, 50, 53]
reduction	64.0	[67, 43, 47, 50, 53]
surface	65.0	[67, 43, 47, 50, 53]
surface	66.0	[67]
reduction	66.0	[67, 48, 51, 55, 58]
