tonality	0.0	[59, 61, 63, 64, 66, 68, 70]
grouping	0.0	[64, 67]
surface	0.0	[78, 47, 51, 54]
reduction	0.0	[78, 47, 51, 54]
tonality	2.0	[67, 69, 71, 72, 74, 76, 78]
surface	2.0	[74, 50, 54, 57, 60]
reduction	2.0	[74, 50, 54, 57, 60]
surface	4.0	[71, 43, 47, 50]
reduction	4.0	[71, 43, 47, 50]
tonality	6.0	[63, 65, 67, 69, 70, 72, 74]
surface	6.0	[67, 46, 50, 53, 56]
reduction	6.0	[67, 46, 50, 53, 56]
surface	7.5	[70, 46, 50, 53, 56]
surface	8.0	[70, 51, 55, 58]
reduction	8.0	[70, 51, 55, 58]
tonality	12.0	[67, 69, 71, 72, 74, 76, 78]
surface	12.0	[71, 45, 48, 52, 55]
reduction	12.0	[71, 45, 48, 52, 55]
surface	13.5	[69, 45, 48, 52, 55]
surface	14.0	[69, 50, 54, 57, 60]
reduction	14.0	[69, 50, 54, 57, 60]
grouping	16.0	[64]
surface	16.0	[74, 43, 47, 50]
reduction	16.0	[74, 43, 47, 50]
tonality	18.0	[63, 65, 67, 69, 70, 72, 74]
surface	18.0	[70, 46, 50, 53, 56]
reduction	18.0	[70, 46, 50, 53, 56]
surface	20.0	[67, 51, 55, 58]
reduction	20.0	[67, 51, 55, 58]
tonality	22.0	[59, 61, 63, 64, 66, 68, 70]
surface	22.0	[63, 42, 46, 49, 51]
reduction	22.0	[63, 42, 46, 49, 51]
surface	23.5	[66, 42, 46, 49, 51]
surface	24.0	[66, 47, 51, 54]
reduction	24.0	[66, 47, 51, 54]
tonality	28.0	[63, 65, 67, 69, 70, 72, 74]
grouping	28.0	[64, 67]
surface	28.0	[67, 41, 44, 48, 51]
reduction	28.0	[67, 41, 44, 48, 51]
surface	30.0	[65, 46, 50, 53, 56]
reduction	30.0	[65, 46, 50, 53, 56]
surface	31.5	[70, 46, 50, 53, 56]
surface	32.0	[70, 51, 55, 58]
reduction	32.0	[70, 51, 55, 58]
tonality	36.0	[67, 69, 71, 72, 74, 76, 78]
surface	36.0	[71, 45, 48, 52, 55]
reduction	36.0	[71, 45, 48, 52, 55]
surface	38.0	[69, 50, 54, 57, 60]
reduction	38.0	[69, 50, 54, 57, 60]
surface	39.5	[74, 50, 54, 57, 60]
surface	40.0	[74, 43, 47, 50]
reduction	40.0	[74, 43, 47, 50]
tonality	44.0	[59, 61, 63, 64, 66, 68, 70]
grouping	44.0	[64]
surface	44.0	[75, 49, 52, 56, 59]
reduction	44.0	[75, 49, 52, 56, 59]
surface	46.0	[73, 42, 46, 49, 52]
reduction	46.0	[73, 42, 46, 49, 52]
surface	47.5	[78, 42, 46, 49, 52]
surface	48.0	[78, 47, 51, 54]
reduction	48.0	[78, 47, 51, 54]
surface	50.0	[78, 47, 51, 54]
tonality	52.0	[63, 65, 67, 69, 70, 72, 74]
surface	52.0	[79, 41, 44, 48, 51]
reduction	52.0	[79, 41, 44, 48, 51]
surface	54.0	[77, 46, 50, 53, 56]
reduction	54.0	[77, 46, 50, 53, 56]
surface	55.5	[82, 46, 50, 53, 56]
surface	56.0	[82, 51, 55, 58]
reduction	56.0	[82, 51, 55, 58]
tonality	60.0	[59, 61, 63, 64, 66, 68, 70]
surface	60.0	[78, 49, 52, 56, 59]
reduction	60.0	[78, 49, 52, 56, 59]
surface	61.5	[78, 49, 52, 56, 59]
surface	62.0	[78, 42, 46, 49, 52]
reduction	62.0	[78, 42, 46, 49, 52]
surface	64.0	[78, 47, 51, 54]
reduction	64.0	[78, 47, 51, 54]
