tonality	4.0	[67, 69, 71, 72, 74, 76, 78]
grouping	4.0	[64, 67]
surface	4.0	[62, 43, 47, 50, 54]
reduction	4.0	[71, 43, 47, 50, 54]
surface	2.0	[67, 43, 47, 50, 54]
surface	3.0	[69, 43, 47, 50, 54]
surface	4.0	[69, 43, 47, 50, 54]
surface	6.0	[71, 43, 47, 50, 54]
surface	8.0	[71, 43, 47, 50, 54]
reduction	8.0	[71, 43, 47, 50, 54]
surface	9.0	[62, 43, 47, 50, 54]
surface	10.0	[67, 43, 47, 50, 54]
surface	11.0	[69, 43, 47, 50, 54]
surface	12.0	[70, 43, 46, 50, 53]
reduction	12.0	[70, 43, 46, 50, 53]
surface	16.0	[70, 48, 52, 55, 58]
reduction	16.0	[70, 48, 52, 55, 58]
surface	17.0	[60, 48, 52, 55, 58]
surface	18.0	[65, 48, 52, 55, 58]
surface	19.0	[67, 48, 52, 55, 58]
grouping	20.0	[64]
surface	20.0	[67, 41, 45, 48, 52]
reduction	20.0	[69, 41, 45, 48, 52]
surface	22.0	[69, 41, 45, 48, 52]
surface	24.0	[69, 41, 45, 48, 52]
reduction	24.0	[69, 41, 45, 48, 52]
surface	25.0	[60, 41, 45, 48, 52]
surface	26.0	[65, 41, 45, 48, 52]
surface	27.0	[67, 41, 45, 48, 52]
surface	28.0	[68, 41, 44, 48, 51]
reduction	28.0	[68, 41, 44, 48, 51]
surface	32.0	[68, 46, 50, 53, 56]
reduction	32.0	[68, 46, 50, 53, 56]
surface	33.0	[62, 46, 50, 53, 56]
surface	34.0	[63, 46, 50, 53, 56]
surface	35.0	[65, 46, 50, 53, 56]
grouping	36.0	[64, 67]
surface	36.0	[67, 39, 43, 46, 50]
reduction	36.0	[67, 39, 43, 46, 50]
surface	37.0	[67, 39, 43, 46, 50]
surface	38.0	[67, 39, 43, 46, 50]
surface	39.0	[67, 39, 43, 46, 50]
surface	40.0	[67, 45, 48, 52, 55]
reduction	40.0	[67, 45, 48, 52, 55]
surface	41.0	[67, 45, 48, 52, 55]
surface	41.5	[69, 45, 48, 52, 55]
surface	42.0	[69, 50, 54, 57, 60]
reduction	42.0	[69, 50, 54, 57, 60]
surface	42.5	[67, 50, 54, 57, 60]
surface	43.0	[69, 50, 54, 57, 60]
surface	44.0	[70, 43, 46, 50, 53]
