tonality	4.0	[62, 64, 65, 67, 69, 70, 72]
grouping	4.0	[60, 64]
surface	4.0	[65, 50, 53, 57, 62]
reduction	4.0	[79, 50, 53, 57, 62]
surface	1.5	[67, 50, 53, 57, 62]
surface	2.0	[69, 50, 53, 57, 62]
surface	2.5	[72, 50, 53, 57, 62]
surface	3.0	[74, 50, 53, 57, 62]
surface	3.5	[77, 50, 53, 57, 62]
surface	4.0	[79, 50, 53, 57, 62]
surface	6.0	[79, 50, 53, 57, 61]
reduction	6.0	[79, 50, 53, 57, 61]
surface	8.0	[79, 50, 53, 57, 60]
reduction	8.0	[77, 50, 53, 57, 60]
surface	9.0	[77, 50, 53, 57, 60]
surface	9.5	[79, 50, 53, 57, 60]
surface	10.0	[77, 50, 53, 57, 59]
reduction	10.0	[77, 50, 53, 57, 59]
surface	10.5	[76, 50, 53, 57, 59]
surface	11.0	[74, 50, 53, 57, 59]
surface	11.5	[72, 50, 53, 57, 59]
surface	12.0	[69, 43, 46, 50, 55]
reduction	12.0	[69, 43, 46, 50, 55]
surface	13.0	[74, 43, 46, 50, 55]
surface	13.5	[69, 43, 46, 50, 55]
surface	14.0	[69, 43, 46, 50, 54]
reduction	14.0	[69, 43, 46, 50, 54]
surface	16.0	[69, 43, 46, 50, 53]
reduction	16.0	[69, 43, 46, 50, 53]
surface	17.0	[69, 43, 46, 50, 53]
surface	17.5	[72, 43, 46, 50, 53]
surface	18.0	[74, 43, 46, 50, 52]
reduction	18.0	[67, 43, 46, 50, 52]
surface	18.5	[68, 43, 46, 50, 52]
surface	19.0	[67, 45, 49, 52, 55]
reduction	19.0	[67, 45, 49, 52, 55]
surface	19.5	[65, 45, 49, 52, 55]
grouping	20.0	[60]
surface	20.0	[62, 50, 53, 57, 62]
reduction	20.0	[62, 50, 53, 57, 62]
surface	22.0	[62, 50, 53, 57, 62]
surface	22.5	[65, 50, 53, 57, 62]
surface	23.0	[69, 50, 53, 57, 62]
surface	23.5	[72, 50, 53, 57, 62]
surface	24.0	[76, 50, 54, 57, 60]
reduction	24.0	[76, 50, 54, 57, 60]
surface	27.0	[74, 50, 54, 57, 60]
surface	28.0	[70, 55, 58, 62, 65]
