tonality	2.0	[67, 69, 70, 72, 74, 75, 77]
grouping	2.0	[67, 72]
surface	2.0	[74, 55, 58, 62]
reduction	2.0	[67, 55, 58, 62]
surface	2.0	[67, 55, 58, 62]
surface	4.0	[67, 54, 55, 58, 62]
reduction	4.0	[67, 54, 55, 58, 62]
surface	5.0	[70, 54, 55, 58, 62]
surface	6.0	[74, 53, 55, 58, 62]
reduction	6.0	[74, 53, 55, 58, 62]
surface	8.0	[67, 52, 55, 58, 60]
reduction	8.0	[67, 52, 55, 58, 60]
surface	9.0	[70, 52, 55, 58, 60]
surface	10.0	[73, 51, 55, 58, 61]
reduction	10.0	[73, 51, 55, 58, 61]
surface	12.0	[72, 50, 54, 57, 60]
reduction	12.0	[72, 50, 54, 57, 60]
surface	12.5	[70, 50, 54, 57, 60]
surface	13.5	[67, 50, 54, 57, 60]
surface	14.0	[67, 55, 58, 62]
reduction	14.0	[67, 55, 58, 62]
grouping	18.0	[67]
surface	18.0	[48, 52, 55, 58]
reduction	18.0	[70, 48, 52, 55, 58]
surface	19.0	[70, 48, 52, 55, 58]
surface	19.5	[70, 48, 52, 55, 58]
surface	20.5	[70, 48, 52, 55, 58]
surface	21.0	[70, 48, 52, 55, 58]
surface	22.0	[70, 49, 52, 55, 58]
reduction	22.0	[70, 49, 52, 55, 58]
surface	22.5	[70, 49, 52, 55, 58]
surface	23.5	[70, 49, 52, 55, 58]
surface	24.0	[70, 49, 52, 55, 58]
surface	25.0	[70, 49, 52, 55, 58]
surface	25.5	[70, 49, 52, 55, 58]
surface	26.0	[70, 50, 53, 58]
reduction	26.0	[70, 50, 53, 58]
surface	26.5	[70, 50, 53, 58]
surface	27.0	[70, 50, 53, 58]
surface	28.0	[70, 50, 53, 58]
surface	28.5	[70, 50, 53, 58]
surface	29.5	[70, 50, 53, 58]
surface	30.0	[70, 50, 54, 58, 60]
reduction	30.0	[70, 50, 54, 58, 60]
surface	33.0	[70, 50, 54, 58, 60]
surface	34.0	[70, 46, 50, 53]
reduction	34.0	[70, 46, 50, 53]
surface	37.0	[72, 46, 50, 53]
tonality	38.0	[63, 65, 67, 68, 70, 72, 74]
grouping	38.0	[67, 72]
surface	38.0	[72, 41, 44, 48, 51]
reduction	38.0	[72, 41, 44, 48, 51]
surface	39.0	[72, 41, 44, 48, 51]
