tonality	0.0	[63, 65, 66, 68, 70, 71, 73]
grouping	0.0	[54, 57]
surface	0.0	[58, 39, 42, 46, 49]
reduction	0.0	[58, 39, 42, 46, 49]
surface	1.25	[63, 39, 42, 46, 49]
surface	1.5	[65, 39, 42, 46, 49]
surface	1.75	[70, 39, 42, 46, 49]
surface	2.0	[66, 48, 51, 54, 58]
reduction	2.0	[66, 48, 51, 54, 58]
surface	3.5	[58, 48, 51, 54, 58]
surface	4.0	[63, 41, 44, 47, 51]
reduction	4.0	[63, 41, 44, 47, 51]
surface	5.5	[62, 41, 44, 47, 51]
surface	5.75	[63, 41, 44, 47, 51]
surface	6.0	[70, 46, 50, 53, 56]
reduction	6.0	[70, 46, 50, 53, 56]
surface	6.5	[68, 46, 50, 53, 56]
surface	8.0	[39, 42, 46, 49]
reduction	8.0	[63, 39, 42, 46, 49]
surface	9.0	[63, 39, 42, 46, 49]
surface	9.25	[66, 39, 42, 46, 49]
surface	9.5	[70, 39, 42, 46, 49]
surface	9.75	[73, 39, 42, 46, 49]
surface	10.0	[72, 44, 48, 51, 54]
reduction	10.0	[72, 44, 48, 51, 54]
surface	11.5	[63, 44, 48, 51, 54]
surface	12.0	[69, 47, 50, 54, 57]
reduction	12.0	[69, 47, 50, 54, 57]
surface	12.5	[66, 47, 50, 54, 57]
surface	12.75	[62, 47, 50, 54, 57]
surface	13.0	[68, 40, 44, 47, 50]
reduction	13.0	[68, 40, 44, 47, 50]
surface	14.0	[68, 46, 49, 53, 56]
reduction	14.0	[68, 46, 49, 53, 56]
surface	14.5	[65, 46, 49, 53, 56]
surface	14.75	[61, 46, 49, 53, 56]
surface	15.0	[67, 40, 43, 46, 49]
reduction	15.0	[67, 40, 43, 46, 49]
grouping	16.0	[54]
surface	16.0	[44, 47, 51, 54]
reduction	16.0	[68, 44, 47, 51, 54]
surface	17.0	[68, 44, 47, 51, 54]
surface	17.25	[71, 44, 47, 51, 54]
surface	17.5	[75, 44, 47, 51, 54]
surface	17.75	[78, 44, 47, 51, 54]
surface	18.0	[77, 49, 53, 56, 59]
reduction	18.0	[77, 49, 53, 56, 59]
surface	19.5	[71, 49, 53, 56, 59]
surface	20.0	[70, 39, 42, 46, 49]
reduction	20.0	[70, 39, 42, 46, 49]
surface	21.0	[63, 39, 42, 46, 49]
surface	21.3333333333	[62, 39, 42, 46, 49]
surface	21.6666666667	[61, 39, 42, 46, 49]
surface	22.0	[60, 44, 48, 51, 54]
reduction	22.0	[68, 44, 48, 51, 54]
surface	22.5	[68, 44, 48, 51, 54]
surface	23.5	[63, 44, 48, 51, 54]
surface	23.75	[65, 44, 48, 51, 54]
surface	24.0	[66, 47, 51, 54, 57]
reduction	24.0	[66, 47, 51, 54, 57]
surface	24.3333333333	[66, 47, 51, 54, 57]
surface	24.6666666667	[66, 47, 51, 54, 57]
surface	25.0	[66, 47, 51, 54, 57]
surface	25.3333333333	[65, 47, 51, 54, 57]
surface	25.6666666667	[63, 47, 51, 54, 57]
surface	26.0	[65, 47, 51, 54, 57]
surface	27.5	[63, 47, 51, 54, 57]
surface	28.0	[62, 46, 50, 53, 56]
reduction	28.0	[62, 46, 50, 53, 56]
surface	28.5	[58, 46, 50, 53, 56]
surface	32.0	[66, 47, 51, 54, 57]
reduction	32.0	[66, 47, 51, 54, 57]
surface	33.0	[65, 47, 51, 54, 57]
surface	33.5	[63, 47, 51, 54, 57]
surface	34.0	[65, 46, 50, 53, 56]
reduction	34.0	[65, 46, 50, 53, 56]
surface	35.0	[63, 46, 50, 53, 56]
surface	35.5	[61, 46, 50, 53, 56]
surface	36.0	[63, 39, 42, 46, 49]
reduction	36.0	[63, 39, 42, 46, 49]
surface	39.0	[63, 39, 42, 46, 49]
surface	39.5	[65, 39, 42, 46, 49]
grouping	40.0	[56, 59]
surface	40.0	[66, 48, 51, 54, 58]
reduction	40.0	[66, 48, 51, 54, 58]
surface	41.0	[65, 48, 51, 54, 58]
surface	41.5	[63, 48, 51, 54, 58]
surface	42.0	[65, 41, 45, 48, 51, 54]
reduction	42.0	[65, 41, 45, 48, 51, 54]
surface	43.5	[63, 41, 45, 48, 51, 54]
surface	44.0	[62, 46, 50, 53, 56]
reduction	44.0	[62, 46, 50, 53, 56]
surface	44.5	[74, 46, 50, 53, 56]
surface	47.0	[63, 46, 50, 53, 56]
surface	47.5	[65, 46, 50, 53, 56]
surface	48.0	[66, 48, 51, 54, 58]
reduction	48.0	[66, 48, 51, 54, 58]
surface	49.0	[65, 48, 51, 54, 58]
surface	49.5	[63, 48, 51, 54, 58]
surface	50.0	[65, 41, 45, 48, 51, 54]
reduction	50.0	[65, 41, 45, 48, 51, 54]
surface	51.5	[63, 41, 45, 48, 51, 54]
surface	52.0	[62, 46, 50, 53, 56]
reduction	52.0	[62, 46, 50, 53, 56]
surface	52.5	[58, 46, 50, 53, 56]
surface	55.0	[70, 46, 50, 53, 56]
grouping	56.0	[56]
surface	56.0	[71, 44, 47, 51, 54]
reduction	56.0	[71, 44, 47, 51, 54]
surface	57.0	[71, 49, 53, 56, 59]
reduction	57.0	[71, 49, 53, 56, 59]
surface	57.5	[71, 49, 53, 56, 59]
surface	58.0	[70, 42, 46, 49, 53]
reduction	58.0	[70, 42, 46, 49, 53]
surface	59.5	[70, 42, 46, 49, 53]
surface	60.0	[68, 47, 51, 54, 57]
reduction	60.0	[66, 47, 51, 54, 57]
surface	61.0	[66, 47, 51, 54, 57]
surface	62.0	[65, 46, 50, 53, 56]
reduction	62.0	[65, 46, 50, 53, 56]
surface	63.5	[70, 46, 50, 53, 56]
surface	64.0	[75, 39, 43, 46, 49]
reduction	64.0	[75, 39, 43, 46, 49]
surface	64.5	[75, 39, 43, 46, 49]
surface	65.0	[75, 39, 43, 46, 49]
surface	66.0	[73, 37, 41, 44, 47]
reduction	66.0	[73, 37, 41, 44, 47]
surface	66.5	[73, 37, 41, 44, 47]
surface	67.0	[73, 37, 41, 44, 47]
surface	68.0	[71, 47, 51, 54, 57]
reduction	68.0	[71, 47, 51, 54, 57]
surface	69.0	[63, 47, 51, 54, 57]
surface	69.5	[62, 47, 51, 54, 57]
surface	70.0	[70, 46, 50, 53, 56]
reduction	70.0	[70, 46, 50, 53, 56]
surface	70.5	[68, 46, 50, 53, 56]
surface	71.0	[64, 46, 50, 53, 56]
surface	71.5	[62, 46, 50, 53, 56]
grouping	72.0	[54, 57]
surface	72.0	[39, 42, 46, 49]
reduction	72.0	[58, 39, 42, 46, 49]
surface	73.0	[58, 39, 42, 46, 49]
surface	73.25	[63, 39, 42, 46, 49]
surface	73.5	[65, 39, 42, 46, 49]
surface	73.75	[70, 39, 42, 46, 49]
surface	74.0	[66, 48, 51, 54, 58]
reduction	74.0	[66, 48, 51, 54, 58]
surface	75.5	[58, 48, 51, 54, 58]
surface	76.0	[63, 41, 44, 47, 51]
reduction	76.0	[63, 41, 44, 47, 51]
surface	77.5	[62, 41, 44, 47, 51]
surface	77.75	[63, 41, 44, 47, 51]
surface	78.0	[70, 46, 50, 53, 56]
reduction	78.0	[70, 46, 50, 53, 56]
surface	78.5	[68, 46, 50, 53, 56]
surface	80.0	[39, 42, 46, 49]
reduction	80.0	[63, 39, 42, 46, 49]
surface	81.0	[63, 39, 42, 46, 49]
surface	81.25	[66, 39, 42, 46, 49]
surface	81.5	[70, 39, 42, 46, 49]
surface	81.75	[73, 39, 42, 46, 49]
surface	82.0	[72, 44, 48, 51, 54]
reduction	82.0	[72, 44, 48, 51, 54]
surface	83.5	[63, 44, 48, 51, 54]
surface	84.0	[69, 47, 50, 54, 57]
reduction	84.0	[69, 47, 50, 54, 57]
surface	84.5	[66, 47, 50, 54, 57]
surface	84.75	[62, 47, 50, 54, 57]
surface	85.0	[68, 40, 44, 47, 50]
reduction	85.0	[68, 40, 44, 47, 50]
surface	86.0	[68, 46, 49, 53, 56]
reduction	86.0	[68, 46, 49, 53, 56]
surface	86.5	[65, 46, 49, 53, 56]
surface	86.75	[61, 46, 49, 53, 56]
surface	87.0	[67, 40, 43, 46, 49]
reduction	87.0	[67, 40, 43, 46, 49]
grouping	88.0	[54]
surface	88.0	[44, 47, 51, 54]
reduction	88.0	[68, 44, 47, 51, 54]
surface	89.0	[68, 44, 47, 51, 54]
surface	89.25	[71, 44, 47, 51, 54]
surface	89.5	[75, 44, 47, 51, 54]
surface	89.75	[78, 44, 47, 51, 54]
surface	90.0	[77, 49, 53, 56, 59]
reduction	90.0	[77, 49, 53, 56, 59]
surface	91.5	[71, 49, 53, 56, 59]
surface	92.0	[70, 39, 42, 46, 49]
reduction	92.0	[70, 39, 42, 46, 49]
surface	93.0	[63, 39, 42, 46, 49]
surface	93.3333333333	[62, 39, 42, 46, 49]
surface	93.6666666667	[61, 39, 42, 46, 49]
surface	94.0	[60, 44, 48, 51, 54]
reduction	94.0	[68, 44, 48, 51, 54]
surface	94.5	[68, 44, 48, 51, 54]
surface	95.5	[63, 44, 48, 51, 54]
surface	95.75	[65, 44, 48, 51, 54]
surface	96.0	[66, 47, 51, 54, 57]
reduction	96.0	[66, 47, 51, 54, 57]
surface	97.0	[65, 47, 51, 54, 57]
surface	97.5	[63, 47, 51, 54, 57]
surface	98.0	[65, 46, 50, 53, 56]
reduction	98.0	[65, 46, 50, 53, 56]
surface	99.0	[63, 46, 50, 53, 56]
surface	99.5	[61, 46, 50, 53, 56]
surface	100.0	[63, 39, 42, 46, 49]
reduction	100.0	[63, 39, 42, 46, 49]
