reduction	2.0	[64]
reduction	3.0	[67]
tonality	4.0	[59, 61, 62, 64, 66, 67, 69]
grouping	4.0	[60, 64]
surface	4.0	[59, 42, 45, 49, 52]
reduction	4.0	[61, 42, 45, 49, 52]
surface	2.0	[64, 42, 45, 49, 52]
surface	2.5	[66, 42, 45, 49, 52]
surface	3.0	[67, 42, 45, 49, 52]
surface	3.5	[71, 42, 45, 49, 52]
surface	4.0	[61, 42, 45, 49, 52]
surface	7.0	[66, 42, 45, 49, 52]
surface	8.0	[63, 47, 51, 54, 57, 61]
reduction	8.0	[63, 47, 51, 54, 57, 61]
surface	10.0	[63, 60, 47, 51, 54, 57]
reduction	10.0	[63, 60, 47, 51, 54, 57]
surface	11.0	[60, 60, 47, 51, 54, 57]
surface	12.0	[59, 40, 43, 47, 50]
reduction	12.0	[59, 40, 43, 47, 50]
surface	16.0	[59, 45, 49, 52, 55]
reduction	16.0	[59, 45, 49, 52, 55]
surface	17.5	[59, 45, 49, 52, 55]
surface	18.0	[64, 45, 49, 52, 55]
reduction	18.0	[64, 45, 49, 52, 55]
surface	18.5	[66, 45, 49, 52, 55]
surface	19.0	[67, 45, 49, 52, 55]
reduction	19.0	[67, 45, 49, 52, 55]
surface	19.5	[71, 45, 49, 52, 55]
tonality	20.0	[67, 69, 71, 72, 74, 76, 78]
grouping	20.0	[60]
surface	20.0	[64, 45, 48, 52, 55]
reduction	20.0	[64, 45, 48, 52, 55]
surface	23.0	[69, 45, 48, 52, 55]
surface	24.0	[66, 38, 42, 45, 48]
reduction	24.0	[66, 38, 42, 45, 48]
surface	27.0	[62, 38, 42, 45, 48]
surface	28.0	[71, 43, 47, 50, 54]
reduction	28.0	[71, 43, 47, 50, 54]
surface	32.0	[71, 48, 52, 55, 59]
reduction	32.0	[71, 48, 52, 55, 59]
surface	34.0	[72, 48, 52, 55, 59]
surface	34.5	[71, 48, 52, 55, 59]
surface	35.0	[69, 48, 52, 55, 59]
surface	35.5	[67, 48, 52, 55, 59]
grouping	36.0	[60, 64]
