tonality	0.0	[65, 67, 69, 70, 72, 74, 76]
grouping	0.0	[58, 62]
surface	0.0	[72, 53, 57, 60, 64]
reduction	0.0	[72, 53, 57, 60, 64]
surface	3.0	[65, 50, 53, 57, 60]
reduction	3.0	[65, 50, 53, 57, 60]
surface	6.0	[70, 55, 58, 62, 65]
reduction	6.0	[70, 55, 58, 62, 65]
surface	9.0	[64, 52, 56, 59, 62]
reduction	9.0	[64, 52, 56, 59, 62]
surface	12.0	[69, 57, 61, 64, 67]
reduction	12.0	[69, 57, 61, 64, 67]
surface	15.0	[69, 50, 54, 57, 60]
reduction	15.0	[69, 50, 54, 57, 60]
grouping	18.0	[58]
surface	18.0	[43, 47, 50, 53]
reduction	18.0	[67, 43, 47, 50, 53]
surface	19.0	[67, 43, 47, 50, 53]
surface	20.0	[65, 43, 47, 50, 53]
surface	21.0	[64, 48, 52, 55, 58]
reduction	21.0	[64, 48, 52, 55, 58]
surface	22.0	[65, 48, 52, 55, 58]
surface	23.0	[67, 48, 52, 55, 58]
surface	24.0	[69, 41, 45, 48, 51]
reduction	24.0	[69, 41, 45, 48, 51]
surface	26.0	[67, 41, 45, 48, 51]
surface	27.0	[65, 46, 50, 53, 57]
reduction	27.0	[65, 46, 50, 53, 57]
surface	28.0	[67, 46, 50, 53, 57]
surface	29.0	[69, 46, 50, 53, 57]
grouping	30.0	[60]
surface	30.0	[70, 43, 46, 50, 53]
reduction	30.0	[70, 43, 46, 50, 53]
surface	32.0	[69, 43, 46, 50, 53]
surface	33.0	[67, 48, 52, 55, 58]
reduction	33.0	[67, 48, 52, 55, 58]
surface	34.0	[69, 48, 52, 55, 58]
surface	35.0	[70, 46, 48, 52, 55]
reduction	35.0	[67, 46, 48, 52, 55]
surface	36.0	[72, 45, 48, 52, 55]
reduction	36.0	[72, 45, 48, 52, 55]
surface	39.0	[72, 50, 54, 57, 60]
reduction	39.0	[72, 50, 54, 57, 60]
surface	42.0	[72, 43, 46, 50, 53]
reduction	42.0	[72, 43, 46, 50, 53]
surface	45.0	[72, 48, 52, 55, 58]
reduction	45.0	[72, 48, 52, 55, 58]
tonality	48.0	[69, 71, 73, 74, 76, 78, 80]
grouping	48.0	[60]
surface	48.0	[71, 47, 50, 54, 57]
reduction	48.0	[71, 47, 50, 54, 57]
surface	50.0	[69, 47, 50, 54, 57]
surface	51.0	[68, 40, 44, 47, 50]
reduction	51.0	[68, 40, 44, 47, 50]
surface	52.0	[69, 40, 44, 47, 50]
surface	53.0	[71, 40, 44, 47, 50]
surface	54.0	[73, 45, 49, 52, 56]
reduction	54.0	[73, 45, 49, 52, 56]
surface	57.0	[73, 45, 49, 52, 56]
reduction	57.0	[73, 45, 49, 52, 56]
surface	60.0	[73, 45, 49, 52, 56]
reduction	60.0	[73, 45, 49, 52, 56]
surface	63.0	[45, 49, 52, 56]
reduction	63.0	[73, 45, 49, 52, 56]
surface	64.0	[73, 45, 49, 52, 56]
tonality	66.0	[65, 67, 69, 70, 72, 74, 76]
grouping	66.0	[60, 64]
surface	66.0	[74, 43, 46, 50, 53]
reduction	66.0	[74, 43, 46, 50, 53]
surface	69.0	[74, 48, 52, 55, 58]
reduction	69.0	[74, 48, 52, 55, 58]
