tonality	3.0	[67, 69, 70, 73, 74, 75, 78]
grouping	3.0	[69, 72, 75]
surface	3.0	[78, 43, 46, 50]
reduction	3.0	[82, 43, 46, 50]
surface	2.0	[79, 43, 46, 50]
surface	2.5	[81, 43, 46, 50]
surface	3.0	[82, 43, 46, 50]
surface	4.5	[81, 43, 46, 50]
surface	5.0	[84, 43, 46, 50]
surface	5.16666666667	[82, 43, 46, 50]
surface	5.33333333333	[81, 43, 46, 50]
surface	5.5	[79, 43, 46, 50]
surface	5.66666666667	[78, 43, 46, 50]
surface	5.83333333333	[81, 43, 46, 50]
surface	6.0	[79, 43, 46, 50]
reduction	6.0	[79, 43, 46, 50]
surface	7.5	[74, 43, 46, 50]
reduction	7.5	[74, 43, 46, 50]
surface	8.0	[75, 43, 46, 50]
surface	8.5	[76, 43, 46, 50]
surface	9.0	[77, 43, 47, 50]
reduction	9.0	[77, 43, 47, 50]
surface	9.5	[76, 43, 47, 50]
surface	10.0	[75, 43, 47, 50]
surface	10.5	[74, 43, 47, 50]
reduction	10.5	[74, 43, 47, 50]
surface	11.0	[77, 43, 47, 50]
surface	11.1666666667	[75, 43, 47, 50]
surface	11.3333333333	[74, 43, 47, 50]
surface	11.5	[72, 43, 47, 50]
surface	11.6666666667	[71, 43, 47, 50]
surface	11.8333333333	[74, 43, 47, 50]
surface	12.0	[72, 48, 51, 55]
reduction	12.0	[72, 48, 51, 55]
surface	13.5	[72, 48, 51, 55]
surface	13.6666666667	[70, 48, 51, 55]
surface	13.8333333333	[69, 48, 51, 55]
surface	14.0	[72, 48, 51, 55]
surface	14.25	[70, 48, 51, 55]
surface	14.5	[69, 48, 51, 55]
surface	14.75	[67, 48, 51, 55]
grouping	15.0	[67]
surface	15.0	[69, 45, 50, 54]
reduction	15.0	[69, 45, 50, 54]
surface	16.5	[70, 45, 50, 54]
surface	17.0	[73, 45, 50, 54]
surface	17.3333333333	[74, 45, 50, 54]
surface	17.6666666667	[78, 45, 50, 54]
surface	18.0	[75, 49, 52, 55, 58]
reduction	18.0	[75, 49, 52, 55, 58]
surface	19.5	[75, 49, 52, 55, 58]
surface	20.0	[74, 50, 54, 57]
reduction	20.0	[75, 50, 54, 57]
surface	20.5	[73, 50, 54, 57]
surface	21.0	[74, 42, 45, 50]
reduction	21.0	[74, 42, 45, 50]
surface	22.5	[73, 42, 45, 50]
surface	23.0	[70, 42, 45, 50]
surface	23.25	[69, 42, 45, 50]
surface	23.5	[67, 42, 45, 50]
surface	23.75	[66, 42, 45, 50]
surface	24.0	[67, 43, 46, 50]
reduction	24.0	[67, 43, 46, 50]
surface	25.5	[74, 43, 46, 50]
surface	26.0	[70, 43, 46, 50]
surface	26.5	[69, 43, 46, 50]
grouping	27.0	[67]
surface	27.0	[67, 43, 46, 50]
reduction	27.0	[67, 43, 46, 50]
surface	28.5	[70, 43, 46, 50]
reduction	28.5	[70, 43, 46, 50]
surface	29.0	[70, 43, 46, 50]
surface	29.5	[69, 43, 46, 50]
surface	30.0	[72, 51, 55, 58, 60]
reduction	30.0	[72, 51, 55, 58, 60]
surface	31.5	[70, 51, 55, 58, 60]
surface	32.0	[69, 50, 54, 57]
reduction	32.0	[69, 50, 54, 57]
surface	32.5	[67, 50, 54, 57]
surface	33.0	[75, 43, 46, 50]
reduction	33.0	[74, 43, 46, 50]
surface	33.5	[74, 43, 46, 50]
surface	34.5	[74, 43, 46, 50]
surface	36.0	[70, 43, 46, 50]
reduction	36.0	[70, 43, 46, 50]
surface	36.1666666667	[69, 43, 46, 50]
surface	36.3333333333	[67, 43, 46, 50]
surface	36.5	[66, 43, 46, 50]
surface	36.6666666667	[63, 43, 46, 50]
surface	36.8333333333	[62, 43, 46, 50]
surface	37.0	[61, 43, 46, 50]
surface	37.1666666667	[58, 43, 46, 50]
surface	37.3333333333	[57, 43, 46, 50]
surface	37.5	[55, 43, 46, 50]
reduction	37.5	[67, 43, 46, 50]
surface	37.6666666667	[57, 43, 46, 50]
surface	37.8333333333	[58, 43, 46, 50]
surface	38.0	[61, 43, 46, 50]
surface	38.1666666667	[62, 43, 46, 50]
grouping	39.0	[67]
surface	39.0	[67, 43, 46, 50]
reduction	39.0	[67, 43, 46, 50]
surface	40.5	[70, 43, 46, 50]
reduction	40.5	[70, 43, 46, 50]
surface	41.0	[70, 43, 46, 50]
surface	41.5	[69, 43, 46, 50]
surface	42.0	[72, 51, 55, 58]
reduction	42.0	[72, 51, 55, 58]
surface	43.5	[70, 51, 55, 58]
surface	44.0	[69, 50, 54, 57]
reduction	44.0	[69, 50, 54, 57]
surface	44.5	[67, 50, 54, 57]
surface	45.0	[75, 43, 46, 50]
reduction	45.0	[74, 43, 46, 50]
surface	45.5	[74, 43, 46, 50]
surface	46.5	[74, 43, 46, 50]
surface	48.0	[69, 43, 46, 50]
reduction	48.0	[67, 43, 46, 50]
surface	48.125	[67, 43, 46, 50]
surface	48.25	[66, 43, 46, 50]
surface	48.5	[67, 43, 46, 50]
surface	48.75	[69, 43, 46, 50]
surface	49.0	[70, 43, 46, 50]
surface	49.25	[69, 43, 46, 50]
surface	49.5	[70, 43, 46, 50]
reduction	49.5	[74, 43, 46, 50]
surface	49.75	[73, 43, 46, 50]
surface	50.0	[74, 43, 46, 50]
grouping	51.0	[67]
surface	51.0	[79, 43, 46, 50]
reduction	51.0	[79, 43, 46, 50]
surface	52.5	[79, 43, 46, 50]
surface	53.0	[75, 51, 55, 58]
reduction	53.0	[75, 51, 55, 58]
surface	53.5	[75, 51, 55, 58]
surface	54.0	[74, 50, 54, 57]
reduction	54.0	[74, 50, 54, 57]
surface	55.5	[73, 50, 54, 57]
surface	56.0	[74, 51, 55, 58, 61]
reduction	56.0	[73, 51, 55, 58, 61]
surface	56.25	[73, 51, 55, 58, 61]
surface	56.5	[70, 51, 55, 58, 61]
surface	56.75	[69, 51, 55, 58, 61]
surface	57.0	[70, 43, 46, 50]
reduction	57.0	[70, 43, 46, 50]
surface	58.5	[66, 43, 46, 50]
reduction	58.5	[67, 43, 46, 50]
surface	59.0	[69, 43, 46, 50]
surface	59.1666666667	[67, 43, 46, 50]
surface	59.3333333333	[66, 43, 46, 50]
surface	59.5	[67, 43, 46, 50]
surface	59.75	[69, 43, 46, 50]
surface	60.0	[70, 43, 46, 50]
reduction	60.0	[70, 43, 46, 50]
surface	61.5	[69, 43, 46, 50]
surface	61.75	[70, 43, 46, 50]
surface	62.0	[72, 43, 46, 50]
surface	62.25	[70, 43, 46, 50]
surface	62.5	[69, 43, 46, 50]
surface	62.75	[67, 43, 46, 50]
grouping	63.0	[67]
surface	63.0	[69, 45, 50, 54]
reduction	63.0	[69, 45, 50, 54]
surface	64.5	[70, 45, 50, 54]
surface	65.0	[73, 50, 54, 57]
reduction	65.0	[69, 50, 54, 57]
surface	65.5	[74, 50, 54, 57]
surface	66.0	[70, 41, 45, 50]
reduction	66.0	[69, 41, 45, 50]
surface	67.5	[69, 41, 45, 50]
surface	68.0	[70, 41, 45, 50]
surface	68.25	[69, 41, 45, 50]
surface	68.5	[67, 41, 45, 50]
surface	68.75	[66, 41, 45, 50]
surface	69.0	[67, 43, 46, 50]
reduction	69.0	[67, 43, 46, 50]
surface	70.5	[69, 43, 46, 50]
surface	71.0	[72, 43, 46, 50]
surface	71.1666666667	[70, 43, 46, 50]
surface	71.3333333333	[69, 43, 46, 50]
surface	71.5	[70, 43, 46, 50]
surface	71.75	[73, 43, 46, 50]
surface	72.0	[74, 43, 46, 50]
reduction	72.0	[74, 43, 46, 50]
surface	73.5	[69, 43, 46, 50]
reduction	73.5	[70, 43, 46, 50]
surface	74.0	[70, 43, 46, 50]
surface	74.5	[69, 43, 46, 50]
grouping	75.0	[67]
surface	75.0	[79, 43, 46, 50]
reduction	75.0	[79, 43, 46, 50]
surface	76.5	[79, 43, 46, 50]
surface	77.0	[75, 51, 55, 58]
reduction	77.0	[75, 51, 55, 58]
surface	77.5	[75, 51, 55, 58]
surface	78.0	[74, 50, 54, 57]
reduction	78.0	[74, 50, 54, 57]
surface	79.5	[73, 50, 54, 57]
surface	80.0	[74, 51, 55, 58, 61]
reduction	80.0	[73, 51, 55, 58, 61]
surface	80.25	[73, 51, 55, 58, 61]
