tonality	4.0	[60, 62, 64, 65, 67, 69, 71]
grouping	4.0	[64, 67, 71]
surface	4.0	[55, 43, 48, 52, 55]
reduction	4.0	[60, 43, 48, 52, 55]
surface	4.0	[59, 43, 48, 52, 55]
surface	4.75	[60, 43, 48, 52, 55]
surface	5.0	[62, 43, 48, 52, 55]
reduction	5.0	[64, 43, 48, 52, 55]
surface	5.5	[64, 43, 48, 52, 55]
surface	6.0	[65, 48, 52, 55]
reduction	6.0	[64, 48, 52, 55]
surface	6.5	[62, 48, 52, 55]
surface	7.0	[64, 48, 52, 55]
reduction	7.0	[60, 48, 52, 55]
surface	7.5	[60, 48, 52, 55]
surface	8.0	[59, 43, 47, 50]
reduction	8.0	[59, 43, 47, 50]
surface	8.75	[69, 43, 47, 50]
surface	9.0	[67, 43, 47, 50]
reduction	9.0	[67, 43, 47, 50]
surface	9.5	[65, 43, 47, 50]
surface	10.0	[64, 43, 47, 50]
reduction	10.0	[62, 43, 47, 50]
surface	10.5	[62, 43, 47, 50]
surface	11.0	[60, 43, 47, 50]
reduction	11.0	[59, 43, 47, 50]
surface	11.5	[59, 43, 47, 50]
surface	12.0	[57, 41, 45, 48]
reduction	12.0	[57, 41, 45, 48]
surface	12.5	[59, 41, 45, 48]
surface	13.0	[57, 41, 45, 48]
surface	13.5	[55, 41, 45, 48]
surface	14.0	[54, 43, 47, 50]
reduction	14.0	[55, 43, 47, 50]
surface	14.5	[55, 43, 47, 50]
surface	15.0	[57, 43, 47, 50]
reduction	15.0	[59, 43, 47, 50]
surface	15.5	[59, 43, 47, 50]
surface	16.0	[60, 48, 52, 55]
reduction	16.0	[60, 48, 52, 55]
surface	16.75	[59, 48, 52, 55]
surface	17.0	[60, 48, 52, 55]
surface	17.5	[62, 48, 52, 55]
surface	18.0	[64, 48, 52, 55]
reduction	18.0	[64, 48, 52, 55]
surface	18.5	[65, 48, 52, 55]
surface	19.0	[66, 48, 52, 55]
reduction	19.0	[67, 48, 52, 55]
surface	19.5	[67, 48, 52, 55]
grouping	20.0	[64]
surface	20.0	[59, 43, 48, 52, 55]
reduction	20.0	[60, 43, 48, 52, 55]
surface	20.75	[60, 43, 48, 52, 55]
surface	21.0	[62, 43, 48, 52, 55]
reduction	21.0	[64, 43, 48, 52, 55]
surface	21.5	[64, 43, 48, 52, 55]
surface	22.0	[65, 43, 48, 52, 55]
surface	22.5	[62, 43, 48, 52, 55]
surface	23.0	[64, 43, 48, 52, 55]
reduction	23.0	[60, 43, 48, 52, 55]
surface	23.5	[60, 43, 48, 52, 55]
surface	24.0	[59, 43, 47, 50]
reduction	24.0	[59, 43, 47, 50]
surface	24.75	[69, 43, 47, 50]
surface	25.0	[67, 43, 47, 50]
reduction	25.0	[67, 43, 47, 50]
surface	25.5	[65, 43, 47, 50]
surface	26.0	[64, 43, 47, 50]
reduction	26.0	[62, 43, 47, 50]
surface	26.5	[62, 43, 47, 50]
surface	27.0	[60, 43, 47, 50]
reduction	27.0	[59, 43, 47, 50]
surface	27.5	[59, 43, 47, 50]
surface	28.0	[57, 41, 45, 48]
reduction	28.0	[57, 41, 45, 48]
surface	28.5	[59, 41, 45, 48]
surface	29.0	[57, 41, 45, 48]
surface	29.5	[55, 41, 45, 48]
surface	30.0	[54, 43, 47, 50]
reduction	30.0	[55, 43, 47, 50]
surface	30.5	[55, 43, 47, 50]
surface	31.0	[57, 43, 47, 50]
reduction	31.0	[59, 43, 47, 50]
