tonality	0.0	[64, 66, 67, 69, 71, 72, 74]
grouping	0.0	[60, 64, 67]
surface	0.0	[75, 40, 43, 47]
reduction	0.0	[76, 40, 43, 47]
surface	0.5	[76, 40, 43, 47]
surface	1.0	[78, 40, 43, 47]
reduction	1.0	[79, 40, 43, 47]
surface	1.5	[79, 40, 43, 47]
surface	2.0	[78, 42, 47, 51, 54, 57]
reduction	2.0	[78, 42, 47, 51, 54, 57]
surface	2.16666666667	[79, 42, 47, 51, 54, 57]
surface	2.33333333333	[78, 42, 47, 51, 54, 57]
surface	2.5	[76, 42, 47, 51, 54, 57]
surface	3.0	[75, 42, 47, 51, 54, 57]
surface	3.5	[78, 42, 47, 51, 54, 57]
surface	4.0	[78, 40, 43, 47]
reduction	4.0	[76, 40, 43, 47]
surface	4.16666666667	[79, 40, 43, 47]
surface	4.33333333333	[78, 40, 43, 47]
surface	4.5	[76, 40, 43, 47]
surface	5.0	[76, 40, 43, 47]
reduction	5.0	[71, 40, 43, 47]
surface	5.25	[71, 40, 43, 47]
surface	5.5	[70, 40, 43, 47]
surface	5.75	[71, 40, 43, 47]
surface	6.0	[79, 40, 43, 47]
reduction	6.0	[76, 40, 43, 47]
surface	6.25	[76, 40, 43, 47]
surface	6.5	[78, 40, 43, 47]
surface	6.75	[75, 40, 43, 47]
surface	7.0	[76, 40, 43, 47]
grouping	8.0	[60]
surface	8.0	[71, 47, 52, 56, 59]
reduction	8.0	[71, 47, 52, 56, 59]
surface	8.5	[72, 47, 52, 56, 59]
surface	9.0	[74, 47, 52, 56, 59]
reduction	9.0	[74, 47, 52, 56, 59]
surface	9.5	[76, 47, 52, 56, 59]
surface	10.0	[74, 52, 56, 59]
reduction	10.0	[74, 52, 56, 59]
surface	10.1666666667	[76, 52, 56, 59]
surface	10.3333333333	[74, 52, 56, 59]
surface	10.5	[72, 52, 56, 59]
surface	11.0	[71, 52, 56, 59]
reduction	11.0	[71, 52, 56, 59]
surface	11.5	[72, 52, 56, 59]
surface	12.0	[71, 45, 48, 52]
reduction	12.0	[69, 45, 48, 52]
surface	12.1666666667	[72, 45, 48, 52]
surface	12.3333333333	[71, 45, 48, 52]
surface	12.5	[69, 45, 48, 52]
surface	13.0	[69, 45, 48, 52]
surface	13.5	[75, 45, 48, 52]
surface	13.75	[78, 45, 48, 52]
surface	14.0	[76, 45, 48, 52]
reduction	14.0	[69, 45, 48, 52]
surface	14.25	[75, 45, 48, 52]
surface	14.5	[72, 45, 48, 52]
surface	14.75	[71, 45, 48, 52]
surface	15.0	[69, 45, 48, 52]
grouping	16.0	[60, 64]
surface	16.0	[76, 45, 48, 52]
reduction	16.0	[76, 45, 48, 52]
surface	16.5	[75, 45, 48, 52]
surface	17.0	[76, 45, 48, 52]
surface	17.5	[78, 45, 48, 52]
surface	18.0	[76, 45, 48, 52]
reduction	18.0	[69, 45, 48, 52]
surface	18.1666666667	[78, 45, 48, 52]
surface	18.3333333333	[76, 45, 48, 52]
surface	18.5	[72, 45, 48, 52]
surface	19.0	[69, 45, 48, 52]
surface	20.0	[71, 47, 52, 55, 59]
reduction	20.0	[71, 47, 52, 55, 59]
surface	20.5	[70, 47, 52, 55, 59]
surface	21.0	[71, 47, 52, 55, 59]
surface	21.5	[72, 47, 52, 55, 59]
surface	22.0	[71, 47, 52, 55, 59]
reduction	22.0	[64, 47, 52, 55, 59]
surface	22.1666666667	[72, 47, 52, 55, 59]
surface	22.3333333333	[71, 47, 52, 55, 59]
surface	22.5	[67, 47, 52, 55, 59]
surface	23.0	[64, 47, 52, 55, 59]
grouping	24.0	[60]
surface	24.0	[71, 47, 51, 54, 57]
reduction	24.0	[71, 47, 51, 54, 57]
surface	24.5	[72, 47, 51, 54, 57]
surface	25.0	[75, 51, 54, 57, 59]
reduction	25.0	[75, 51, 54, 57, 59]
surface	25.5	[76, 51, 54, 57, 59]
surface	26.0	[78, 47, 51, 54, 57]
reduction	26.0	[78, 47, 51, 54, 57]
surface	26.1666666667	[79, 47, 51, 54, 57]
surface	26.3333333333	[78, 47, 51, 54, 57]
surface	26.5	[76, 47, 51, 54, 57]
surface	27.0	[75, 51, 54, 57, 59]
reduction	27.0	[75, 51, 54, 57, 59]
surface	27.5	[78, 51, 54, 57, 59]
surface	28.0	[78, 40, 43, 47]
reduction	28.0	[76, 40, 43, 47]
surface	28.1666666667	[79, 40, 43, 47]
surface	28.3333333333	[78, 40, 43, 47]
surface	28.5	[76, 40, 43, 47]
surface	29.0	[76, 40, 43, 47]
reduction	29.0	[71, 40, 43, 47]
surface	29.25	[71, 40, 43, 47]
surface	29.5	[70, 40, 43, 47]
surface	29.75	[71, 40, 43, 47]
surface	30.0	[79, 40, 43, 47]
reduction	30.0	[76, 40, 43, 47]
surface	30.25	[76, 40, 43, 47]
surface	30.5	[78, 40, 43, 47]
surface	30.75	[75, 40, 43, 47]
surface	31.0	[76, 40, 43, 47]
grouping	32.0	[60, 64, 67]
surface	32.0	[75, 40, 43, 47]
reduction	32.0	[76, 40, 43, 47]
surface	32.5	[76, 40, 43, 47]
surface	33.0	[78, 40, 43, 47]
reduction	33.0	[79, 40, 43, 47]
surface	33.5	[79, 40, 43, 47]
surface	34.0	[78, 42, 47, 51, 54, 57]
reduction	34.0	[78, 42, 47, 51, 54, 57]
surface	34.1666666667	[79, 42, 47, 51, 54, 57]
surface	34.3333333333	[78, 42, 47, 51, 54, 57]
surface	34.5	[76, 42, 47, 51, 54, 57]
surface	35.0	[75, 42, 47, 51, 54, 57]
surface	35.5	[78, 42, 47, 51, 54, 57]
surface	36.0	[78, 40, 43, 47]
reduction	36.0	[76, 40, 43, 47]
surface	36.1666666667	[79, 40, 43, 47]
surface	36.3333333333	[78, 40, 43, 47]
surface	36.5	[76, 40, 43, 47]
surface	37.0	[76, 40, 43, 47]
reduction	37.0	[71, 40, 43, 47]
surface	37.25	[71, 40, 43, 47]
surface	37.5	[70, 40, 43, 47]
surface	37.75	[71, 40, 43, 47]
surface	38.0	[79, 40, 43, 47]
reduction	38.0	[76, 40, 43, 47]
surface	38.25	[76, 40, 43, 47]
surface	38.5	[78, 40, 43, 47]
surface	38.75	[75, 40, 43, 47]
surface	39.0	[76, 40, 43, 47]
grouping	40.0	[60]
surface	40.0	[71, 47, 52, 56, 59]
reduction	40.0	[71, 47, 52, 56, 59]
surface	40.5	[72, 47, 52, 56, 59]
surface	41.0	[74, 47, 52, 56, 59]
reduction	41.0	[74, 47, 52, 56, 59]
surface	41.5	[76, 47, 52, 56, 59]
surface	42.0	[74, 52, 56, 59]
reduction	42.0	[74, 52, 56, 59]
surface	42.1666666667	[76, 52, 56, 59]
surface	42.3333333333	[74, 52, 56, 59]
surface	42.5	[72, 52, 56, 59]
surface	43.0	[71, 52, 56, 59]
reduction	43.0	[71, 52, 56, 59]
surface	43.5	[72, 52, 56, 59]
surface	44.0	[71, 45, 48, 52]
reduction	44.0	[69, 45, 48, 52]
surface	44.1666666667	[72, 45, 48, 52]
surface	44.3333333333	[71, 45, 48, 52]
surface	44.5	[69, 45, 48, 52]
surface	45.0	[69, 45, 48, 52]
surface	45.5	[75, 45, 48, 52]
surface	45.75	[78, 45, 48, 52]
surface	46.0	[76, 45, 48, 52]
reduction	46.0	[69, 45, 48, 52]
surface	46.25	[75, 45, 48, 52]
surface	46.5	[72, 45, 48, 52]
surface	46.75	[71, 45, 48, 52]
surface	47.0	[69, 45, 48, 52]
grouping	48.0	[60, 64]
surface	48.0	[76, 45, 48, 52]
reduction	48.0	[76, 45, 48, 52]
surface	48.5	[75, 45, 48, 52]
surface	49.0	[76, 45, 48, 52]
surface	49.5	[78, 45, 48, 52]
surface	50.0	[76, 45, 48, 52]
reduction	50.0	[69, 45, 48, 52]
surface	50.1666666667	[78, 45, 48, 52]
surface	50.3333333333	[76, 45, 48, 52]
surface	50.5	[72, 45, 48, 52]
surface	51.0	[69, 45, 48, 52]
surface	52.0	[71, 47, 52, 55, 59]
reduction	52.0	[71, 47, 52, 55, 59]
surface	52.5	[70, 47, 52, 55, 59]
surface	53.0	[71, 47, 52, 55, 59]
surface	53.5	[72, 47, 52, 55, 59]
surface	54.0	[71, 47, 52, 55, 59]
reduction	54.0	[64, 47, 52, 55, 59]
surface	54.1666666667	[72, 47, 52, 55, 59]
surface	54.3333333333	[71, 47, 52, 55, 59]
surface	54.5	[67, 47, 52, 55, 59]
surface	55.0	[64, 47, 52, 55, 59]
surface	56.0	[66, 47, 51, 54, 57]
reduction	56.0	[66, 47, 51, 54, 57]
surface	56.5	[67, 47, 51, 54, 57]
surface	57.0	[69, 47, 51, 54, 57]
reduction	57.0	[69, 47, 51, 54, 57]
surface	57.5	[71, 47, 51, 54, 57]
surface	58.0	[72, 47, 51, 54, 57]
reduction	58.0	[72, 47, 51, 54, 57]
surface	58.5	[76, 47, 51, 54, 57]
surface	59.0	[75, 47, 51, 54, 57]
reduction	59.0	[75, 47, 51, 54, 57]
surface	59.5	[72, 47, 51, 54, 57]
surface	60.0	[72, 40, 43, 47]
reduction	60.0	[71, 40, 43, 47]
surface	60.1666666667	[74, 40, 43, 47]
surface	60.3333333333	[72, 40, 43, 47]
surface	60.5	[71, 40, 43, 47]
surface	61.0	[71, 40, 43, 47]
surface	61.25	[71, 40, 43, 47]
surface	61.5	[70, 40, 43, 47]
surface	61.75	[71, 40, 43, 47]
surface	62.0	[74, 40, 43, 47]
reduction	62.0	[71, 40, 43, 47]
surface	62.25	[71, 40, 43, 47]
surface	62.5	[72, 40, 43, 47]
surface	62.75	[70, 40, 43, 47]
surface	63.0	[71, 40, 43, 47]
surface	63.75	[74, 40, 43, 47]
grouping	64.0	[60]
surface	64.0	[76, 45, 48, 52]
reduction	64.0	[76, 45, 48, 52]
surface	64.5	[75, 45, 48, 52]
surface	65.0	[76, 45, 48, 52]
surface	65.5	[78, 45, 48, 52]
surface	66.0	[76, 45, 48, 52]
reduction	66.0	[69, 45, 48, 52]
surface	66.1666666667	[78, 45, 48, 52]
surface	66.3333333333	[76, 45, 48, 52]
surface	66.5	[72, 45, 48, 52]
surface	67.0	[69, 45, 48, 52]
surface	68.0	[71, 47, 52, 55, 59]
reduction	68.0	[71, 47, 52, 55, 59]
surface	68.5	[70, 47, 52, 55, 59]
surface	69.0	[71, 47, 52, 55, 59]
surface	69.5	[72, 47, 52, 55, 59]
surface	70.0	[71, 47, 52, 55, 59]
reduction	70.0	[64, 47, 52, 55, 59]
surface	70.1666666667	[72, 47, 52, 55, 59]
surface	70.3333333333	[71, 47, 52, 55, 59]
surface	70.5	[67, 47, 52, 55, 59]
surface	71.0	[64, 47, 52, 55, 59]
grouping	72.0	[60]
surface	72.0	[71, 47, 51, 54, 57]
reduction	72.0	[71, 47, 51, 54, 57]
surface	72.5	[72, 47, 51, 54, 57]
surface	73.0	[75, 51, 54, 57, 59]
reduction	73.0	[75, 51, 54, 57, 59]
surface	73.5	[76, 51, 54, 57, 59]
surface	74.0	[78, 47, 51, 54, 57]
reduction	74.0	[78, 47, 51, 54, 57]
surface	74.1666666667	[79, 47, 51, 54, 57]
surface	74.3333333333	[78, 47, 51, 54, 57]
surface	74.5	[76, 47, 51, 54, 57]
surface	75.0	[75, 51, 54, 57, 59]
reduction	75.0	[75, 51, 54, 57, 59]
surface	75.5	[78, 51, 54, 57, 59]
surface	76.0	[78, 40, 43, 47]
reduction	76.0	[76, 40, 43, 47]
surface	76.1666666667	[79, 40, 43, 47]
surface	76.3333333333	[78, 40, 43, 47]
surface	76.5	[76, 40, 43, 47]
surface	77.0	[76, 40, 43, 47]
reduction	77.0	[71, 40, 43, 47]
surface	77.25	[71, 40, 43, 47]
surface	77.5	[70, 40, 43, 47]
surface	77.75	[71, 40, 43, 47]
surface	78.0	[79, 40, 43, 47]
reduction	78.0	[76, 40, 43, 47]
surface	78.25	[76, 40, 43, 47]
surface	78.5	[78, 40, 43, 47]
surface	78.75	[75, 40, 43, 47]
surface	79.0	[76, 40, 43, 47]
