tonality	0.0	[66, 68, 69, 72, 73, 75, 76]
grouping	0.0	[61]
surface	0.0	[75, 42, 45, 49]
reduction	0.0	[75, 42, 45, 49]
surface	0.25	[76, 42, 45, 49]
surface	0.5	[78, 42, 45, 49]
surface	0.75	[76, 42, 45, 49]
surface	1.0	[75, 42, 45, 49]
reduction	1.0	[73, 42, 45, 49]
surface	1.5	[73, 42, 45, 49]
surface	2.0	[72, 48, 51, 54]
reduction	2.0	[72, 48, 51, 54]
surface	2.25	[73, 48, 51, 54]
surface	2.5	[75, 48, 51, 54]
surface	2.75	[73, 48, 51, 54]
surface	3.0	[72, 48, 51, 54]
reduction	3.0	[69, 48, 51, 54]
surface	3.5	[69, 48, 51, 54]
surface	4.0	[68, 44, 49, 53, 56]
reduction	4.0	[68, 44, 49, 53, 56]
surface	4.25	[69, 44, 49, 53, 56]
surface	4.5	[72, 44, 49, 53, 56]
surface	4.75	[73, 44, 49, 53, 56]
surface	5.0	[72, 44, 49, 53, 56]
reduction	5.0	[72, 44, 49, 53, 56]
surface	5.25	[69, 44, 49, 53, 56]
surface	5.5	[68, 44, 49, 53, 56]
surface	5.75	[66, 44, 49, 53, 56]
surface	6.0	[72, 42, 45, 49]
reduction	6.0	[73, 42, 45, 49]
surface	6.25	[75, 42, 45, 49]
surface	6.5	[73, 42, 45, 49]
surface	7.0	[78, 42, 45, 49]
reduction	7.0	[78, 42, 45, 49]
surface	7.5	[73, 42, 45, 49]
grouping	8.0	[61]
surface	8.0	[75, 42, 45, 49]
reduction	8.0	[75, 42, 45, 49]
surface	8.25	[76, 42, 45, 49]
surface	8.5	[78, 42, 45, 49]
surface	8.75	[76, 42, 45, 49]
surface	9.0	[75, 42, 45, 49]
reduction	9.0	[73, 42, 45, 49]
surface	9.5	[73, 42, 45, 49]
surface	10.0	[72, 48, 51, 54]
reduction	10.0	[72, 48, 51, 54]
surface	10.25	[73, 48, 51, 54]
surface	10.5	[75, 48, 51, 54]
surface	10.75	[73, 48, 51, 54]
surface	11.0	[72, 48, 51, 54]
reduction	11.0	[69, 48, 51, 54]
surface	11.5	[69, 48, 51, 54]
surface	12.0	[68, 44, 49, 53, 56]
reduction	12.0	[68, 44, 49, 53, 56]
surface	12.25	[69, 44, 49, 53, 56]
surface	12.5	[72, 44, 49, 53, 56]
surface	12.75	[75, 44, 49, 53, 56]
surface	13.0	[73, 44, 49, 53, 56]
reduction	13.0	[73, 44, 49, 53, 56]
surface	13.25	[72, 44, 49, 53, 56]
surface	13.5	[69, 44, 49, 53, 56]
surface	13.75	[66, 44, 49, 53, 56]
surface	14.0	[66, 42, 45, 49]
reduction	14.0	[66, 42, 45, 49]
surface	14.5	[61, 42, 45, 49]
surface	15.0	[66, 42, 45, 49]
grouping	16.0	[61]
surface	16.0	[66, 42, 45, 49, 54]
reduction	16.0	[66, 42, 45, 49, 54]
surface	16.25	[65, 42, 45, 49, 54]
surface	16.5	[66, 42, 45, 49, 54]
surface	16.75	[61, 42, 45, 49, 54]
surface	17.0	[60, 42, 45, 49, 54]
reduction	17.0	[61, 42, 45, 49, 54]
surface	17.25	[61, 42, 45, 49, 54]
surface	17.5	[65, 42, 45, 49, 54]
surface	17.75	[66, 42, 45, 49, 54]
surface	18.0	[68, 44, 45, 49, 54]
reduction	18.0	[68, 44, 45, 49, 54]
surface	18.25	[69, 44, 45, 49, 54]
surface	18.5	[66, 44, 45, 49, 54]
surface	18.75	[68, 44, 45, 49, 54]
surface	19.0	[69, 45, 48, 52, 54]
reduction	19.0	[69, 45, 48, 52, 54]
surface	19.25	[72, 45, 48, 52, 54]
surface	19.5	[68, 45, 48, 52, 54]
surface	19.75	[69, 45, 48, 52, 54]
surface	20.0	[72, 48, 51, 54]
reduction	20.0	[72, 48, 51, 54]
surface	20.25	[73, 48, 51, 54]
surface	20.5	[69, 48, 51, 54]
surface	20.75	[72, 48, 51, 54]
surface	21.0	[73, 51, 54, 57]
reduction	21.0	[75, 51, 54, 57]
surface	21.25	[75, 51, 54, 57]
surface	21.5	[72, 51, 54, 57]
surface	21.75	[73, 51, 54, 57]
surface	22.0	[76, 42, 45, 49]
reduction	22.0	[76, 42, 45, 49]
surface	22.25	[75, 42, 45, 49]
surface	22.5	[73, 42, 45, 49]
surface	22.75	[72, 42, 45, 49]
surface	23.0	[73, 42, 45, 49]
reduction	23.0	[73, 42, 45, 49]
surface	23.25	[72, 42, 45, 49]
surface	23.5	[73, 42, 45, 49]
grouping	24.0	[61]
surface	24.0	[76, 42, 45, 49]
reduction	24.0	[76, 42, 45, 49]
surface	24.25	[75, 42, 45, 49]
surface	24.5	[73, 42, 45, 49]
surface	24.75	[75, 42, 45, 49]
surface	25.0	[73, 42, 45, 49]
reduction	25.0	[73, 42, 45, 49]
surface	25.25	[72, 42, 45, 49]
surface	25.5	[69, 42, 45, 49]
surface	26.0	[72, 42, 45, 49]
reduction	26.0	[73, 42, 45, 49]
surface	26.25	[75, 42, 45, 49]
surface	26.5	[73, 42, 45, 49]
surface	27.0	[73, 42, 45, 49]
surface	27.25	[72, 42, 45, 49]
surface	27.5	[73, 42, 45, 49]
surface	27.75	[75, 42, 45, 49]
surface	28.0	[73, 44, 49, 53]
reduction	28.0	[73, 44, 49, 53]
surface	28.25	[72, 44, 49, 53]
surface	28.5	[69, 44, 49, 53]
surface	28.75	[72, 44, 49, 53]
surface	29.0	[69, 44, 49, 53]
reduction	29.0	[69, 44, 49, 53]
surface	29.25	[68, 44, 49, 53]
surface	29.5	[66, 44, 49, 53]
surface	29.75	[65, 44, 49, 53]
surface	30.0	[66, 42, 45, 49]
reduction	30.0	[66, 42, 45, 49]
surface	30.25	[68, 42, 45, 49]
surface	30.5	[69, 42, 45, 49]
surface	30.75	[72, 42, 45, 49]
surface	31.0	[73, 42, 45, 49]
reduction	31.0	[73, 42, 45, 49]
