tonality	0.0	[67, 69, 70, 72, 74, 75, 77]
grouping	2.0	[67, 72]
surface	2.0	[62, 43, 46, 50]
reduction	2.0	[74, 43, 46, 50]
surface	1.5	[67, 43, 46, 50]
surface	1.75	[70, 43, 46, 50]
surface	2.0	[74, 43, 46, 50]
surface	2.5	[74, 43, 46, 50]
surface	3.0	[73, 49, 52, 55]
reduction	3.0	[73, 49, 52, 55]
surface	3.75	[69, 49, 52, 55]
surface	4.0	[70, 43, 46, 50]
reduction	4.0	[70, 43, 46, 50]
surface	4.5	[70, 43, 46, 50]
surface	5.0	[69, 43, 46, 50]
reduction	5.0	[67, 43, 46, 50]
surface	5.25	[70, 43, 46, 50]
surface	5.5	[67, 43, 46, 50]
reduction	5.5	[62, 43, 46, 50]
surface	5.75	[62, 43, 46, 50]
surface	5.8125	[67, 43, 46, 50]
surface	5.875	[70, 43, 46, 50]
surface	5.9375	[74, 43, 46, 50]
surface	6.0	[74, 43, 46, 50]
reduction	6.0	[74, 43, 46, 50]
surface	6.5	[74, 43, 46, 50]
surface	7.0	[73, 43, 46, 49]
reduction	7.0	[73, 43, 46, 49]
surface	8.0	[70, 43, 46, 50]
reduction	8.0	[70, 43, 46, 50]
surface	8.16666666667	[69, 43, 46, 50]
surface	8.33333333333	[67, 43, 46, 50]
surface	8.5	[69, 43, 46, 50]
surface	8.66666666667	[70, 43, 46, 50]
surface	8.83333333333	[73, 43, 46, 50]
surface	9.0	[74, 43, 46, 50]
reduction	9.0	[74, 43, 46, 50]
surface	9.25	[62, 43, 46, 50]
surface	9.5	[67, 43, 46, 50]
surface	9.75	[70, 43, 46, 50]
grouping	10.0	[67]
surface	10.0	[74, 43, 46, 50]
reduction	10.0	[74, 43, 46, 50]
surface	10.5	[74, 43, 46, 50]
surface	11.0	[73, 43, 46, 49]
reduction	11.0	[73, 43, 46, 49]
surface	11.75	[69, 43, 46, 49]
surface	12.0	[70, 43, 46, 50]
reduction	12.0	[70, 43, 46, 50]
surface	12.5	[70, 43, 46, 50]
surface	13.0	[69, 43, 46, 50]
reduction	13.0	[67, 43, 46, 50]
surface	13.25	[70, 43, 46, 50]
surface	13.5	[67, 43, 46, 50]
surface	14.0	[69, 45, 50, 54]
reduction	14.0	[69, 45, 50, 54]
surface	14.25	[70, 45, 50, 54]
surface	14.5	[69, 45, 50, 54]
surface	14.75	[70, 45, 50, 54]
surface	15.0	[73, 45, 50, 54]
reduction	15.0	[74, 45, 50, 54]
surface	15.25	[74, 45, 50, 54]
surface	15.5	[70, 45, 50, 54]
surface	15.75	[69, 45, 50, 54]
surface	16.0	[67, 43, 46, 50]
reduction	16.0	[67, 43, 46, 50]
surface	16.5	[62, 43, 46, 50]
surface	17.0	[67, 43, 46, 50]
grouping	18.0	[67]
surface	18.0	[66, 43, 46, 50]
reduction	18.0	[67, 43, 46, 50]
surface	18.5	[67, 43, 46, 50]
surface	19.0	[69, 43, 46, 50]
reduction	19.0	[70, 43, 46, 50]
