tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[54, 58, 61]
surface	0.0	[67, 48, 51, 55]
reduction	0.0	[67, 48, 51, 55]
surface	0.25	[65, 48, 51, 55]
surface	0.5	[63, 48, 51, 55]
surface	0.75	[65, 48, 51, 55]
surface	1.0	[67, 48, 51, 55]
surface	2.0	[53, 56, 60]
reduction	2.0	[65, 53, 56, 60]
surface	2.25	[65, 53, 56, 60]
surface	2.5	[67, 53, 56, 60]
surface	2.75	[68, 53, 56, 60]
surface	3.0	[70, 46, 50, 53, 56]
reduction	3.0	[70, 46, 50, 53, 56]
surface	3.25	[72, 46, 50, 53, 56]
surface	3.5	[68, 46, 50, 53, 56]
surface	3.75	[70, 46, 50, 53, 56]
surface	4.0	[67, 51, 55, 58]
reduction	4.0	[67, 51, 55, 58]
surface	4.25	[65, 51, 55, 58]
surface	4.5	[63, 51, 55, 58]
surface	4.75	[65, 51, 55, 58]
surface	5.0	[67, 51, 55, 58]
surface	6.0	[53, 56, 60]
reduction	6.0	[65, 53, 56, 60]
surface	6.25	[65, 53, 56, 60]
surface	6.5	[67, 53, 56, 60]
surface	6.75	[68, 53, 56, 60]
surface	7.0	[70, 46, 50, 53, 56]
reduction	7.0	[70, 46, 50, 53, 56]
surface	7.25	[72, 46, 50, 53, 56]
surface	7.5	[68, 46, 50, 53, 56]
surface	7.75	[70, 46, 50, 53, 56]
grouping	8.0	[54]
surface	8.0	[67, 51, 55, 58]
reduction	8.0	[67, 51, 55, 58]
surface	8.25	[65, 51, 55, 58]
surface	8.5	[63, 51, 55, 58]
surface	8.75	[65, 51, 55, 58]
surface	9.0	[67, 51, 55, 58]
surface	10.0	[69, 50, 54, 57, 60]
reduction	10.0	[69, 50, 54, 57, 60]
surface	10.25	[67, 50, 54, 57, 60]
surface	10.5	[66, 50, 54, 57, 60]
surface	10.75	[67, 50, 54, 57, 60]
surface	11.0	[69, 50, 54, 57, 60]
surface	12.0	[71, 43, 47, 50, 53]
reduction	12.0	[71, 43, 47, 50, 53]
surface	12.25	[69, 43, 47, 50, 53]
surface	12.5	[67, 43, 47, 50, 53]
surface	12.75	[69, 43, 47, 50, 53]
surface	13.0	[71, 43, 47, 50, 53]
surface	14.0	[72, 44, 48, 51]
reduction	14.0	[72, 44, 48, 51]
surface	14.25	[70, 44, 48, 51]
surface	14.5	[68, 44, 48, 51]
surface	14.75	[70, 44, 48, 51]
surface	15.0	[72, 44, 48, 51]
grouping	16.0	[54, 58]
surface	16.0	[53, 56, 60]
reduction	16.0	[72, 53, 56, 60]
surface	16.25	[72, 53, 56, 60]
surface	16.5	[74, 53, 56, 60]
surface	16.75	[75, 53, 56, 60]
surface	17.0	[74, 46, 50, 53, 56]
reduction	17.0	[74, 46, 50, 53, 56]
surface	17.25	[75, 46, 50, 53, 56]
surface	17.5	[72, 46, 50, 53, 56]
surface	17.75	[74, 46, 50, 53, 56]
surface	18.0	[70, 51, 55, 58]
reduction	18.0	[70, 51, 55, 58]
surface	18.25	[68, 51, 55, 58]
surface	18.5	[67, 51, 55, 58]
surface	18.75	[68, 51, 55, 58]
surface	19.0	[70, 48, 52, 55, 58]
reduction	19.0	[70, 48, 52, 55, 58]
surface	19.75	[67, 48, 52, 55, 58]
surface	20.0	[68, 53, 56, 60]
reduction	20.0	[68, 53, 56, 60]
surface	20.25	[67, 53, 56, 60]
surface	20.5	[65, 53, 56, 60]
surface	20.75	[67, 53, 56, 60]
surface	21.0	[68, 46, 50, 53, 56]
reduction	21.0	[68, 46, 50, 53, 56]
surface	21.75	[70, 46, 50, 53, 56]
surface	22.0	[67, 51, 55, 58]
reduction	22.0	[67, 51, 55, 58]
grouping	24.0	[54]
surface	24.0	[65, 53, 56, 60]
reduction	24.0	[65, 53, 56, 60]
surface	24.25	[63, 53, 56, 60]
surface	24.5	[62, 53, 56, 60]
surface	24.75	[63, 53, 56, 60]
surface	25.0	[65, 53, 56, 60]
surface	25.75	[67, 53, 56, 60]
surface	26.0	[63, 48, 51, 55]
reduction	26.0	[63, 48, 51, 55]
surface	26.25	[62, 48, 51, 55]
surface	26.5	[60, 48, 51, 55]
surface	26.75	[62, 48, 51, 55]
surface	27.0	[63, 48, 51, 55]
surface	27.75	[60, 48, 51, 55]
surface	28.0	[62, 44, 48, 51, 55]
reduction	28.0	[62, 44, 48, 51, 55]
surface	28.25	[60, 44, 48, 51, 55]
surface	28.5	[62, 44, 48, 51, 55]
surface	28.75	[65, 44, 48, 51, 55]
surface	29.0	[62, 43, 47, 50, 53]
reduction	29.0	[62, 43, 47, 50, 53]
surface	29.25	[60, 43, 47, 50, 53]
surface	29.5	[62, 43, 47, 50, 53]
surface	29.75	[59, 43, 47, 50, 53]
surface	30.0	[60, 48, 51, 55]
reduction	30.0	[60, 48, 51, 55]
tonality	32.0	[60, 62, 64, 65, 67, 69, 71]
grouping	32.0	[55, 58]
surface	32.0	[48, 52, 55]
reduction	32.0	[64, 48, 52, 55]
surface	32.25	[64, 48, 52, 55]
surface	32.5	[65, 48, 52, 55]
surface	32.75	[64, 48, 52, 55]
surface	33.0	[67, 48, 52, 55]
surface	33.25	[64, 48, 52, 55]
surface	33.5	[62, 48, 52, 55]
surface	33.75	[60, 48, 52, 55]
surface	34.0	[64, 50, 53, 57, 60]
reduction	34.0	[62, 50, 53, 57, 60]
surface	35.0	[62, 50, 53, 57, 60]
surface	36.0	[43, 47, 50, 53]
reduction	36.0	[62, 43, 47, 50, 53]
surface	36.5	[62, 43, 47, 50, 53]
surface	37.0	[64, 43, 47, 50, 53]
surface	37.5	[62, 43, 47, 50, 53]
surface	37.75	[64, 43, 47, 50, 53]
surface	38.0	[62, 48, 52, 55]
reduction	38.0	[60, 48, 52, 55]
surface	39.0	[60, 48, 52, 55]
grouping	40.0	[55]
surface	40.0	[48, 52, 55]
reduction	40.0	[64, 48, 52, 55]
surface	40.25	[64, 48, 52, 55]
surface	40.5	[65, 48, 52, 55]
surface	40.75	[64, 48, 52, 55]
surface	41.0	[67, 48, 52, 55]
surface	41.25	[64, 48, 52, 55]
surface	41.5	[62, 48, 52, 55]
surface	41.75	[60, 48, 52, 55]
surface	42.0	[67, 51, 55, 58]
reduction	42.0	[67, 51, 55, 58]
surface	43.25	[63, 51, 55, 58]
surface	43.5	[65, 51, 55, 58]
surface	43.75	[67, 51, 55, 58]
surface	44.0	[70, 53, 57, 60]
reduction	44.0	[70, 53, 57, 60]
surface	45.0	[46, 50, 53, 56]
reduction	45.0	[65, 46, 50, 53, 56]
surface	45.25	[65, 46, 50, 53, 56]
surface	45.5	[67, 46, 50, 53, 56]
surface	45.75	[68, 46, 50, 53, 56]
surface	46.0	[70, 51, 55, 58]
reduction	46.0	[70, 51, 55, 58]
surface	47.0	[71, 43, 47, 50, 53]
reduction	47.0	[71, 43, 47, 50, 53]
grouping	48.0	[55, 58]
surface	48.0	[72, 41, 45, 48]
reduction	48.0	[72, 41, 45, 48]
surface	48.5	[69, 41, 45, 48]
surface	49.0	[72, 41, 45, 48]
surface	50.0	[50, 53, 57]
reduction	50.0	[69, 50, 53, 57]
surface	50.25	[69, 50, 53, 57]
surface	50.5	[71, 50, 53, 57]
surface	50.75	[72, 50, 53, 57]
surface	51.0	[71, 51, 54, 57, 60]
reduction	51.0	[69, 51, 54, 57, 60]
surface	51.25	[69, 51, 54, 57, 60]
surface	51.5	[67, 51, 54, 57, 60]
surface	51.75	[69, 51, 54, 57, 60]
surface	52.0	[71, 52, 55, 59]
reduction	52.0	[71, 52, 55, 59]
surface	52.5	[67, 52, 55, 59]
surface	53.0	[71, 52, 55, 59]
surface	54.0	[52, 55, 58, 62]
reduction	54.0	[67, 52, 55, 58, 62]
surface	54.25	[67, 52, 55, 58, 62]
surface	54.5	[69, 52, 55, 58, 62]
surface	54.75	[70, 52, 55, 58, 62]
surface	55.0	[69, 45, 49, 52, 55]
reduction	55.0	[67, 45, 49, 52, 55]
surface	55.25	[67, 45, 49, 52, 55]
surface	55.5	[65, 45, 49, 52, 55]
surface	55.75	[67, 45, 49, 52, 55]
surface	56.0	[69, 50, 53, 57]
reduction	56.0	[69, 50, 53, 57]
surface	56.25	[67, 50, 53, 57]
surface	56.5	[65, 50, 53, 57]
surface	56.75	[67, 50, 53, 57]
surface	57.0	[69, 50, 53, 57]
grouping	58.0	[55]
surface	58.0	[50, 53, 57, 60]
reduction	58.0	[65, 50, 53, 57, 60]
surface	58.25	[65, 50, 53, 57, 60]
surface	58.5	[67, 50, 53, 57, 60]
surface	58.75	[69, 50, 53, 57, 60]
surface	59.0	[72, 50, 53, 57, 60]
surface	59.25	[69, 50, 53, 57, 60]
surface	59.5	[67, 50, 53, 57, 60]
surface	59.75	[65, 50, 53, 57, 60]
surface	60.0	[64, 43, 47, 50, 53]
reduction	60.0	[62, 43, 47, 50, 53]
surface	61.0	[62, 43, 47, 50, 53]
surface	62.0	[48, 52, 55]
reduction	62.0	[64, 48, 52, 55]
surface	62.25	[64, 48, 52, 55]
surface	62.5	[65, 48, 52, 55]
surface	62.75	[64, 48, 52, 55]
surface	63.0	[67, 48, 52, 55]
surface	63.25	[64, 48, 52, 55]
surface	63.5	[62, 48, 52, 55]
surface	63.75	[60, 48, 52, 55]
surface	64.0	[64, 50, 53, 57]
reduction	64.0	[64, 50, 53, 57]
surface	65.25	[57, 50, 53, 57]
surface	65.5	[59, 50, 53, 57]
surface	65.75	[60, 50, 53, 57]
surface	66.0	[64, 43, 47, 50, 53]
reduction	66.0	[64, 43, 47, 50, 53]
surface	67.0	[64, 43, 47, 50, 53]
surface	67.5	[64, 43, 47, 50, 53]
surface	67.75	[64, 43, 47, 50, 53]
surface	68.0	[60, 48, 52, 55]
reduction	68.0	[60, 48, 52, 55]
