tonality	0.0	[62, 64, 65, 67, 69, 70, 72]
grouping	0.0	[55, 58, 62]
surface	0.0	[69, 50, 53, 57]
reduction	0.0	[69, 50, 53, 57]
surface	1.0	[65, 50, 53, 57]
surface	1.5	[62, 50, 53, 57]
surface	2.0	[70, 50, 53, 57]
surface	2.5	[69, 50, 53, 57]
surface	3.5	[68, 50, 53, 57]
surface	4.0	[69, 49, 52, 57]
reduction	4.0	[69, 49, 52, 57]
surface	8.0	[48, 51, 55, 57]
reduction	8.0	[69, 48, 51, 55, 57]
surface	8.5	[69, 48, 51, 55, 57]
surface	9.0	[63, 48, 51, 55, 57]
surface	9.5	[60, 48, 51, 55, 57]
surface	10.0	[70, 48, 51, 55, 57]
surface	10.5	[69, 48, 51, 55, 57]
surface	11.5	[66, 48, 51, 55, 57]
surface	12.0	[69, 47, 50, 55]
reduction	12.0	[67, 47, 50, 55]
surface	13.0	[67, 47, 50, 55]
grouping	16.0	[55]
surface	16.0	[46, 50, 55]
reduction	16.0	[67, 46, 50, 55]
surface	16.5	[67, 46, 50, 55]
surface	17.0	[69, 46, 50, 55]
surface	17.5	[67, 46, 50, 55]
surface	18.0	[69, 46, 50, 55]
surface	18.5	[67, 46, 50, 55]
surface	19.5	[66, 46, 50, 55]
surface	20.0	[67, 45, 48, 53]
reduction	20.0	[65, 45, 48, 53]
surface	21.0	[65, 45, 48, 53]
surface	23.0	[64, 45, 48, 53]
surface	23.5	[62, 45, 48, 53]
surface	24.0	[65, 44, 47, 52]
reduction	24.0	[64, 44, 47, 52]
surface	25.0	[64, 44, 47, 52]
surface	26.0	[64, 44, 47, 52]
surface	26.5	[64, 44, 47, 52]
surface	27.0	[67, 44, 47, 52]
surface	27.5	[65, 44, 47, 52]
surface	28.0	[65, 43, 46, 50, 52]
reduction	28.0	[64, 43, 46, 50, 52]
surface	29.0	[64, 43, 46, 50, 52]
grouping	32.0	[55, 58]
surface	32.0	[41, 45, 50]
reduction	32.0	[69, 41, 45, 50]
surface	32.5	[69, 41, 45, 50]
surface	33.0	[65, 41, 45, 50]
surface	33.5	[62, 41, 45, 50]
surface	34.0	[70, 41, 45, 50]
surface	34.5	[69, 41, 45, 50]
surface	35.5	[68, 41, 45, 50]
surface	36.0	[70, 49, 52, 57]
reduction	36.0	[69, 49, 52, 57]
surface	37.0	[69, 49, 52, 57]
surface	40.0	[48, 51, 55, 57]
reduction	40.0	[69, 48, 51, 55, 57]
surface	40.5	[69, 48, 51, 55, 57]
surface	41.0	[72, 48, 51, 55, 57]
surface	41.5	[70, 48, 51, 55, 57]
surface	42.0	[69, 48, 51, 55, 57]
surface	42.5	[67, 48, 51, 55, 57]
surface	43.5	[66, 48, 51, 55, 57]
surface	44.0	[69, 47, 50, 55]
reduction	44.0	[67, 47, 50, 55]
surface	45.0	[67, 47, 50, 55]
grouping	48.0	[55]
surface	48.0	[46, 50, 55]
reduction	48.0	[67, 46, 50, 55]
surface	48.5	[67, 46, 50, 55]
surface	49.0	[65, 46, 50, 55]
surface	49.5	[64, 46, 50, 55]
surface	50.0	[67, 45, 49, 52]
reduction	50.0	[67, 45, 49, 52]
surface	50.5	[65, 45, 49, 52]
surface	51.5	[64, 45, 49, 52]
surface	52.0	[65, 50, 53, 57]
reduction	52.0	[65, 50, 53, 57]
surface	56.0	[52, 56, 59, 62]
reduction	56.0	[64, 52, 56, 59, 62]
surface	56.5	[64, 52, 56, 59, 62]
surface	57.0	[65, 52, 56, 59, 62]
surface	57.5	[64, 52, 56, 59, 62]
surface	58.0	[65, 45, 49, 52, 55]
reduction	58.0	[64, 45, 49, 52, 55]
surface	58.5	[64, 45, 49, 52, 55]
surface	59.5	[65, 45, 49, 52, 55]
surface	60.0	[64, 50, 53, 57]
reduction	60.0	[62, 50, 53, 57]
surface	61.0	[62, 50, 53, 57]
tonality	64.0	[67, 69, 70, 72, 74, 75, 77]
grouping	64.0	[55, 58, 62]
surface	64.0	[45, 48, 51, 54]
reduction	64.0	[62, 45, 48, 51, 54]
surface	64.5	[62, 45, 48, 51, 54]
surface	65.0	[63, 45, 48, 51, 54]
surface	65.5	[62, 45, 48, 51, 54]
surface	66.0	[63, 50, 54, 57, 60]
reduction	66.0	[62, 50, 54, 57, 60]
surface	66.5	[62, 50, 54, 57, 60]
surface	67.5	[61, 50, 54, 57, 60]
surface	68.0	[63, 43, 46, 50]
reduction	68.0	[62, 43, 46, 50]
surface	69.0	[62, 43, 46, 50]
surface	72.0	[45, 48, 51, 54]
reduction	72.0	[62, 45, 48, 51, 54]
surface	72.5	[62, 45, 48, 51, 54]
surface	73.0	[63, 45, 48, 51, 54]
surface	73.5	[62, 45, 48, 51, 54]
surface	74.0	[63, 50, 54, 57, 60]
reduction	74.0	[62, 50, 54, 57, 60]
surface	74.5	[62, 50, 54, 57, 60]
surface	75.5	[65, 50, 54, 57, 60]
surface	76.0	[63, 43, 46, 50]
reduction	76.0	[62, 43, 46, 50]
surface	77.0	[62, 43, 46, 50]
tonality	80.0	[57, 59, 60, 62, 64, 65, 67]
grouping	80.0	[55]
surface	80.0	[47, 50, 53, 57]
reduction	80.0	[64, 47, 50, 53, 57]
surface	80.5	[64, 47, 50, 53, 57]
surface	81.0	[65, 47, 50, 53, 57]
surface	81.5	[64, 47, 50, 53, 57]
surface	82.0	[65, 52, 56, 59, 62]
reduction	82.0	[64, 52, 56, 59, 62]
surface	82.5	[64, 52, 56, 59, 62]
surface	83.5	[62, 52, 56, 59, 62]
surface	84.0	[65, 45, 48, 52]
reduction	84.0	[64, 45, 48, 52]
surface	85.0	[64, 45, 48, 52]
surface	88.0	[47, 50, 53, 57]
reduction	88.0	[64, 47, 50, 53, 57]
surface	88.5	[64, 47, 50, 53, 57]
surface	89.5	[65, 47, 50, 53, 57]
surface	90.0	[64, 52, 56, 59, 62]
reduction	90.0	[64, 52, 56, 59, 62]
surface	90.5	[65, 52, 56, 59, 62]
surface	91.0	[64, 52, 56, 59, 62]
surface	91.5	[62, 52, 56, 59, 62]
surface	92.0	[65, 45, 48, 52]
reduction	92.0	[64, 45, 48, 52]
surface	93.0	[64, 45, 48, 52]
tonality	96.0	[59, 61, 62, 64, 66, 67, 69]
grouping	96.0	[55, 58]
surface	96.0	[49, 52, 55, 58]
reduction	96.0	[66, 49, 52, 55, 58]
surface	96.5	[66, 49, 52, 55, 58]
surface	97.0	[67, 49, 52, 55, 58]
surface	97.5	[66, 49, 52, 55, 58]
surface	98.0	[67, 54, 58, 61, 64]
reduction	98.0	[66, 54, 58, 61, 64]
surface	98.5	[66, 54, 58, 61, 64]
surface	99.5	[66, 54, 58, 61, 64]
surface	100.0	[71, 47, 50, 54]
reduction	100.0	[71, 47, 50, 54]
surface	104.0	[49, 52, 55, 58]
reduction	104.0	[66, 49, 52, 55, 58]
surface	104.5	[66, 49, 52, 55, 58]
surface	105.5	[66, 49, 52, 55, 58]
surface	106.0	[67, 54, 58, 61, 64]
reduction	106.0	[66, 54, 58, 61, 64]
surface	106.5	[66, 54, 58, 61, 64]
surface	107.0	[67, 54, 58, 61, 64]
surface	107.5	[66, 54, 58, 61, 64]
surface	108.0	[73, 47, 50, 54]
reduction	108.0	[71, 47, 50, 54]
surface	109.0	[71, 47, 50, 54]
tonality	112.0	[61, 63, 64, 66, 68, 69, 71]
grouping	112.0	[55]
surface	112.0	[51, 54, 57, 60]
reduction	112.0	[68, 51, 54, 57, 60]
surface	112.5	[68, 51, 54, 57, 60]
surface	113.0	[69, 51, 54, 57, 60]
surface	113.5	[68, 51, 54, 57, 60]
surface	114.0	[69, 56, 60, 63, 66]
reduction	114.0	[68, 56, 60, 63, 66]
surface	114.5	[68, 56, 60, 63, 66]
