tonality	1.0	[69, 71, 72, 74, 76, 77, 79]
grouping	1.0	[64, 67, 71]
reduction	1.0	[64]
surface	3.0	[64, 45, 48, 52]
reduction	3.0	[64, 45, 48, 52]
surface	2.0	[63, 45, 48, 52]
surface	3.0	[64, 45, 48, 52]
surface	4.0	[60, 45, 48, 52]
surface	5.0	[69, 45, 48, 52]
reduction	5.0	[69, 45, 48, 52]
surface	6.0	[68, 52, 56, 59, 62]
reduction	6.0	[68, 52, 56, 59, 62]
surface	7.0	[62, 52, 56, 59, 62]
surface	8.0	[71, 52, 56, 59, 62]
reduction	8.0	[71, 52, 56, 59, 62]
surface	9.0	[69, 45, 48, 52]
reduction	9.0	[69, 45, 48, 52]
surface	11.0	[64, 45, 48, 52]
surface	12.0	[64, 45, 48, 52]
reduction	12.0	[69, 45, 48, 52]
grouping	13.0	[64]
surface	13.0	[69, 45, 48, 52]
surface	14.0	[68, 45, 48, 52]
surface	15.0	[69, 45, 49, 52, 55]
reduction	15.0	[69, 45, 49, 52, 55]
surface	16.0	[64, 45, 49, 52, 55]
surface	17.0	[65, 45, 49, 52, 55]
surface	18.0	[67, 45, 49, 52, 55]
reduction	18.0	[67, 45, 49, 52, 55]
surface	19.0	[65, 45, 49, 52, 55]
surface	20.0	[64, 45, 49, 52, 55]
surface	21.0	[69, 50, 53, 57]
reduction	21.0	[69, 50, 53, 57]
surface	24.0	[50, 53, 57]
reduction	24.0	[65, 50, 53, 57]
grouping	25.0	[64, 67]
surface	25.0	[65, 50, 53, 57]
surface	26.0	[64, 50, 53, 57]
surface	27.0	[65, 50, 53, 57]
reduction	27.0	[65, 50, 53, 57]
surface	28.0	[62, 50, 53, 57]
surface	29.0	[69, 50, 53, 57]
reduction	29.0	[69, 50, 53, 57]
surface	30.0	[68, 52, 56, 59, 62]
reduction	30.0	[68, 52, 56, 59, 62]
surface	31.0	[64, 52, 56, 59, 62]
surface	32.0	[71, 52, 56, 59, 62]
reduction	32.0	[71, 52, 56, 59, 62]
surface	33.0	[69, 45, 48, 52]
reduction	33.0	[69, 45, 48, 52]
surface	34.0	[64, 45, 48, 52]
surface	35.0	[69, 45, 48, 52]
grouping	36.0	[64]
surface	36.0	[69, 45, 48, 52]
reduction	36.0	[69, 45, 48, 52]
surface	37.0	[68, 45, 48, 52]
surface	38.0	[69, 45, 48, 52]
surface	39.0	[72, 50, 53, 57, 60]
reduction	39.0	[72, 50, 53, 57, 60]
surface	40.0	[71, 50, 53, 57, 60]
surface	41.0	[69, 50, 53, 57, 60]
surface	42.0	[69, 47, 51, 54, 57]
reduction	42.0	[69, 47, 51, 54, 57]
surface	43.0	[68, 47, 51, 54, 57]
surface	44.0	[69, 47, 51, 54, 57]
surface	45.0	[71, 52, 56, 59]
reduction	45.0	[71, 52, 56, 59]
surface	48.0	[52, 56, 59]
reduction	48.0	[64, 52, 56, 59]
grouping	49.0	[64, 67, 71]
surface	49.0	[64, 52, 56, 59]
surface	50.0	[63, 52, 56, 59]
surface	51.0	[64, 45, 48, 52]
reduction	51.0	[64, 45, 48, 52]
surface	52.0	[60, 45, 48, 52]
surface	53.0	[69, 45, 48, 52]
reduction	53.0	[69, 45, 48, 52]
surface	54.0	[68, 52, 56, 59, 62]
reduction	54.0	[68, 52, 56, 59, 62]
surface	55.0	[62, 52, 56, 59, 62]
surface	56.0	[71, 52, 56, 59, 62]
reduction	56.0	[71, 52, 56, 59, 62]
surface	57.0	[69, 45, 48, 52]
reduction	57.0	[69, 45, 48, 52]
surface	59.0	[64, 45, 48, 52]
surface	60.0	[64, 45, 48, 52]
reduction	60.0	[69, 45, 48, 52]
grouping	61.0	[64]
surface	61.0	[69, 45, 48, 52]
surface	62.0	[68, 45, 48, 52]
surface	63.0	[69, 45, 49, 52, 55]
reduction	63.0	[69, 45, 49, 52, 55]
surface	64.0	[64, 45, 49, 52, 55]
surface	65.0	[65, 45, 49, 52, 55]
surface	66.0	[67, 45, 49, 52, 55]
reduction	66.0	[67, 45, 49, 52, 55]
surface	67.0	[65, 45, 49, 52, 55]
surface	68.0	[64, 45, 49, 52, 55]
surface	69.0	[69, 50, 53, 57]
reduction	69.0	[69, 50, 53, 57]
surface	72.0	[50, 53, 57]
reduction	72.0	[69, 50, 53, 57]
grouping	73.0	[64, 67]
surface	73.0	[69, 50, 53, 57]
surface	74.0	[71, 50, 53, 57]
surface	75.0	[74, 50, 53, 57]
reduction	75.0	[74, 50, 53, 57]
surface	76.0	[72, 50, 53, 57]
surface	77.0	[71, 50, 53, 57]
surface	78.0	[69, 50, 53, 57]
reduction	78.0	[69, 50, 53, 57]
surface	79.0	[67, 50, 53, 57]
surface	80.0	[65, 50, 53, 57]
surface	81.0	[65, 45, 48, 52]
reduction	81.0	[64, 45, 48, 52]
surface	82.0	[64, 45, 48, 52]
surface	83.0	[69, 45, 48, 52]
surface	84.0	[72, 45, 48, 52]
reduction	84.0	[72, 45, 48, 52]
surface	85.0	[71, 45, 48, 52]
surface	86.0	[69, 45, 48, 52]
grouping	87.0	[64]
