tonality	0.0	[62, 64, 65, 67, 69, 70, 72]
grouping	0.0	[55, 60]
surface	0.0	[74, 50, 53, 57]
reduction	0.0	[74, 50, 53, 57]
surface	3.0	[72, 50, 53, 57]
reduction	3.0	[72, 50, 53, 57]
surface	6.0	[70, 50, 53, 57]
reduction	6.0	[70, 50, 53, 57]
surface	9.0	[69, 50, 53, 57]
reduction	9.0	[69, 50, 53, 57]
surface	12.0	[70, 50, 53, 57]
reduction	12.0	[70, 50, 53, 57]
surface	14.0	[69, 50, 53, 57]
surface	15.0	[70, 50, 53, 57]
reduction	15.0	[70, 50, 53, 57]
surface	16.5	[69, 50, 53, 57]
surface	17.0	[67, 50, 53, 57]
surface	17.5	[65, 50, 53, 57]
surface	18.0	[63, 51, 55, 58]
reduction	18.0	[63, 51, 55, 58]
surface	21.0	[64, 51, 55, 58]
reduction	21.0	[64, 51, 55, 58]
grouping	24.0	[55]
surface	24.0	[63, 51, 55, 58]
reduction	24.0	[63, 51, 55, 58]
surface	27.0	[70, 51, 55, 58]
reduction	27.0	[70, 51, 55, 58]
surface	30.0	[62, 50, 53, 57]
reduction	30.0	[62, 50, 53, 57]
surface	33.0	[69, 50, 53, 57]
reduction	33.0	[69, 50, 53, 57]
surface	36.0	[68, 52, 56, 59, 62]
reduction	36.0	[68, 52, 56, 59, 62]
surface	39.0	[64, 52, 56, 59, 62]
reduction	39.0	[64, 52, 56, 59, 62]
surface	42.0	[69, 45, 49, 52, 55]
reduction	42.0	[69, 45, 49, 52, 55]
surface	45.0	[69, 45, 49, 52, 55]
reduction	45.0	[69, 45, 49, 52, 55]
surface	48.0	[68, 52, 56, 59]
reduction	48.0	[68, 52, 56, 59]
surface	51.0	[69, 45, 49, 52, 55]
reduction	51.0	[69, 45, 49, 52, 55]
surface	54.0	[62, 50, 53, 57]
reduction	54.0	[62, 50, 53, 57]
surface	57.0	[62, 50, 53, 57]
reduction	57.0	[62, 50, 53, 57]
surface	60.0	[50, 53, 57]
reduction	60.0	[69, 50, 53, 57]
surface	61.5	[69, 50, 53, 57]
surface	62.0	[69, 50, 53, 57]
surface	62.5	[69, 50, 53, 57]
surface	63.0	[69, 50, 53, 57]
surface	63.5	[69, 50, 53, 57]
tonality	64.0	[62, 64, 66, 67, 69, 71, 73]
grouping	64.0	[57, 60]
surface	64.0	[69, 50, 54, 57]
reduction	64.0	[69, 50, 54, 57]
surface	65.5	[69, 50, 54, 57]
surface	66.0	[69, 50, 54, 57]
surface	67.5	[69, 50, 54, 57]
surface	68.0	[69, 49, 52, 57]
reduction	68.0	[69, 49, 52, 57]
surface	69.5	[69, 49, 52, 57]
surface	70.0	[69, 49, 52, 57]
surface	70.5	[68, 49, 52, 57]
surface	71.0	[69, 49, 52, 57]
surface	71.5	[71, 49, 52, 57]
surface	72.0	[72, 48, 52, 55]
reduction	72.0	[72, 48, 52, 55]
surface	72.5	[72, 48, 52, 55]
surface	73.5	[72, 48, 52, 55]
surface	74.0	[71, 47, 51, 54, 57]
reduction	74.0	[71, 47, 51, 54, 57]
surface	74.5	[66, 47, 51, 54, 57]
surface	75.0	[71, 47, 51, 54, 57]
surface	75.5	[69, 47, 51, 54, 57]
surface	76.0	[67, 52, 55, 59]
reduction	76.0	[67, 52, 55, 59]
grouping	77.5	[55]
surface	77.5	[67, 52, 55, 59]
surface	78.0	[67, 52, 55, 59]
surface	78.5	[67, 52, 55, 59]
surface	79.0	[67, 52, 55, 59]
surface	79.5	[67, 52, 55, 59]
surface	80.0	[67, 52, 55, 59]
reduction	80.0	[67, 52, 55, 59]
surface	80.5	[67, 52, 55, 59]
surface	81.5	[67, 52, 55, 59]
surface	82.0	[69, 45, 49, 52, 55]
reduction	82.0	[67, 45, 49, 52, 55]
surface	82.5	[67, 45, 49, 52, 55]
surface	83.0	[69, 45, 49, 52, 55]
surface	83.5	[67, 45, 49, 52, 55]
surface	84.0	[66, 50, 54, 57]
reduction	84.0	[66, 50, 54, 57]
surface	85.5	[66, 50, 54, 57]
surface	86.0	[67, 47, 50, 54]
reduction	86.0	[66, 47, 50, 54]
surface	86.5	[66, 47, 50, 54]
surface	87.0	[67, 47, 50, 54]
surface	87.5	[66, 47, 50, 54]
surface	88.0	[64, 52, 55, 59]
reduction	88.0	[64, 52, 55, 59]
surface	89.5	[64, 52, 55, 59]
surface	90.0	[66, 45, 49, 52, 55]
reduction	90.0	[64, 45, 49, 52, 55]
surface	90.5	[64, 45, 49, 52, 55]
surface	91.0	[66, 45, 49, 52, 55]
surface	91.5	[64, 45, 49, 52, 55]
surface	92.0	[62, 50, 54, 57]
reduction	92.0	[62, 50, 54, 57]
grouping	93.5	[55]
surface	93.5	[69, 50, 54, 57]
surface	94.0	[69, 50, 54, 57]
reduction	94.0	[69, 50, 54, 57]
surface	94.5	[69, 50, 54, 57]
surface	95.0	[69, 50, 54, 57]
surface	95.5	[69, 50, 54, 57]
surface	96.0	[69, 50, 54, 57]
reduction	96.0	[69, 50, 54, 57]
surface	97.5	[69, 50, 54, 57]
surface	98.0	[69, 50, 54, 57]
surface	99.5	[69, 50, 54, 57]
surface	100.0	[69, 49, 52, 57]
reduction	100.0	[69, 49, 52, 57]
surface	101.5	[69, 49, 52, 57]
surface	102.0	[69, 49, 52, 57]
surface	102.5	[68, 49, 52, 57]
surface	103.0	[69, 49, 52, 57]
surface	103.5	[71, 49, 52, 57]
surface	104.0	[72, 48, 52, 55]
reduction	104.0	[72, 48, 52, 55]
surface	104.5	[72, 48, 52, 55]
surface	105.5	[72, 48, 52, 55]
surface	106.0	[71, 47, 51, 54, 57]
reduction	106.0	[71, 47, 51, 54, 57]
surface	106.5	[66, 47, 51, 54, 57]
surface	107.0	[71, 47, 51, 54, 57]
surface	107.5	[69, 47, 51, 54, 57]
surface	108.0	[67, 52, 55, 59]
reduction	108.0	[67, 52, 55, 59]
grouping	109.5	[55]
surface	109.5	[67, 52, 55, 59]
surface	110.0	[67, 52, 55, 59]
surface	110.5	[67, 52, 55, 59]
surface	111.0	[67, 52, 55, 59]
surface	111.5	[67, 52, 55, 59]
surface	112.0	[67, 52, 55, 59]
reduction	112.0	[67, 52, 55, 59]
surface	112.5	[67, 52, 55, 59]
surface	113.5	[67, 52, 55, 59]
surface	114.0	[69, 45, 49, 52, 55]
reduction	114.0	[67, 45, 49, 52, 55]
surface	114.5	[67, 45, 49, 52, 55]
surface	115.0	[69, 45, 49, 52, 55]
surface	115.5	[67, 45, 49, 52, 55]
surface	116.0	[66, 50, 54, 57]
reduction	116.0	[66, 50, 54, 57]
surface	117.5	[66, 50, 54, 57]
surface	118.0	[67, 47, 50, 54]
reduction	118.0	[66, 47, 50, 54]
surface	118.5	[66, 47, 50, 54]
surface	119.0	[67, 47, 50, 54]
surface	119.5	[66, 47, 50, 54]
