tonality	1.0	[69, 71, 72, 74, 76, 77, 79]
reduction	1.0	[69]
grouping	3.0	[72, 76, 79]
surface	3.0	[69, 45, 48, 52]
reduction	3.0	[72, 45, 48, 52]
surface	1.5	[71, 45, 48, 52]
surface	2.0	[72, 45, 48, 52]
surface	2.5	[69, 45, 48, 52]
surface	3.0	[72, 45, 48, 52]
surface	5.0	[69, 45, 48, 52]
reduction	5.0	[69, 45, 48, 52]
surface	6.0	[69, 45, 48, 52]
reduction	6.0	[69, 45, 48, 52]
surface	7.0	[69, 45, 48, 52]
reduction	7.0	[69, 45, 48, 52]
surface	7.5	[71, 45, 48, 52]
surface	8.0	[72, 45, 48, 52]
surface	8.5	[69, 45, 48, 52]
surface	9.0	[72, 45, 48, 52]
reduction	9.0	[72, 45, 48, 52]
surface	11.0	[69, 45, 48, 52]
reduction	11.0	[69, 45, 48, 52]
surface	12.0	[69, 45, 48, 52]
reduction	12.0	[69, 45, 48, 52]
surface	13.0	[69, 45, 48, 52]
reduction	13.0	[69, 45, 48, 52]
surface	13.5	[71, 45, 48, 52]
surface	14.0	[72, 45, 48, 52]
reduction	14.0	[72, 45, 48, 52]
surface	14.5	[69, 45, 48, 52]
surface	15.0	[72, 45, 48, 52]
reduction	15.0	[72, 45, 48, 52]
surface	15.5	[69, 45, 48, 52]
surface	16.0	[69, 45, 48, 52]
reduction	16.0	[69, 45, 48, 52]
surface	16.5	[71, 45, 48, 52]
surface	17.0	[72, 45, 48, 52]
reduction	17.0	[72, 45, 48, 52]
surface	17.5	[69, 45, 48, 52]
surface	18.0	[72, 45, 48, 52]
reduction	18.0	[72, 45, 48, 52]
surface	18.5	[69, 45, 48, 52]
surface	19.0	[69, 45, 48, 52]
reduction	19.0	[69, 45, 48, 52]
surface	19.5	[71, 45, 48, 52]
surface	20.0	[72, 45, 48, 52]
reduction	20.0	[72, 45, 48, 52]
surface	20.5	[69, 45, 48, 52]
surface	21.0	[72, 50, 53, 57]
reduction	21.0	[72, 50, 53, 57]
surface	23.0	[65, 50, 53, 57]
reduction	23.0	[65, 50, 53, 57]
surface	24.0	[65, 50, 53, 57]
reduction	24.0	[65, 50, 53, 57]
surface	25.0	[71, 50, 53, 57]
reduction	25.0	[71, 50, 53, 57]
surface	25.5	[72, 50, 53, 57]
surface	26.0	[74, 50, 53, 57]
surface	26.5	[71, 50, 53, 57]
grouping	27.0	[72, 76]
surface	27.0	[74, 52, 56, 59, 62]
reduction	27.0	[74, 52, 56, 59, 62]
surface	29.0	[71, 52, 56, 59, 62]
reduction	29.0	[71, 52, 56, 59, 62]
surface	30.0	[71, 52, 56, 59, 62]
reduction	30.0	[71, 52, 56, 59, 62]
surface	31.0	[71, 52, 56, 59, 62]
reduction	31.0	[71, 52, 56, 59, 62]
surface	31.5	[72, 52, 56, 59, 62]
surface	32.0	[74, 52, 56, 59, 62]
surface	32.5	[71, 52, 56, 59, 62]
surface	33.0	[72, 45, 48, 52]
reduction	33.0	[72, 45, 48, 52]
surface	35.0	[69, 45, 48, 52]
reduction	35.0	[69, 45, 48, 52]
surface	36.0	[69, 45, 48, 52]
reduction	36.0	[69, 45, 48, 52]
surface	37.0	[69, 45, 48, 52]
reduction	37.0	[69, 45, 48, 52]
surface	37.5	[71, 45, 48, 52]
surface	38.0	[72, 45, 48, 52]
surface	38.5	[69, 45, 48, 52]
surface	39.0	[71, 47, 51, 54, 57]
reduction	39.0	[71, 47, 51, 54, 57]
surface	39.5	[66, 47, 51, 54, 57]
surface	40.0	[65, 47, 51, 54, 57]
surface	40.5	[66, 47, 51, 54, 57]
surface	41.0	[72, 47, 51, 54, 57]
surface	41.5	[69, 47, 51, 54, 57]
surface	42.0	[71, 47, 51, 54, 57]
reduction	42.0	[71, 47, 51, 54, 57]
surface	42.5	[66, 47, 51, 54, 57]
surface	43.0	[65, 47, 51, 54, 57]
surface	43.5	[66, 47, 51, 54, 57]
surface	44.0	[72, 47, 51, 54, 57]
surface	44.5	[69, 47, 51, 54, 57]
surface	45.0	[71, 52, 56, 59]
reduction	45.0	[71, 52, 56, 59]
surface	48.0	[71, 47, 51, 54]
reduction	48.0	[71, 47, 51, 54]
surface	49.0	[66, 47, 51, 54]
surface	50.5	[72, 47, 51, 54]
surface	51.0	[71, 40, 44, 47]
reduction	51.0	[71, 40, 44, 47]
surface	52.0	[64, 40, 44, 47]
surface	53.5	[72, 40, 44, 47]
surface	54.0	[69, 45, 48, 52]
reduction	54.0	[69, 45, 48, 52]
surface	57.0	[45, 48, 52]
reduction	57.0	[45, 48, 52]
surface	58.0	[64, 45, 48, 52]
reduction	58.0	[64, 45, 48, 52]
surface	59.0	[66, 45, 48, 52]
reduction	59.0	[66, 45, 48, 52]
tonality	60.0	[69, 71, 73, 74, 76, 78, 80]
grouping	60.0	[73, 76, 80]
surface	60.0	[66, 45, 49, 52]
reduction	60.0	[66, 45, 49, 52]
surface	63.0	[66, 45, 49, 52]
reduction	63.0	[66, 45, 49, 52]
surface	64.0	[64, 45, 49, 52]
surface	65.0	[73, 45, 49, 52]
surface	66.0	[73, 45, 49, 52]
reduction	66.0	[73, 45, 49, 52]
surface	69.0	[73, 45, 49, 52]
reduction	69.0	[73, 45, 49, 52]
surface	70.0	[72, 45, 49, 52]
surface	71.0	[73, 45, 49, 52]
surface	72.0	[74, 42, 46, 49, 52]
reduction	72.0	[73, 42, 46, 49, 52]
surface	73.0	[73, 42, 46, 49, 52]
surface	74.0	[72, 42, 46, 49, 52]
surface	75.0	[74, 42, 46, 49, 52]
reduction	75.0	[73, 42, 46, 49, 52]
surface	76.0	[73, 42, 46, 49, 52]
surface	77.0	[72, 42, 46, 49, 52]
surface	78.0	[73, 47, 51, 54]
reduction	78.0	[73, 47, 51, 54]
surface	80.0	[66, 47, 51, 54]
surface	81.0	[66, 47, 51, 54]
reduction	81.0	[66, 47, 51, 54]
surface	82.0	[65, 47, 51, 54]
surface	83.0	[66, 47, 51, 54]
grouping	84.0	[73]
surface	84.0	[73, 40, 44, 47, 50]
reduction	84.0	[73, 40, 44, 47, 50]
surface	85.0	[71, 40, 44, 47, 50]
surface	86.0	[70, 40, 44, 47, 50]
surface	87.0	[73, 40, 44, 47, 50]
reduction	87.0	[73, 40, 44, 47, 50]
surface	88.0	[71, 40, 44, 47, 50]
surface	89.0	[70, 40, 44, 47, 50]
surface	90.0	[71, 45, 49, 52]
reduction	90.0	[71, 45, 49, 52]
surface	92.0	[69, 45, 49, 52]
surface	93.0	[69, 45, 49, 52]
reduction	93.0	[69, 45, 49, 52]
surface	94.0	[68, 45, 49, 52]
surface	95.0	[67, 45, 49, 52]
surface	96.0	[69, 44, 48, 51, 54]
reduction	96.0	[68, 44, 48, 51, 54]
surface	97.0	[68, 44, 48, 51, 54]
surface	98.0	[71, 44, 48, 51, 54]
surface	99.0	[69, 44, 48, 51, 54]
reduction	99.0	[68, 44, 48, 51, 54]
surface	100.0	[68, 44, 48, 51, 54]
surface	101.0	[63, 44, 48, 51, 54]
surface	102.0	[68, 49, 52, 56]
reduction	102.0	[68, 49, 52, 56]
surface	105.0	[40, 44, 47, 50]
reduction	105.0	[40, 44, 47, 50]
surface	106.0	[64, 40, 44, 47, 50]
reduction	106.0	[64, 40, 44, 47, 50]
surface	107.0	[66, 40, 44, 47, 50]
reduction	107.0	[66, 40, 44, 47, 50]
grouping	108.0	[73, 76]
surface	108.0	[66, 45, 49, 52]
reduction	108.0	[66, 45, 49, 52]
surface	111.0	[66, 45, 49, 52]
reduction	111.0	[66, 45, 49, 52]
surface	112.0	[64, 45, 49, 52]
surface	113.0	[73, 45, 49, 52]
surface	114.0	[73, 45, 49, 52]
reduction	114.0	[73, 45, 49, 52]
surface	117.0	[73, 45, 49, 52]
reduction	117.0	[73, 45, 49, 52]
surface	118.0	[72, 45, 49, 52]
surface	119.0	[73, 45, 49, 52]
surface	120.0	[74, 42, 46, 49, 52]
reduction	120.0	[73, 42, 46, 49, 52]
surface	121.0	[73, 42, 46, 49, 52]
surface	122.0	[76, 42, 46, 49, 52]
surface	123.0	[74, 42, 46, 49, 52]
reduction	123.0	[73, 42, 46, 49, 52]
surface	124.0	[73, 42, 46, 49, 52]
surface	125.0	[72, 42, 46, 49, 52]
surface	126.0	[73, 47, 50, 54]
reduction	126.0	[71, 47, 50, 54]
surface	128.0	[71, 47, 50, 54]
surface	129.0	[71, 47, 50, 54]
