reduction	1.75	[57]
tonality	2.0	[69, 71, 73, 74, 76, 78, 79]
grouping	2.0	[64, 67, 71]
surface	2.0	[57, 45, 49, 52, 55]
reduction	2.0	[67, 45, 49, 52, 55]
surface	2.0	[67, 45, 49, 52, 55]
surface	2.25	[66, 45, 49, 52, 55]
surface	2.5	[64, 45, 49, 52, 55]
surface	2.75	[66, 45, 49, 52, 55]
surface	3.0	[67, 45, 49, 52, 55]
surface	3.25	[66, 45, 49, 52, 55]
surface	3.5	[64, 45, 49, 52, 55]
surface	3.75	[66, 45, 49, 52, 55]
surface	4.0	[67, 45, 49, 52, 55]
reduction	4.0	[67, 45, 49, 52, 55]
surface	5.75	[57, 45, 49, 52, 55]
reduction	5.75	[57, 45, 49, 52, 55]
surface	6.0	[69, 50, 54, 57]
reduction	6.0	[69, 50, 54, 57]
surface	6.25	[67, 50, 54, 57]
surface	6.5	[66, 50, 54, 57]
surface	6.75	[67, 50, 54, 57]
surface	7.0	[69, 50, 54, 57]
surface	7.25	[67, 50, 54, 57]
surface	7.5	[66, 50, 54, 57]
surface	7.75	[67, 50, 54, 57]
surface	8.0	[69, 50, 54, 57]
reduction	8.0	[69, 50, 54, 57]
surface	9.75	[66, 50, 54, 57]
reduction	9.75	[66, 50, 54, 57]
surface	10.0	[74, 43, 47, 50]
reduction	10.0	[71, 43, 47, 50]
surface	10.25	[73, 43, 47, 50]
surface	10.5	[71, 43, 47, 50]
surface	11.0	[71, 43, 47, 50]
surface	11.25	[73, 43, 47, 50]
surface	11.5	[74, 43, 47, 50]
surface	11.75	[76, 43, 47, 50]
surface	12.0	[73, 42, 45, 49]
reduction	12.0	[69, 42, 45, 49]
surface	12.25	[71, 42, 45, 49]
surface	12.5	[69, 42, 45, 49]
surface	13.0	[69, 42, 45, 49]
surface	13.5	[69, 42, 45, 49]
surface	14.0	[71, 40, 43, 47]
reduction	14.0	[71, 40, 43, 47]
surface	14.25	[69, 40, 43, 47]
surface	14.5	[67, 40, 43, 47]
surface	14.75	[66, 40, 43, 47]
surface	15.0	[64, 40, 43, 47]
surface	15.25	[66, 40, 43, 47]
surface	15.5	[67, 40, 43, 47]
surface	15.75	[64, 40, 43, 47]
surface	16.0	[69, 45, 49, 52, 55]
reduction	16.0	[69, 45, 49, 52, 55]
surface	17.5	[64, 45, 49, 52, 55]
reduction	17.5	[64, 45, 49, 52, 55]
surface	17.75	[65, 45, 49, 52, 55]
tonality	18.0	[62, 64, 65, 67, 69, 70, 71]
grouping	18.0	[64, 67]
surface	18.0	[67, 43, 46, 50]
reduction	18.0	[67, 43, 46, 50]
surface	18.25	[65, 43, 46, 50]
surface	18.5	[64, 43, 46, 50]
surface	18.75	[65, 43, 46, 50]
surface	19.0	[67, 43, 46, 50]
surface	19.25	[65, 43, 46, 50]
surface	19.5	[64, 43, 46, 50]
surface	19.75	[65, 43, 46, 50]
surface	20.0	[67, 43, 46, 50]
reduction	20.0	[67, 43, 46, 50]
surface	21.75	[57, 43, 46, 50]
reduction	21.75	[57, 43, 46, 50]
surface	22.0	[69, 50, 53, 57]
reduction	22.0	[69, 50, 53, 57]
surface	22.25	[67, 50, 53, 57]
surface	22.5	[65, 50, 53, 57]
surface	22.75	[67, 50, 53, 57]
surface	23.0	[69, 50, 53, 57]
surface	23.25	[67, 50, 53, 57]
surface	23.5	[65, 50, 53, 57]
surface	23.75	[67, 50, 53, 57]
surface	24.0	[69, 50, 53, 57]
reduction	24.0	[69, 50, 53, 57]
surface	25.75	[58, 50, 53, 57]
reduction	25.75	[58, 50, 53, 57]
surface	26.0	[67, 43, 46, 50]
reduction	26.0	[67, 43, 46, 50]
surface	26.25	[65, 43, 46, 50]
surface	26.5	[64, 43, 46, 50]
surface	26.75	[65, 43, 46, 50]
surface	27.0	[67, 43, 46, 50]
surface	27.75	[64, 43, 46, 50]
surface	28.0	[65, 50, 53, 57]
reduction	28.0	[65, 50, 53, 57]
surface	28.25	[64, 50, 53, 57]
surface	28.5	[62, 50, 53, 57]
surface	28.75	[64, 50, 53, 57]
surface	29.0	[65, 50, 53, 57]
surface	29.75	[62, 50, 53, 57]
surface	30.0	[65, 46, 50, 53]
reduction	30.0	[65, 46, 50, 53]
surface	30.25	[62, 46, 50, 53]
surface	30.5	[65, 46, 50, 53]
surface	30.75	[67, 46, 50, 53]
