tonality	0.0	[62, 64, 66, 67, 69, 71, 73]
grouping	0.0	[64, 67]
reduction	0.0	[71]
surface	2.0	[71, 42, 46, 49, 52]
reduction	2.0	[70, 42, 46, 49, 52]
surface	1.0	[71, 42, 46, 49, 52]
surface	1.25	[70, 42, 46, 49, 52]
surface	1.5	[73, 42, 46, 49, 52]
surface	1.75	[71, 42, 46, 49, 52]
surface	2.0	[71, 42, 46, 49, 52]
surface	3.0	[70, 42, 46, 49, 52]
surface	4.0	[47, 51, 54, 57]
reduction	4.0	[69, 47, 51, 54, 57]
surface	4.5	[69, 47, 51, 54, 57]
surface	5.0	[69, 47, 51, 54, 57]
surface	5.25	[68, 47, 51, 54, 57]
surface	5.5	[71, 47, 51, 54, 57]
surface	5.75	[69, 47, 51, 54, 57]
surface	6.0	[69, 40, 43, 47]
reduction	6.0	[67, 40, 43, 47]
surface	7.0	[67, 40, 43, 47]
surface	8.0	[43, 46, 50]
reduction	8.0	[67, 43, 46, 50]
surface	8.5	[67, 43, 46, 50]
surface	9.0	[69, 43, 46, 50]
surface	9.25	[67, 43, 46, 50]
surface	9.5	[62, 43, 46, 50]
surface	9.75	[64, 43, 46, 50]
surface	10.0	[66, 50, 54, 57]
reduction	10.0	[66, 50, 54, 57]
surface	10.5	[69, 50, 54, 57]
surface	11.0	[73, 44, 47, 50, 53]
reduction	11.0	[71, 44, 47, 50, 53]
surface	11.5	[71, 44, 47, 50, 53]
surface	12.0	[69, 50, 54, 57]
reduction	12.0	[69, 50, 54, 57]
surface	12.5	[66, 50, 54, 57]
surface	12.75	[62, 50, 54, 57]
surface	13.0	[59, 50, 54, 57]
reduction	13.0	[59, 50, 54, 57]
surface	13.5	[67, 50, 54, 57]
surface	14.0	[64, 52, 55, 59, 62]
reduction	14.0	[64, 52, 55, 59, 62]
surface	15.0	[64, 45, 49, 52, 55]
reduction	15.0	[64, 45, 49, 52, 55]
grouping	16.0	[64, 67, 71]
surface	16.0	[62, 50, 54, 57]
reduction	16.0	[62, 50, 54, 57]
surface	16.75	[57, 50, 54, 57]
surface	17.0	[62, 50, 54, 57]
surface	17.25	[66, 50, 54, 57]
