tonality	0.0	[69, 71, 72, 74, 76, 77, 79]
grouping	0.0	[72, 76, 79]
surface	0.0	[69, 45, 48, 52]
reduction	0.0	[69, 45, 48, 52]
surface	0.5	[71, 45, 48, 52]
surface	0.75	[72, 45, 48, 52]
surface	1.0	[71, 45, 48, 52]
reduction	1.0	[72, 45, 48, 52]
surface	1.25	[69, 45, 48, 52]
surface	1.5	[72, 45, 48, 52]
surface	2.0	[53, 57, 60]
reduction	2.0	[69, 53, 57, 60]
surface	2.25	[69, 53, 57, 60]
surface	2.5	[71, 53, 57, 60]
surface	2.75	[72, 53, 57, 60]
surface	3.0	[71, 53, 57, 60]
reduction	3.0	[65, 53, 57, 60]
surface	3.25	[69, 53, 57, 60]
surface	3.5	[65, 53, 57, 60]
surface	4.0	[51, 54, 57, 60]
reduction	4.0	[69, 51, 54, 57, 60]
surface	4.25	[69, 51, 54, 57, 60]
surface	4.5	[71, 51, 54, 57, 60]
surface	4.75	[72, 51, 54, 57, 60]
surface	5.0	[71, 51, 54, 57, 60]
reduction	5.0	[72, 51, 54, 57, 60]
surface	5.25	[69, 51, 54, 57, 60]
surface	5.5	[72, 51, 54, 57, 60]
surface	6.0	[45, 48, 52]
reduction	6.0	[69, 45, 48, 52]
surface	6.25	[69, 45, 48, 52]
surface	6.5	[71, 45, 48, 52]
surface	6.75	[72, 45, 48, 52]
surface	7.0	[71, 45, 48, 52]
reduction	7.0	[64, 45, 48, 52]
surface	7.25	[69, 45, 48, 52]
surface	7.5	[64, 45, 48, 52]
surface	8.0	[45, 48, 52]
reduction	8.0	[64, 45, 48, 52]
surface	8.25	[64, 45, 48, 52]
surface	8.5	[63, 45, 48, 52]
surface	8.75	[64, 45, 48, 52]
surface	9.0	[71, 47, 51, 54, 57]
reduction	9.0	[69, 47, 51, 54, 57]
surface	9.5	[69, 47, 51, 54, 57]
surface	10.0	[69, 40, 44, 47]
reduction	10.0	[71, 40, 44, 47]
surface	10.25	[68, 40, 44, 47]
surface	10.5	[71, 40, 44, 47]
surface	12.0	[43, 47, 50, 53]
reduction	12.0	[62, 43, 47, 50, 53]
surface	12.25	[62, 43, 47, 50, 53]
surface	12.5	[61, 43, 47, 50, 53]
surface	12.75	[62, 43, 47, 50, 53]
surface	13.0	[67, 43, 47, 50, 53]
reduction	13.0	[65, 43, 47, 50, 53]
surface	13.5	[65, 43, 47, 50, 53]
surface	14.0	[64, 48, 52, 55]
reduction	14.0	[64, 48, 52, 55]
surface	14.25	[64, 48, 52, 55]
surface	14.5	[63, 48, 52, 55]
surface	14.75	[64, 48, 52, 55]
surface	15.0	[65, 40, 44, 47, 50]
reduction	15.0	[64, 40, 44, 47, 50]
surface	15.25	[64, 40, 44, 47, 50]
surface	15.5	[68, 40, 44, 47, 50]
surface	15.75	[65, 40, 44, 47, 50]
grouping	16.0	[72, 76]
surface	16.0	[64, 45, 48, 52]
reduction	16.0	[64, 45, 48, 52]
surface	16.25	[69, 45, 48, 52]
surface	16.5	[71, 45, 48, 52]
surface	16.75	[72, 45, 48, 52]
surface	17.0	[71, 45, 48, 52]
reduction	17.0	[72, 45, 48, 52]
surface	17.25	[69, 45, 48, 52]
surface	17.5	[72, 45, 48, 52]
surface	18.0	[53, 57, 60]
reduction	18.0	[69, 53, 57, 60]
surface	18.25	[69, 53, 57, 60]
surface	18.5	[71, 53, 57, 60]
surface	18.75	[72, 53, 57, 60]
surface	19.0	[71, 53, 57, 60]
reduction	19.0	[65, 53, 57, 60]
surface	19.25	[69, 53, 57, 60]
surface	19.5	[65, 53, 57, 60]
surface	20.0	[51, 54, 57, 60]
reduction	20.0	[69, 51, 54, 57, 60]
surface	20.25	[69, 51, 54, 57, 60]
surface	20.5	[71, 51, 54, 57, 60]
surface	20.75	[72, 51, 54, 57, 60]
surface	21.0	[71, 51, 54, 57, 60]
reduction	21.0	[72, 51, 54, 57, 60]
surface	21.25	[69, 51, 54, 57, 60]
surface	21.5	[72, 51, 54, 57, 60]
surface	22.0	[45, 48, 52]
reduction	22.0	[69, 45, 48, 52]
surface	22.25	[69, 45, 48, 52]
surface	22.5	[71, 45, 48, 52]
surface	22.75	[72, 45, 48, 52]
surface	23.0	[71, 45, 48, 52]
reduction	23.0	[64, 45, 48, 52]
surface	23.25	[69, 45, 48, 52]
surface	23.5	[64, 45, 48, 52]
surface	24.0	[45, 48, 52]
reduction	24.0	[64, 45, 48, 52]
surface	24.25	[64, 45, 48, 52]
surface	24.5	[63, 45, 48, 52]
surface	24.75	[64, 45, 48, 52]
surface	25.0	[71, 47, 51, 54, 57]
reduction	25.0	[69, 47, 51, 54, 57]
surface	25.5	[69, 47, 51, 54, 57]
surface	26.0	[69, 40, 44, 47]
reduction	26.0	[71, 40, 44, 47]
surface	26.25	[68, 40, 44, 47]
surface	26.5	[71, 40, 44, 47]
surface	28.0	[40, 44, 47, 50]
reduction	28.0	[59, 40, 44, 47, 50]
surface	28.25	[59, 40, 44, 47, 50]
surface	28.5	[60, 40, 44, 47, 50]
surface	28.75	[62, 40, 44, 47, 50]
surface	29.0	[64, 40, 44, 47, 50]
reduction	29.0	[64, 40, 44, 47, 50]
surface	29.75	[64, 40, 44, 47, 50]
surface	30.0	[45, 48, 52]
reduction	30.0	[69, 45, 48, 52]
surface	30.25	[72, 45, 48, 52]
surface	30.5	[71, 45, 48, 52]
surface	30.75	[74, 45, 48, 52]
surface	31.0	[72, 45, 48, 52]
surface	31.25	[71, 45, 48, 52]
surface	31.75	[69, 45, 48, 52]
surface	32.0	[68, 45, 48, 52]
reduction	32.0	[69, 45, 48, 52]
surface	32.5	[65, 45, 48, 52]
surface	32.75	[64, 45, 48, 52]
surface	33.0	[62, 45, 48, 52]
surface	33.5	[60, 45, 48, 52]
surface	33.75	[59, 45, 48, 52]
grouping	34.0	[72, 76]
surface	34.0	[64, 45, 48, 52]
reduction	34.0	[64, 45, 48, 52]
surface	36.0	[45, 48, 52]
reduction	36.0	[65, 45, 48, 52]
surface	36.5	[65, 45, 48, 52]
surface	36.75	[64, 45, 48, 52]
surface	37.0	[67, 45, 48, 52]
surface	37.5	[65, 45, 48, 52]
surface	38.0	[65, 40, 44, 47, 50]
reduction	38.0	[64, 40, 44, 47, 50]
surface	39.0	[64, 40, 44, 47, 50]
surface	40.0	[40, 44, 47, 50]
reduction	40.0	[64, 40, 44, 47, 50]
surface	40.5	[64, 40, 44, 47, 50]
surface	41.0	[66, 40, 44, 47, 50]
surface	41.25	[68, 40, 44, 47, 50]
surface	41.5	[69, 40, 44, 47, 50]
surface	41.75	[71, 40, 44, 47, 50]
surface	42.0	[72, 45, 48, 52]
reduction	42.0	[72, 45, 48, 52]
surface	43.0	[72, 45, 48, 52]
surface	44.0	[45, 48, 52]
reduction	44.0	[72, 45, 48, 52]
surface	44.25	[72, 45, 48, 52]
surface	44.5	[74, 45, 48, 52]
surface	44.75	[72, 45, 48, 52]
surface	45.0	[74, 45, 48, 52]
surface	45.25	[72, 45, 48, 52]
surface	45.5	[74, 45, 48, 52]
surface	45.75	[72, 45, 48, 52]
surface	46.0	[72, 40, 44, 47]
reduction	46.0	[71, 40, 44, 47]
surface	47.0	[71, 40, 44, 47]
surface	48.0	[74, 38, 41, 45]
reduction	48.0	[74, 38, 41, 45]
grouping	50.0	[72]
surface	50.0	[38, 41, 45]
reduction	50.0	[72, 38, 41, 45]
surface	50.25	[72, 38, 41, 45]
surface	50.5	[72, 38, 41, 45]
surface	50.75	[71, 38, 41, 45]
surface	51.0	[71, 38, 41, 45]
surface	51.25	[69, 38, 41, 45]
surface	51.5	[67, 38, 41, 45]
surface	51.75	[65, 38, 41, 45]
surface	52.0	[69, 45, 48, 52]
reduction	52.0	[69, 45, 48, 52]
surface	54.0	[45, 48, 52]
reduction	54.0	[67, 45, 48, 52]
surface	54.25	[67, 45, 48, 52]
surface	54.5	[67, 45, 48, 52]
surface	54.75	[65, 45, 48, 52]
surface	55.0	[65, 45, 48, 52]
surface	55.25	[64, 45, 48, 52]
surface	55.5	[62, 45, 48, 52]
surface	55.75	[60, 45, 48, 52]
surface	56.0	[64, 40, 44, 47, 50]
reduction	56.0	[64, 40, 44, 47, 50]
surface	56.5	[59, 40, 44, 47, 50]
surface	56.75	[62, 40, 44, 47, 50]
surface	57.0	[65, 40, 44, 47, 50]
surface	57.5	[59, 40, 44, 47, 50]
surface	57.75	[62, 40, 44, 47, 50]
surface	58.0	[64, 40, 44, 47, 50]
reduction	58.0	[64, 40, 44, 47, 50]
surface	58.5	[59, 40, 44, 47, 50]
surface	58.75	[62, 40, 44, 47, 50]
surface	59.0	[65, 40, 44, 47, 50]
surface	59.5	[59, 40, 44, 47, 50]
surface	59.75	[62, 40, 44, 47, 50]
surface	60.0	[64, 45, 48, 52]
reduction	60.0	[64, 45, 48, 52]
surface	60.5	[57, 45, 48, 52]
surface	60.75	[60, 45, 48, 52]
surface	61.0	[65, 45, 48, 52]
surface	61.3333333333	[69, 45, 48, 52]
surface	61.6666666667	[68, 45, 48, 52]
surface	62.0	[64, 40, 44, 47]
reduction	62.0	[64, 40, 44, 47]
surface	64.0	[64, 40, 44, 47, 50]
reduction	64.0	[64, 40, 44, 47, 50]
surface	65.0	[59, 40, 44, 47, 50]
surface	65.5	[62, 40, 44, 47, 50]
surface	66.0	[64, 40, 44, 47, 50]
reduction	66.0	[68, 40, 44, 47, 50]
surface	67.0	[68, 40, 44, 47, 50]
surface	68.0	[69, 45, 48, 52]
reduction	68.0	[69, 45, 48, 52]
surface	70.0	[69, 45, 48, 52]
reduction	70.0	[69, 45, 48, 52]
