tonality	0.0	[60, 62, 64, 65, 67, 69, 71]
grouping	4.0	[72, 76, 79]
surface	4.0	[64, 48, 36]
reduction	4.0	[64, 67, 36, 48, 55]
surface	3.0	[65, 48, 36]
surface	3.5	[64, 48, 36]
surface	4.0	[64, 67, 48, 36]
surface	5.0	[64, 67, 55]
surface	6.0	[65, 67, 41]
reduction	6.0	[65, 67, 41, 53, 57]
surface	7.0	[65, 67, 53, 57]
surface	7.5	[64, 67, 53, 57]
surface	8.0	[64, 67, 48, 36]
reduction	8.0	[64, 67, 36, 48, 55]
surface	9.0	[64, 67, 55, 36]
surface	10.0	[60, 36]
surface	10.5	[67]
surface	11.0	[67]
surface	11.5	[65]
surface	12.0	[67, 62, 46]
reduction	12.0	[62, 67, 70, 46, 53]
surface	12.5	[70, 62, 46]
surface	13.0	[70, 62, 53]
surface	14.0	[70, 62, 58, 46]
surface	15.0	[67, 62, 58]
surface	15.5	[65, 62, 58]
surface	16.0	[64, 67, 48, 36]
reduction	16.0	[64, 67, 36, 48, 55]
surface	16.25	[65, 48, 36]
surface	16.5	[64, 48, 36]
surface	17.0	[64, 55, 36]
surface	18.0	[60, 36]
surface	18.5	[64]
surface	19.0	[65]
surface	19.5	[64]
grouping	20.0	[72]
surface	20.0	[64, 67, 48, 36]
reduction	20.0	[64, 67, 36, 48, 55]
surface	21.0	[64, 67, 55]
surface	22.0	[65, 67, 41]
reduction	22.0	[65, 67, 41, 53, 57]
surface	23.0	[65, 67, 53, 57]
surface	23.5	[64, 67, 53, 57]
surface	24.0	[64, 67, 48, 36]
reduction	24.0	[64, 67, 36, 48, 55]
surface	25.0	[64, 67, 55, 36]
surface	26.0	[60, 36]
surface	26.5	[67]
surface	27.0	[67]
surface	27.5	[65]
surface	28.0	[67, 62, 46]
reduction	28.0	[62, 67, 70, 46, 53]
surface	28.5	[70, 62, 46]
surface	29.0	[70, 62, 53]
surface	30.0	[70, 62, 58, 46]
surface	31.0	[67, 62, 58]
surface	31.5	[65, 62, 58]
surface	32.0	[64, 67, 48, 36]
reduction	32.0	[64, 67, 36, 48, 55]
surface	32.25	[65, 48, 36]
surface	32.5	[64, 48, 36]
surface	33.0	[64, 55, 36]
surface	34.0	[60, 36]
surface	34.5	[72]
surface	35.0	[72]
surface	35.5	[72]
grouping	36.0	[72, 76]
surface	36.0	[72, 57, 41]
reduction	36.0	[69, 72, 41, 57]
surface	36.5	[71, 56, 41]
surface	37.0	[70, 55]
surface	37.5	[69, 53]
surface	38.0	[69, 53, 41]
reduction	38.0	[69, 72, 41, 53]
surface	38.5	[72, 53, 41]
surface	39.0	[72, 57, 41]
surface	39.5	[72, 57, 41]
surface	40.0	[74, 59, 43]
reduction	40.0	[71, 74, 43, 59]
surface	40.5	[73, 58, 43]
surface	41.0	[72, 57]
surface	41.5	[71, 55]
surface	42.0	[71, 55, 43]
reduction	42.0	[71, 74, 43, 53, 55]
surface	42.5	[64, 55, 43]
surface	43.0	[65, 47, 53, 55, 43]
surface	43.5	[64, 47, 53, 55, 43]
surface	44.0	[67, 48, 36]
reduction	44.0	[60, 67, 36, 48, 52, 55]
surface	44.5	[60, 48, 36]
surface	45.0	[60, 52, 55]
surface	46.0	[63, 53, 57, 41]
reduction	46.0	[65, 41, 53, 57]
surface	46.5	[65, 53, 57, 41]
surface	47.0	[65, 53, 57]
surface	48.0	[63, 48, 55, 36]
reduction	48.0	[63, 36, 48, 55]
surface	49.0	[55, 36]
surface	50.0	[60, 36]
surface	50.5	[64]
surface	51.0	[65]
surface	51.5	[64]
surface	52.0	[63, 48, 55, 36]
reduction	52.0	[63, 36, 48, 55]
surface	53.0	[48, 55]
surface	54.0	[67]
surface	54.5	[72]
surface	55.5	[71]
grouping	56.0	[72, 76, 79]
surface	56.0	[71, 52, 40]
reduction	56.0	[71, 40, 52, 55, 59]
surface	57.0	[71, 55, 59]
surface	58.0	[71, 52, 40]
surface	59.0	[71, 55, 59]
surface	60.0	[72, 52, 45]
reduction	60.0	[69, 72, 45, 52, 57, 60]
surface	60.5	[71, 52, 45]
surface	61.0	[69, 57, 60]
surface	61.5	[69, 57, 60]
surface	62.0	[69, 52, 45]
surface	62.5	[71, 52, 45]
surface	63.0	[72, 57, 60]
surface	63.5	[69, 57, 60]
surface	64.0	[71, 52, 40]
reduction	64.0	[71, 40, 52, 55, 59]
surface	65.0	[71, 55, 59]
surface	66.0	[71, 52, 40]
surface	67.0	[71, 55, 59]
surface	68.0	[52, 40]
reduction	68.0	[71, 40, 52, 55, 59]
surface	69.0	[55]
surface	70.0	[67, 59, 40]
surface	70.5	[71, 59, 40]
surface	71.0	[71, 55]
surface	71.5	[72, 55]
grouping	72.0	[72]
surface	72.0	[72, 48, 36]
reduction	72.0	[72, 36, 48, 52, 55]
surface	73.0	[72, 52]
surface	74.0	[72, 55, 36]
surface	75.0	[72, 60]
surface	76.0	[72, 60, 64, 67, 45]
reduction	76.0	[69, 72, 45, 57, 60, 64]
surface	76.5	[71, 60, 64, 67, 45]
surface	77.0	[69, 60, 64, 67]
