tonality	4.0	[65, 67, 69, 70, 72, 74, 76]
grouping	4.0	[65, 69, 72]
surface	4.0	[70, 55, 43]
reduction	4.0	[67, 55, 58, 62, 43]
surface	3.0	[69, 55, 43]
surface	4.0	[67, 55, 43]
surface	5.0	[67, 58, 62]
surface	6.0	[69, 38, 58, 62]
reduction	6.0	[67, 38, 55, 58, 62]
surface	7.0	[70, 58, 62]
surface	8.0	[72, 52, 43]
reduction	8.0	[72, 52, 58, 60, 43]
surface	9.0	[74, 58, 60]
surface	10.0	[74, 48, 36]
reduction	10.0	[72, 48, 58, 60, 36]
surface	11.0	[76, 58, 60]
surface	12.0	[77, 53, 41]
reduction	12.0	[77, 53, 57, 60, 41]
surface	13.0	[77, 57, 60]
surface	14.0	[77, 41, 57, 60]
reduction	14.0	[77, 41, 53, 57, 60]
surface	15.0	[76, 57, 60]
surface	16.0	[74, 50, 38]
reduction	16.0	[74, 50, 53, 57, 62, 38]
surface	17.0	[69, 53]
surface	18.0	[69, 57, 38]
reduction	18.0	[74, 38, 50, 53, 57, 62]
surface	19.0	[74, 53, 57, 62]
surface	20.0	[74, 58, 46]
reduction	20.0	[74, 58, 62, 46]
surface	21.0	[74, 58, 62]
surface	22.0	[74, 46, 58, 62]
reduction	22.0	[74, 46, 58, 62]
surface	23.0	[72, 58, 62]
surface	24.0	[70, 55, 43]
reduction	24.0	[70, 55, 58, 62, 43]
surface	25.0	[70, 58, 62]
surface	26.0	[67, 43, 58, 62]
reduction	26.0	[70, 43, 55, 58, 62]
surface	27.0	[65, 58, 62]
surface	28.0	[67, 51, 39]
reduction	28.0	[67, 51, 55, 58, 39]
surface	29.0	[67, 55, 39]
surface	30.0	[67, 58, 39]
surface	31.0	[67, 55, 39]
surface	32.0	[67, 51, 39]
reduction	32.0	[67, 51, 55, 58, 39]
surface	33.0	[67, 55, 58, 39]
surface	34.0	[70, 55, 58]
surface	35.0	[69, 55, 58]
grouping	36.0	[65]
surface	36.0	[67, 55, 43]
reduction	36.0	[67, 55, 58, 62, 43]
surface	37.0	[67, 58, 62]
surface	38.0	[69, 38, 58, 62]
reduction	38.0	[67, 38, 55, 58, 62]
surface	39.0	[70, 58, 62]
surface	40.0	[72, 52, 43]
reduction	40.0	[72, 52, 58, 60, 43]
surface	41.0	[72, 58, 60]
surface	42.0	[74, 48, 36]
reduction	42.0	[72, 48, 58, 60, 36]
surface	43.0	[76, 58, 60]
surface	44.0	[77, 53, 41]
reduction	44.0	[77, 53, 57, 60, 41]
surface	45.0	[77, 57, 60]
surface	46.0	[77, 41, 57, 60]
reduction	46.0	[77, 41, 53, 57, 60]
surface	47.0	[76, 57, 60]
surface	48.0	[74, 50, 38]
reduction	48.0	[74, 50, 53, 57, 62, 38]
surface	49.0	[69, 53]
surface	50.0	[69, 57, 38]
reduction	50.0	[74, 38, 50, 53, 57, 62]
surface	51.0	[74, 53, 57, 62]
surface	51.5	[74, 53, 57, 62]
surface	52.0	[74, 53, 46]
reduction	52.0	[74, 53, 58, 62, 46]
surface	53.0	[74, 58, 62]
surface	54.0	[74, 46, 58, 62]
reduction	54.0	[74, 46, 53, 58, 62]
surface	55.0	[72, 58, 62]
surface	56.0	[70, 52, 43]
reduction	56.0	[70, 52, 58, 60, 43]
surface	57.0	[69, 58, 60]
surface	58.0	[69, 48, 36]
reduction	58.0	[70, 48, 58, 60, 36]
surface	59.0	[67, 58, 60]
surface	60.0	[65, 53, 41]
reduction	60.0	[65, 53, 57, 60, 41]
surface	61.0	[65, 57, 60]
surface	62.0	[65, 48, 36]
reduction	62.0	[65, 48, 57, 60, 36]
surface	63.0	[65, 57, 60]
surface	64.0	[65, 53, 41]
reduction	64.0	[65, 53, 57, 60, 41]
surface	65.0	[65, 57, 60]
surface	66.0	[70]
surface	67.0	[69]
surface	68.0	[65, 53, 41]
reduction	68.0	[65, 53, 57, 60, 41]
surface	69.0	[65, 57, 60, 41]
surface	70.0	[77, 57, 60, 41]
reduction	70.0	[65, 41]
surface	71.0	[76, 57, 60, 41]
grouping	72.0	[65, 69]
