tonality	4.0	[64, 66, 67, 69, 71, 72, 74]
grouping	4.0	[60, 64, 67]
surface	4.0	[67, 55, 59, 43]
reduction	4.0	[67, 71, 55, 59, 43]
surface	3.5	[69, 55, 59, 43]
surface	4.0	[71, 55, 59, 43]
surface	4.5	[69, 55, 59, 43]
surface	5.0	[67, 55, 59]
surface	6.0	[69, 50, 38]
reduction	6.0	[69, 50, 38]
surface	6.5	[69, 50, 38]
surface	7.0	[69, 50]
surface	8.0	[64, 55, 59, 40]
reduction	8.0	[64, 52, 55, 59, 40]
surface	9.0	[64, 52]
surface	10.0	[64, 55, 59, 40]
surface	11.0	[67, 55, 59]
surface	11.5	[69, 55, 59]
surface	12.0	[71, 55, 59, 43]
reduction	12.0	[67, 71, 55, 59, 43]
surface	12.5	[69, 55, 59, 43]
surface	13.0	[67, 55, 59]
surface	14.0	[76, 55, 59, 43]
reduction	14.0	[71, 76, 55, 59, 43]
surface	14.5	[71, 55, 59, 43]
surface	15.0	[71, 55, 59]
surface	16.0	[74, 54, 60, 38]
reduction	16.0	[69, 74, 50, 54, 60, 38]
surface	17.0	[74, 50]
surface	18.0	[74, 54, 60, 38]
surface	19.0	[69, 54, 60]
grouping	20.0	[60]
surface	20.0	[70, 52, 58, 36]
reduction	20.0	[67, 69, 52, 58, 36]
surface	20.5	[69, 52, 58, 36]
surface	21.0	[69, 52, 58]
surface	21.5	[67, 52, 58]
surface	22.0	[69, 36, 52, 58]
surface	23.0	[64, 52, 58]
surface	23.5	[67, 52, 58]
surface	24.0	[70, 52, 55, 40]
reduction	24.0	[64, 67, 70, 52, 55, 59, 40]
surface	24.5	[69, 52, 55, 40]
surface	25.0	[67, 52, 55]
surface	25.5	[64, 52, 55]
surface	26.0	[64, 40, 52, 55]
surface	27.0	[64, 67, 59]
surface	27.5	[62, 67, 59]
surface	28.0	[62, 67, 59, 38]
reduction	28.0	[62, 67, 74, 54, 59, 38]
surface	29.0	[76, 55]
surface	29.5	[74, 54]
surface	30.0	[74, 54, 38]
surface	31.0	[70, 54, 60]
reduction	31.0	[70, 54, 60]
surface	31.5	[67, 55, 59]
surface	32.0	[67, 55, 59, 43]
reduction	32.0	[67, 43, 55, 59]
surface	33.0	[67, 38, 55, 59]
surface	34.0	[67, 43, 55, 59]
surface	35.0	[67]
surface	35.5	[69]
surface	36.0	[67, 55, 59, 43]
reduction	36.0	[67, 43, 55, 59]
surface	37.0	[67, 38, 55, 59]
