tonality	0.0	[62, 64, 65, 67, 69, 70, 72]
grouping	0.0	[58, 62, 65]
surface	0.0	[69, 50, 38]
reduction	0.0	[69, 50, 54, 57, 38]
surface	1.0	[69, 54, 57, 38]
surface	2.0	[69, 45, 54, 57]
surface	3.0	[69, 54, 57, 45]
surface	4.0	[55, 43]
reduction	4.0	[70, 55, 58, 62, 43]
surface	5.0	[70, 58, 62, 43]
surface	6.0	[65, 46, 58, 62]
reduction	6.0	[65, 55, 58, 62, 43]
surface	7.0	[65, 58, 62, 46]
surface	8.0	[64, 55, 60, 48]
reduction	8.0	[64, 55, 60, 48]
surface	9.0	[69, 55, 60, 48]
surface	10.0	[64, 55, 60, 48]
surface	11.0	[64, 55, 60, 48]
surface	12.0	[62, 53, 56, 47]
reduction	12.0	[62, 65, 53, 56, 47]
surface	13.0	[65, 53, 56, 47]
surface	14.0	[68, 50, 59, 44]
reduction	14.0	[65, 68, 50, 59, 44]
surface	15.0	[65, 50, 59, 44]
surface	16.0	[64, 57, 61, 45]
reduction	16.0	[64, 57, 61, 45]
surface	18.0	[62, 56, 59, 40]
reduction	18.0	[62, 65, 56, 59, 40]
surface	19.0	[65, 56, 59, 40]
surface	20.0	[61, 64, 57, 45]
reduction	20.0	[61, 64, 52, 57, 45]
grouping	21.0	[58, 62]
surface	21.0	[61, 64, 52, 45]
surface	22.0	[61, 64, 57, 45]
surface	24.0	[69, 50, 38]
reduction	24.0	[69, 50, 54, 57, 38]
surface	25.0	[69, 54, 57, 38]
surface	26.0	[69, 45, 54, 57]
surface	27.0	[69, 54, 57, 45]
surface	28.0	[55, 43]
reduction	28.0	[70, 55, 58, 62, 43]
surface	29.0	[70, 58, 62, 43]
surface	30.0	[65, 46, 58, 62]
reduction	30.0	[65, 55, 58, 62, 43]
surface	31.0	[65, 58, 62, 46]
surface	32.0	[64, 55, 60, 48]
reduction	32.0	[64, 55, 60, 48]
surface	33.0	[69, 55, 60, 48]
surface	34.0	[64, 55, 60, 48]
surface	35.0	[64, 55, 60, 48]
surface	36.0	[62, 53, 56, 47]
reduction	36.0	[62, 65, 53, 56, 47]
surface	37.0	[65, 53, 56, 47]
surface	38.0	[68, 50, 59, 44]
reduction	38.0	[65, 68, 50, 59, 44]
surface	39.0	[65, 50, 59, 44]
surface	40.0	[64, 57, 61, 45]
reduction	40.0	[64, 57, 61, 45]
surface	42.0	[62, 56, 59, 40]
reduction	42.0	[62, 65, 56, 59, 40]
surface	42.6666666667	[64, 56, 59, 40]
surface	43.3333333333	[65, 56, 59, 40]
surface	44.0	[61, 64, 57, 45]
reduction	44.0	[61, 64, 52, 57, 45]
grouping	45.0	[58, 62, 65]
surface	45.0	[61, 64, 52, 45]
surface	46.0	[61, 64, 57, 45]
surface	47.0	[69, 57, 45]
surface	48.0	[74, 50, 53, 57, 38]
reduction	48.0	[69, 72, 74, 50, 53, 57, 38]
surface	48.6666666667	[72, 50, 53, 57, 38]
surface	49.3333333333	[69, 50, 53, 57, 38]
surface	50.0	[74, 38, 50, 53, 57]
surface	50.6666666667	[72, 38, 50, 53, 57]
surface	51.3333333333	[69, 38, 50, 53, 57]
surface	52.0	[76, 50, 53, 57, 38]
reduction	52.0	[74, 50, 53, 57, 62, 38]
surface	53.0	[74, 53, 38]
surface	54.0	[74, 57, 62, 38]
surface	55.0	[74, 53, 38]
surface	56.0	[60, 63, 41]
reduction	56.0	[65, 70, 60, 63, 41]
surface	56.5	[70, 60, 63, 41]
surface	57.0	[70, 60, 63, 41]
surface	57.5	[69, 60, 63, 41]
surface	58.0	[70, 41, 60, 63]
