tonality	4.0	[63, 65, 67, 68, 70, 72, 74]
grouping	4.0	[60, 63]
surface	4.0	[70, 48, 55, 36]
reduction	4.0	[72, 63, 48, 55, 36]
surface	4.0	[72, 63, 48, 55, 36]
surface	5.0	[75, 63, 48, 55, 36]
surface	6.0	[75, 63, 48, 55, 36]
surface	8.0	[63, 74, 48, 55, 36]
reduction	8.0	[63, 72, 48, 55, 36]
surface	9.5	[63, 72, 48, 55, 36]
surface	10.0	[63, 72, 48, 55, 36]
surface	11.5	[70, 48, 55, 36]
surface	12.0	[72, 63, 53, 57, 41]
reduction	12.0	[72, 63, 53, 57, 41]
surface	13.0	[75, 63, 53, 57, 41]
surface	14.0	[75, 63, 53, 57, 41]
surface	16.0	[63, 74, 53, 57, 41]
reduction	16.0	[63, 72, 53, 57, 41]
surface	17.5	[63, 72, 53, 57, 41]
surface	18.0	[63, 72, 53, 57, 41]
surface	19.5	[70, 53, 57, 41]
surface	20.0	[72, 63, 51, 60, 44]
reduction	20.0	[72, 63, 51, 60, 44]
surface	21.0	[75, 63, 51, 60, 44]
surface	22.0	[75, 63, 51, 60, 44]
surface	24.0	[63, 74, 51, 60, 44]
reduction	24.0	[63, 72, 51, 60, 44]
surface	25.5	[63, 72, 51, 60, 44]
surface	26.0	[63, 72, 51, 60, 44]
surface	27.0	[63, 72, 44, 51, 60]
surface	28.0	[70, 51, 55, 58, 39]
reduction	28.0	[70, 51, 55, 58, 39]
surface	29.0	[70, 51, 55, 58, 39]
surface	31.0	[70, 51, 55, 58, 39]
surface	32.0	[70, 51, 54, 58, 61, 39]
reduction	32.0	[70, 51, 54, 58, 61, 39]
surface	33.0	[70, 51, 54, 58, 61]
surface	34.0	[70, 46, 51, 54, 58, 61]
reduction	34.0	[70, 50, 53, 56, 46]
surface	35.0	[50, 53, 56]
surface	35.5	[58, 50, 53, 56]
grouping	36.0	[60]
surface	36.0	[63, 51, 55, 39]
reduction	36.0	[63, 51, 55, 39]
surface	37.0	[65, 51, 55]
surface	38.0	[67, 55, 58, 46]
reduction	38.0	[63, 67, 55, 58, 46]
surface	39.0	[68, 55, 58]
surface	39.5	[63, 67, 55, 58]
surface	40.0	[63, 67, 48]
reduction	40.0	[63, 67, 55, 48]
surface	41.0	[63, 67, 51]
surface	42.0	[63, 67, 55, 48]
surface	43.0	[67, 55]
surface	43.5	[68, 55]
surface	44.0	[70, 62, 55, 58, 43]
reduction	44.0	[67, 62, 55, 58, 43]
surface	45.0	[67, 62, 55, 58]
surface	46.0	[67, 62, 43, 55, 58]
surface	47.0	[67, 62, 55, 58]
surface	47.5	[65, 62, 55, 58]
surface	48.0	[67, 62, 46, 56]
reduction	48.0	[67, 70, 62, 56, 46]
surface	48.5	[70, 62, 46, 56]
surface	49.0	[67, 62, 46, 56]
surface	50.0	[67, 46, 56]
surface	51.5	[62]
grouping	52.0	[60]
surface	52.0	[63, 51, 55, 39]
reduction	52.0	[63, 51, 55, 39]
surface	53.0	[65, 51, 55]
surface	54.0	[67, 55, 58, 46]
reduction	54.0	[63, 67, 55, 58, 46]
surface	55.0	[68, 55, 58]
surface	55.5	[63, 67, 55, 58]
surface	56.0	[63, 67, 48]
reduction	56.0	[63, 67, 55, 48]
surface	57.0	[63, 67, 51]
surface	58.0	[63, 67, 55, 48]
surface	59.0	[67, 55]
surface	59.5	[68, 55]
surface	60.0	[70, 62, 55, 58, 43]
reduction	60.0	[67, 62, 55, 58, 43]
surface	61.0	[67, 62, 55, 58]
surface	62.0	[67, 62, 43, 55, 58]
surface	63.0	[67, 62, 55, 58]
surface	63.5	[65, 62, 55, 58]
surface	64.0	[67, 62, 46, 56]
reduction	64.0	[67, 70, 62, 56, 46]
surface	64.5	[70, 62, 46, 56]
surface	65.0	[67, 62, 46, 56]
surface	66.0	[46, 56]
surface	66.5	[70, 46, 56]
surface	67.0	[70]
surface	67.5	[70]
grouping	68.0	[60]
surface	68.0	[72, 51, 55, 39]
reduction	68.0	[72, 75, 51, 55, 39]
surface	69.0	[75, 51, 55]
surface	70.0	[75, 46, 51, 55]
surface	71.0	[63, 51, 55]
surface	71.5	[65, 51, 55]
surface	72.0	[67, 58, 39]
reduction	72.0	[67, 58, 39]
surface	73.0	[67, 58]
surface	74.0	[65, 56, 46]
reduction	74.0	[65, 56, 46]
surface	75.0	[63, 55]
reduction	75.0	[63, 55, 46]
surface	76.0	[60, 51, 55, 48]
reduction	76.0	[60, 51, 55, 48]
surface	77.0	[60, 51, 55]
surface	78.0	[60, 48, 51, 55]
surface	79.0	[60, 51, 55]
surface	80.0	[60, 51, 55, 48]
reduction	80.0	[60, 51, 55, 48]
surface	81.0	[60, 51, 55]
surface	82.0	[43, 51, 55]
reduction	82.0	[63, 43, 51, 55]
surface	83.0	[63, 51, 55]
surface	83.5	[63, 51, 55]
grouping	84.0	[60]
surface	84.0	[65, 59, 63, 44]
reduction	84.0	[65, 59, 63, 44]
surface	85.0	[65, 59, 63, 44]
surface	86.0	[65, 59, 63, 51, 44]
reduction	86.0	[65, 59, 63, 51, 44]
surface	87.0	[65, 59, 63, 51]
surface	87.5	[65, 59, 63, 51]
surface	88.0	[65, 63, 56, 44]
reduction	88.0	[65, 63, 56, 44]
surface	89.0	[65, 63, 56]
surface	90.0	[68, 63, 59, 44]
reduction	90.0	[68, 63, 59, 44]
surface	91.0	[71, 63, 56]
reduction	91.0	[68, 63, 56, 44]
surface	92.0	[62, 68, 70, 58, 46]
reduction	92.0	[62, 68, 70, 58, 46]
surface	93.0	[62, 68, 70, 53]
reduction	93.0	[62, 68, 70, 53, 46]
surface	94.0	[62, 68, 70, 46, 41]
reduction	94.0	[62, 68, 70, 46, 41]
surface	95.0	[62, 68, 70, 41, 46]
surface	96.0	[61, 65, 70, 51, 54, 39]
reduction	96.0	[61, 65, 70, 51, 54, 39]
surface	97.0	[61, 65, 70, 46, 51, 54]
surface	98.0	[62, 65, 70, 56, 46]
reduction	98.0	[62, 65, 70, 56, 46]
surface	99.5	[58]
surface	100.0	[70, 79, 50, 56, 58, 46]
reduction	100.0	[70, 79, 50, 53, 56, 58, 46]
surface	101.0	[70, 79, 53]
surface	102.0	[70, 79, 50, 56, 58, 46]
surface	103.5	[70]
grouping	104.0	[60, 63]
surface	104.0	[72, 63, 48, 55, 36]
reduction	104.0	[63, 75, 48, 55, 36]
surface	105.0	[75, 63, 48, 55, 36]
surface	106.0	[75, 63, 48, 55, 36]
surface	108.0	[63, 74, 48, 55, 36]
reduction	108.0	[63, 72, 48, 55, 36]
surface	109.5	[63, 72, 48, 55, 36]
surface	110.0	[63, 72, 48, 55, 36]
surface	111.5	[70, 48, 55, 36]
surface	112.0	[72, 63, 53, 57, 41]
reduction	112.0	[63, 72, 75, 53, 57, 41]
surface	113.0	[75, 63, 53, 57, 41]
surface	114.0	[75, 63, 53, 57, 41]
surface	116.0	[63, 74, 53, 57, 41]
reduction	116.0	[63, 72, 53, 57, 41]
surface	117.5	[63, 72, 53, 57, 41]
surface	118.0	[63, 72, 53, 57, 41]
surface	118.5	[63, 53, 57, 41]
surface	119.0	[63, 41]
surface	119.5	[65, 41]
surface	120.0	[65, 59, 63, 56, 44]
reduction	120.0	[65, 59, 63, 56, 44]
surface	121.0	[65, 59, 63, 56]
surface	122.0	[65, 59, 63, 44, 56]
surface	123.0	[59, 63]
surface	123.5	[65, 59, 63]
surface	124.0	[66, 62, 46, 56]
reduction	124.0	[66, 62, 56, 46]
surface	125.0	[66, 62, 46, 56]
surface	126.0	[65, 62, 46, 56]
reduction	126.0	[65, 62, 56, 46]
surface	127.0	[65, 62, 46, 56]
surface	128.0	[65, 55, 58, 39]
reduction	128.0	[63, 55, 58, 39]
surface	128.5	[63, 55, 58, 39]
surface	129.0	[63, 55, 58]
surface	130.0	[63, 39, 55, 58]
surface	131.0	[63, 46]
surface	132.0	[63, 55, 58, 39]
reduction	132.0	[63, 51, 55, 58, 39]
surface	133.0	[63, 51]
surface	134.0	[63, 55, 58, 39]
surface	135.0	[51]
surface	135.5	[58, 51]
grouping	136.0	[60, 63]
surface	136.0	[63, 55, 60, 48]
reduction	136.0	[63, 51, 55, 60, 48]
surface	137.0	[63, 51]
surface	138.0	[55, 60, 48]
surface	139.0	[63, 55, 60]
surface	139.5	[63, 55, 60]
surface	140.0	[65, 59, 63, 56, 44]
reduction	140.0	[65, 59, 63, 56, 44]
surface	141.0	[65, 59, 63, 56]
surface	142.0	[65, 59, 63, 44, 56]
surface	143.0	[59, 63]
surface	143.5	[65, 59, 63]
surface	144.0	[66, 62, 46, 56]
reduction	144.0	[66, 62, 56, 46]
surface	145.0	[66, 62, 46, 56]
surface	146.0	[65, 62, 46, 56]
reduction	146.0	[65, 62, 56, 46]
surface	147.0	[65, 62, 46, 56]
surface	148.0	[65, 55, 58, 39]
reduction	148.0	[63, 55, 58, 39]
surface	148.5	[63, 55, 58, 39]
surface	149.0	[63, 55, 58]
surface	150.0	[63, 39, 55, 58]
surface	151.0	[63, 46]
