tonality	0.0	[67, 69, 71, 72, 74, 76, 78]
grouping	0.0	[64, 67, 71]
surface	0.0	[71, 55, 59, 62, 43]
reduction	0.0	[71, 55, 59, 62, 43]
surface	1.5	[71, 55, 59, 62, 43]
surface	2.0	[72, 55, 59, 62, 43]
surface	3.0	[71, 55, 59, 62, 43]
surface	4.0	[67, 50, 55, 59, 43]
reduction	4.0	[67, 50, 55, 59, 43]
surface	5.0	[62, 50, 55, 59, 43]
surface	5.5	[64, 50, 55, 59, 43]
surface	6.0	[69, 50, 55, 59, 43]
surface	6.5	[67, 50, 55, 59, 43]
surface	8.0	[65, 38]
reduction	8.0	[65, 50, 57, 60, 38]
surface	9.0	[65, 50, 57, 60, 38]
surface	10.0	[65, 50, 57, 60, 38]
surface	10.6666666667	[67, 50, 57, 60, 38]
surface	11.3333333333	[69, 50, 57, 60, 38]
surface	12.0	[62, 38]
reduction	12.0	[62, 50, 53, 57, 38]
surface	13.0	[62, 50, 38]
surface	14.0	[53, 38]
surface	15.0	[57, 38]
surface	16.0	[50, 56, 59, 40]
reduction	16.0	[50, 56, 59, 40]
surface	18.0	[65, 50, 56, 59, 40]
reduction	18.0	[65, 50, 56, 59, 40]
surface	18.6666666667	[67, 50, 56, 59, 40]
surface	19.3333333333	[68, 50, 56, 59, 40]
surface	20.0	[62, 40]
reduction	20.0	[62, 47, 53, 56, 40]
surface	21.0	[62, 47, 40]
surface	22.0	[53, 40]
surface	23.0	[56, 40]
surface	23.5	[62, 56, 40]
grouping	24.0	[64]
surface	24.0	[74, 52, 55, 36]
reduction	24.0	[72, 52, 55, 36]
surface	24.5	[72, 52, 55, 36]
surface	25.0	[71, 52, 55, 36]
surface	25.5	[69, 52, 55, 36]
surface	26.0	[68, 52, 59, 40]
reduction	26.0	[68, 71, 52, 59, 40]
surface	26.5	[69, 52, 59, 40]
surface	27.0	[71, 52, 59, 40]
surface	28.0	[56, 40]
reduction	28.0	[56, 59, 40]
surface	28.5	[57, 40]
surface	29.0	[59, 40]
