tonality	0.0	[65, 67, 69, 70, 72, 74, 76]
grouping	0.0	[58, 62, 65]
surface	0.0	[67, 57, 60, 41]
reduction	0.0	[65, 53, 57, 60, 41]
surface	0.5	[65, 57, 60, 41]
surface	1.0	[65, 57, 60]
surface	2.0	[65, 53, 41]
surface	3.0	[65, 57, 60]
surface	4.0	[55, 59, 62, 40]
reduction	4.0	[71, 55, 59, 62, 40]
surface	5.0	[69, 55, 59, 62, 40]
surface	5.5	[71, 55, 59, 62, 40]
surface	6.0	[73, 55, 57, 61, 45]
reduction	6.0	[73, 76, 55, 57, 61, 45]
surface	6.5	[74, 55, 57, 61, 45]
surface	7.0	[76, 55, 57, 61, 45]
surface	7.5	[77, 55, 57, 61, 45]
surface	8.0	[76, 38, 53, 57]
reduction	8.0	[74, 62, 38, 53, 57]
surface	8.75	[74, 38, 53, 57]
surface	9.0	[74, 62, 38, 53, 57]
surface	10.0	[74, 62, 38, 53, 57]
surface	11.0	[74, 60, 38, 53, 57]
grouping	12.0	[58]
surface	12.0	[53, 58, 46]
reduction	12.0	[74, 53, 58, 46]
surface	13.0	[74, 53, 58, 46]
surface	13.5	[74, 53, 58, 46]
surface	14.0	[72, 52, 60, 48]
reduction	14.0	[69, 72, 52, 60, 48]
surface	14.5	[70, 52, 60, 48]
surface	15.0	[69, 52, 60, 48]
surface	15.5	[67, 52, 60, 48]
surface	16.0	[70, 53, 60, 41]
reduction	16.0	[69, 53, 60, 41]
surface	17.0	[69, 53, 60, 41]
surface	17.5	[69, 53, 60, 41]
surface	18.0	[69, 53, 60, 41]
surface	19.0	[67, 52, 60, 40]
reduction	19.0	[67, 40, 53, 60]
surface	20.0	[65, 57, 60, 38]
reduction	20.0	[65, 69, 57, 60, 38]
surface	21.0	[69, 57, 60, 38]
surface	21.5	[67, 57, 60, 38]
surface	22.0	[67, 55, 59, 43]
reduction	22.0	[62, 67, 55, 59, 43]
surface	23.0	[62, 55, 59, 43]
surface	24.0	[65, 50, 58, 46]
reduction	24.0	[65, 50, 58, 46]
surface	25.0	[69, 53, 60, 41]
reduction	25.0	[69, 53, 58, 41]
surface	25.5	[69, 53, 60, 41]
surface	26.0	[69, 53, 60, 41]
grouping	28.0	[58, 62, 65]
surface	28.0	[67, 69, 52, 62, 40]
reduction	28.0	[67, 69, 52, 59, 62, 40]
surface	29.0	[67, 69, 59, 40]
surface	30.0	[64, 69, 61, 45, 57]
reduction	30.0	[64, 69, 55, 57, 61, 45]
surface	31.0	[64, 69, 55, 61, 45]
surface	32.0	[74, 69, 53, 62, 50]
reduction	32.0	[69, 74, 53, 62, 50]
surface	33.0	[76, 67, 52, 60, 48]
reduction	33.0	[67, 76, 52, 60, 48]
surface	34.0	[77, 65, 50, 58, 46]
reduction	34.0	[65, 77, 50, 58, 46]
surface	35.0	[76, 65, 50, 57, 45]
reduction	35.0	[65, 74, 50, 57, 45]
surface	35.5	[74, 65, 50, 57, 45]
surface	36.0	[76, 64, 55, 58, 43]
reduction	36.0	[64, 76, 55, 58, 43]
surface	37.5	[74, 64, 55, 58, 43]
surface	38.0	[72, 64, 36, 55, 58]
reduction	38.0	[64, 72, 36, 55, 58]
surface	39.0	[74, 64, 36, 55, 58]
surface	40.0	[69, 65, 60, 41, 53]
reduction	40.0	[65, 69, 60, 41, 53]
surface	41.0	[69, 65, 59, 41, 53]
surface	42.0	[69, 65, 62, 41, 53]
surface	43.0	[69, 65, 60, 41, 53]
grouping	44.0	[58]
surface	44.0	[67, 69, 52, 62, 40]
reduction	44.0	[67, 69, 52, 59, 62, 40]
surface	45.0	[67, 69, 59, 40]
surface	46.0	[64, 69, 61, 45, 57]
reduction	46.0	[64, 69, 55, 57, 61, 45]
surface	47.0	[64, 69, 55, 61, 45]
surface	48.0	[74, 69, 53, 62, 50]
reduction	48.0	[69, 74, 53, 62, 50]
surface	49.0	[76, 67, 52, 60, 48]
reduction	49.0	[67, 76, 52, 60, 48]
surface	50.0	[77, 65, 50, 58, 46]
reduction	50.0	[65, 77, 50, 58, 46]
surface	51.0	[76, 65, 50, 57, 45]
reduction	51.0	[65, 74, 50, 57, 45]
surface	51.5	[74, 65, 50, 57, 45]
surface	52.0	[76, 64, 55, 58, 43]
reduction	52.0	[64, 76, 55, 58, 43]
surface	53.5	[74, 64, 55, 58, 43]
surface	54.0	[72, 64, 36, 55, 58]
reduction	54.0	[64, 72, 36, 55, 58]
surface	55.0	[76, 64, 36, 55, 58]
surface	56.0	[77, 65, 53, 57, 60, 41]
reduction	56.0	[65, 77, 53, 57, 60, 41]
surface	57.0	[72, 65, 53, 57, 60, 41]
surface	58.0	[70, 65, 53, 57, 60, 41]
surface	59.0	[69, 65, 53, 57, 60, 41]
grouping	60.0	[58, 62]
surface	60.0	[67, 57, 60, 41]
reduction	60.0	[65, 53, 57, 60, 41]
surface	60.5	[65, 57, 60, 41]
surface	61.0	[65, 57, 60]
surface	62.0	[65, 53, 41]
surface	63.0	[65, 57, 60]
surface	64.0	[55, 59, 62, 40]
reduction	64.0	[71, 55, 59, 62, 40]
surface	65.0	[69, 55, 59, 62, 40]
surface	65.5	[71, 55, 59, 62, 40]
surface	66.0	[73, 55, 57, 61, 45]
reduction	66.0	[73, 76, 55, 57, 61, 45]
surface	66.5	[74, 55, 57, 61, 45]
surface	67.0	[76, 55, 57, 61, 45]
surface	67.5	[77, 55, 57, 61, 45]
surface	68.0	[76, 38, 53, 57]
reduction	68.0	[74, 62, 38, 53, 57]
surface	68.75	[74, 38, 53, 57]
surface	69.0	[74, 62, 38, 53, 57]
surface	70.0	[74, 62, 38, 53, 57]
surface	71.0	[74, 60, 38, 53, 57]
grouping	72.0	[60]
surface	72.0	[53, 58, 46]
reduction	72.0	[74, 53, 58, 46]
surface	73.0	[74, 53, 58, 46]
surface	73.5	[74, 53, 58, 46]
surface	74.0	[72, 52, 60, 48]
reduction	74.0	[67, 72, 52, 60, 48]
surface	74.5	[70, 52, 60, 48]
surface	75.0	[69, 52, 60, 48]
surface	75.5	[67, 52, 60, 48]
surface	76.0	[70, 53, 60, 41]
reduction	76.0	[69, 53, 60, 41]
surface	77.0	[69, 53, 60, 41]
surface	77.5	[69, 53, 60, 41]
surface	78.0	[69, 53, 60, 41]
reduction	78.0	[67, 53, 60, 41]
surface	79.0	[67, 52, 60, 40]
reduction	79.0	[67, 52, 60, 40]
surface	80.0	[65, 57, 60, 38]
reduction	80.0	[65, 69, 57, 60, 38]
surface	81.0	[69, 57, 60, 38]
surface	81.5	[67, 57, 60, 38]
surface	82.0	[67, 55, 59, 43]
reduction	82.0	[62, 67, 55, 59, 43]
surface	83.0	[62, 55, 59, 43]
surface	84.0	[65, 50, 58, 46]
reduction	84.0	[65, 50, 58, 46]
surface	85.0	[69, 53, 60, 41]
reduction	85.0	[69, 53, 60, 41]
surface	85.5	[69, 53, 60, 41]
surface	86.0	[69, 53, 60, 41]
surface	88.0	[65, 57, 60, 41]
reduction	88.0	[65, 69, 57, 60, 41]
surface	89.0	[69, 57, 60, 41]
surface	90.0	[67, 55, 59, 45]
reduction	90.0	[62, 67, 55, 59, 45]
surface	91.0	[62, 55, 59, 45]
surface	92.0	[65, 50, 58, 46]
reduction	92.0	[65, 50, 58, 46]
