TS	4/4	
Grp	3.0	
Bar	[3.0]	[72]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[68, 70, 72, 73, 75]
Bar	[0.0, 2.0]	[73, 72]
Grp	3.0	
Bar	[3.0, 3.5]	[72, 73]
Bar	[0.0, 1.0, 2.0, 3.0]	[75, 75, 70, 72]
Bar	[0.0, 2.0]	[68, 67]
Grp	3.0	
Bar	[3.0]	[63]
Bar	[0.0, 1.0, 2.0, 3.0]	[68, 70, 72, 72]
Bar	[0.0]	[70]
Grp	3.0	
Bar	[3.0]	[72]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[68, 70, 72, 73, 75]
Bar	[0.0, 2.0]	[73, 72]
Grp	3.0	
Bar	[3.0, 3.5]	[72, 73]
Bar	[0.0, 1.0, 2.0, 3.0]	[75, 75, 70, 72]
Bar	[0.0, 2.0]	[68, 67]
Grp	3.0	
Bar	[3.0]	[63]
Bar	[0.0, 1.0, 2.0, 3.0]	[68, 70, 72, 73]
Bar	[0.0, 1.0, 2.0]	[72, 70, 68]
