TS	4/4	
Bar	[2.5, 3.5]	[65, 65]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 65]
Bar	[0.0, 0.5, 2.5, 3.5]	[65, 65, 65, 65]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 65]
Bar	[0.0, 2.5, 3.5]	[65, 65, 65]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 65]
Bar	[0.0, 0.5, 2.5, 3.5]	[65, 65, 65, 65]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 65]
Bar	[0.0, 2.5, 3.5]	[65, 70, 70]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[0.0, 0.5, 2.5, 3.5]	[70, 70, 70, 70]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[0.0, 2.5, 3.5]	[70, 65, 65]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 65]
Bar	[0.0, 0.5, 1.5, 2.5, 3.0]	[65, 65, 65, 65, 65]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[65, 65, 65, 65, 70]
Bar	[]	[]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[70, 72, 73, 75, 73, 72, 70, 68]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[66, 65, 63, 61, 60, 61, 63, 65]
Bar	[0.0, 1.5, 2.5, 3.0, 3.5]	[60, 58, 60, 61, 65]
Bar	[0.0, 1.5]	[60, 58]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[68, 70, 71, 73, 71, 70, 68, 66]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 63, 61, 59, 58, 59, 61, 63]
Bar	[0.0, 1.5, 2.5, 3.0, 3.5]	[58, 56, 58, 59, 63]
Bar	[0.0, 1.5, 2.5, 3.5]	[66, 65, 65, 65]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[0.0, 0.5, 2.5, 3.5]	[70, 70, 70, 70]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[0.0, 2.5, 3.5]	[70, 70, 70]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[0.0, 0.5, 1.5, 2.0, 3.0]	[70, 70, 70, 70, 70]
Bar	[0.0, 1.0, 1.5, 2.5, 3.5]	[70, 70, 70, 70, 70]
Bar	[]	[]
